"sample.depths","sample.ages","Abies","Acer","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus","Fraxinus","Herbs.undiff.","Juglans","Larix","Liquidambar","Lycopodium.type","Myrica","Nuphar","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Shepherdia","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus"
2,152,15,8,33,3,1,5,0,3,1,226,0,0,2,0,5,1,4,2,3,0,0,0,8,4,0,6,53,18,13,0,0,18,0,5,0,5,3,0,0,0,3,0,3,0,5,0,6
20,1079,19,6,29,1,0,1,0,2,0,201,1,0,0,0,0,0,18,3,8,0,2,0,6,0,0,2,70,5,23,1,0,2,1,13,0,1,0,0,0,0,3,0,1,0,12,0,3
40,1458,30,6,27,2,0,1,0,0,2,282,2,2,0,0,5,0,21,2,8,0,1,0,5,1,3,16,29,16,40,5,0,2,0,12,0,0,0,0,1,0,3,0,0,0,22,0,4
60,1910,14,10,27,0,0,0,0,0,2,320,0,0,0,0,3,0,18,5,4,0,0,0,7,1,1,2,12,14,26,12,0,8,0,7,0,1,0,0,0,0,1,1,3,0,19,0,7
80,2374,19,8,28,0,1,0,0,2,0,257,0,1,0,0,9,0,13,3,4,0,1,0,12,3,0,3,13,16,33,5,0,2,0,4,0,0,0,0,0,0,5,1,1,0,11,0,6
100,2839,29,11,30,0,0,1,0,0,1,360,0,1,2,5,1,0,44,12,3,0,2,0,7,1,0,15,16,4,31,5,0,4,3,8,0,0,0,0,0,0,2,1,1,0,23,0,4
120,3246,9,13,29,3,0,1,1,1,3,289,1,0,1,0,8,0,14,10,5,0,0,0,5,5,0,8,7,5,68,4,0,3,0,10,0,0,0,0,0,0,0,0,2,0,12,0,6
140,3582,10,8,30,0,0,0,1,1,3,242,0,0,2,1,2,0,13,4,3,0,0,0,1,3,0,7,12,9,68,8,0,3,0,5,0,0,0,0,0,0,0,1,1,0,2,0,5
160,3917,9,3,32,5,0,0,0,0,0,268,0,0,1,1,4,0,12,8,5,1,1,0,4,5,0,6,2,2,54,7,2,6,1,21,2,0,1,0,0,0,0,1,2,0,4,0,5
180,4253,13,6,30,3,0,0,0,0,0,347,0,1,1,3,3,0,6,5,4,1,1,0,2,2,0,10,4,14,64,12,1,2,0,12,0,0,0,0,0,0,1,0,2,3,4,0,3
