"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Picea","Pinus.subg..Pinus","Pinus.undiff.","Asteraceae.subf..Asteroideae.undiff.","Myrica","Populus","Poaceae","Ericaceae.undiff.","Pinus.subg..Strobus","Cornus","Caryophyllaceae","Larix","Quercus","Fraxinus","Brassicaceae","Rumex","Salix","Artemisia","Amaranthaceae.undiff.","Acer.rubrum","Sarcobatus.vermiculatus","Ulmus","Ranunculus","Shepherdia","Ledum.Chamaedaphne.calyculata","Acer.negundo","Tsuga","Thalictrum","Caprifoliaceae","Asteraceae.subf..Cichorioideae","Dryas.type","Epilobium","Fabaceae","Acer.undiff.","Asteraceae.undiff.","Vaccinium"
840,26,0.0180505415162455,0.0036101083032491,0.0794223826714801,0.0036101083032491,0.0649819494584837,0.0216606498194946,0.750902527075812,0.0252707581227437,0.0036101083032491,0.0036101083032491,0.0036101083032491,0.0108303249097473,0.0072202166064982,0.0036101083032491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,733,0.0226537216828479,0.00323624595469256,0.0323624595469256,0.00323624595469256,0.0647249190938511,0.00323624595469256,0.828478964401295,0.0129449838187702,0.00970873786407767,0.00323624595469256,0,0,0.00323624595469256,0,0.00970873786407767,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,1087,0.00655737704918033,0,0.0491803278688525,0,0.0819672131147541,0.00327868852459016,0.829508196721311,0.00655737704918033,0,0,0,0,0.00327868852459016,0.00327868852459016,0,0,0.00327868852459016,0.00327868852459016,0.00655737704918033,0.00327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,1440,0.0526315789473684,0.00328947368421053,0,0.00328947368421053,0.0986842105263158,0.0197368421052632,0.802631578947368,0,0,0.00328947368421053,0,0.00328947368421053,0.00328947368421053,0,0.00328947368421053,0,0,0,0,0,0.00657894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,1794,0.00980392156862745,0,0.0392156862745098,0,0.0784313725490196,0.00326797385620915,0.852941176470588,0.00326797385620915,0,0,0,0,0,0,0,0,0,0.00326797385620915,0.00326797385620915,0,0,0.00326797385620915,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,2039,0.0331325301204819,0.00602409638554217,0.036144578313253,0,0.105421686746988,0.0301204819277108,0.77710843373494,0.00301204819277108,0.00301204819277108,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,2284,0.0382165605095541,0,0.0254777070063694,0,0.0700636942675159,0,0.837579617834395,0,0,0,0,0,0.00318471337579618,0.00318471337579618,0,0,0,0.0159235668789809,0.00636942675159236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,2529,0.0408163265306122,0.00510204081632653,0.0433673469387755,0,0.0943877551020408,0,0.801020408163265,0.00510204081632653,0,0,0,0,0.00255102040816327,0,0,0,0,0,0.00255102040816327,0,0,0,0.00255102040816327,0.00255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
940,3020,0.0128205128205128,0.00320512820512821,0.0224358974358974,0,0.0801282051282051,0.0192307692307692,0.846153846153846,0,0.00320512820512821,0,0,0.00320512820512821,0,0,0,0,0,0,0.00320512820512821,0,0,0,0,0.00320512820512821,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,3265,0.0245398773006135,0,0.0122699386503067,0,0.0368098159509202,0,0.9079754601227,0.00613496932515337,0,0,0,0,0,0,0,0,0,0.00920245398773006,0,0,0,0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
960,3510,0.0218978102189781,0,0.0437956204379562,0,0.0851581508515815,0.0024330900243309,0.841849148418491,0,0,0,0,0,0,0.0024330900243309,0,0,0,0,0,0,0.0024330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,3923,0.0381944444444444,0,0.0347222222222222,0,0.107638888888889,0,0.784722222222222,0,0.0138888888888889,0,0,0.00347222222222222,0.00347222222222222,0.00347222222222222,0,0,0,0,0.00347222222222222,0,0,0,0.00347222222222222,0.00347222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,4092,0.0359281437125748,0,0.0419161676646707,0,0.0838323353293413,0,0.823353293413174,0,0.00598802395209581,0,0,0,0,0,0,0,0,0,0.0029940119760479,0.00598802395209581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,4260,0.044973544973545,0,0.044973544973545,0,0.105820105820106,0.0105820105820106,0.785714285714286,0,0.00264550264550265,0,0.00264550264550265,0,0,0.00264550264550265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,4597,0.0480769230769231,0,0.016025641025641,0,0.0705128205128205,0.016025641025641,0.807692307692308,0.00961538461538462,0.00961538461538462,0,0,0,0.00641025641025641,0,0,0,0,0,0.00320512820512821,0,0,0,0.00320512820512821,0.00641025641025641,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,4765,0.0384615384615385,0,0.00769230769230769,0,0.0358974358974359,0.00512820512820513,0.9,0,0.00769230769230769,0,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,4934,0.0169014084507042,0,0.0591549295774648,0,0.0676056338028169,0.0140845070422535,0.83943661971831,0,0,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,5102,0.0710659898477157,0.00253807106598985,0.0177664974619289,0,0.106598984771574,0.0101522842639594,0.771573604060914,0,0.0101522842639594,0,0,0,0.00253807106598985,0,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0.00253807106598985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060,5271,0.0705128205128205,0.00320512820512821,0.00641025641025641,0,0.182692307692308,0.00641025641025641,0.692307692307692,0.00641025641025641,0.016025641025641,0,0,0.00320512820512821,0,0,0.00320512820512821,0,0.00320512820512821,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,5439,0.0410958904109589,0,0,0,0.0602739726027397,0,0.887671232876712,0,0.00273972602739726,0,0,0,0,0,0,0,0,0.00821917808219178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,5602,0.0342298288508557,0,0.0366748166259169,0,0.0855745721271394,0.00488997555012225,0.821515892420538,0.00244498777506112,0,0,0.00244498777506112,0,0.00488997555012225,0,0.00244498777506112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488997555012225,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,5764,0.0359550561797753,0,0.0179775280898876,0,0.0808988764044944,0.00449438202247191,0.853932584269663,0,0.00224719101123596,0,0,0,0,0,0,0,0,0,0,0.00224719101123596,0,0,0.00224719101123596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
