"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Celtis","Corylus","Fagus","Fraxinus","Juglans","Juniperus","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodium","Cyperaceae","Poaceae","Rubus","Castanea","Planera.aquatica","Mitella","Geranium","Urtica","Rhamnus","Brassicaceae","Plantago","Menispermaceae","Polygonum","Eupatorium","Thalictrum","Oxalis","Aquifoliaceae","Epilobium","Stellaria","Nyssa","Cornus"
0,-55,0,0.0103092783505155,0.013745704467354,0.0240549828178694,0.0171821305841924,0,0.00687285223367698,0.00687285223367698,0.00687285223367698,0,0.0103092783505155,0.00343642611683849,0,0.00343642611683849,0,0.0481099656357388,0.0618556701030928,0,0.00687285223367698,0.467353951890034,0,0,0,0.0343642611683849,0.216494845360825,0.00687285223367698,0,0.013745704467354,0.00343642611683849,0.0309278350515464,0,0.00687285223367698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-14,0,0.0144404332129964,0.0108303249097473,0.036101083032491,0.0072202166064982,0,0.0036101083032491,0.0216606498194946,0.0108303249097473,0,0.0072202166064982,0.0036101083032491,0,0.0036101083032491,0.0036101083032491,0.0144404332129964,0.191335740072202,0,0.0072202166064982,0.48014440433213,0.0036101083032491,0,0.0397111913357401,0.0288808664259928,0.0252707581227437,0.0036101083032491,0,0,0.0036101083032491,0.0216606498194946,0.0469314079422383,0,0,0,0,0,0,0,0,0.0072202166064982,0.0036101083032491,0,0,0,0,0,0,0,0
20,28,0,0.0185873605947955,0.00371747211895911,0.0185873605947955,0.0223048327137546,0.0148698884758364,0.0185873605947955,0.0111524163568773,0.0148698884758364,0.00371747211895911,0,0.00371747211895911,0,0.0148698884758364,0.00743494423791822,0.122676579925651,0.163568773234201,0,0.0148698884758364,0.431226765799257,0.00371747211895911,0,0,0.0111524163568773,0.0260223048327138,0.00371747211895911,0.0185873605947955,0,0.0223048327137546,0.0148698884758364,0.0148698884758364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,70,0,0.0116279069767442,0.0116279069767442,0.0348837209302326,0.00387596899224806,0,0,0,0.0155038759689922,0.00387596899224806,0.00387596899224806,0.00775193798449612,0,0.0155038759689922,0.00387596899224806,0.0813953488372093,0.166666666666667,0,0.00387596899224806,0.445736434108527,0.0271317829457364,0.00387596899224806,0.00775193798449612,0.0426356589147287,0.0116279069767442,0.0116279069767442,0.0116279069767442,0.00387596899224806,0.00775193798449612,0.0426356589147287,0,0,0,0,0,0.00387596899224806,0,0,0,0.00387596899224806,0,0.0116279069767442,0,0,0,0,0,0,0
40,113,0,0.00378787878787879,0.0113636363636364,0.0871212121212121,0.0113636363636364,0.00378787878787879,0,0.00757575757575758,0.0227272727272727,0.00378787878787879,0,0,0,0.0568181818181818,0.0113636363636364,0.0454545454545455,0.143939393939394,0,0.0113636363636364,0.488636363636364,0,0.0113636363636364,0.0189393939393939,0.0113636363636364,0,0.0227272727272727,0.0113636363636364,0,0.00757575757575758,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00378787878787879,0,0
50,156,0.0156862745098039,0.00784313725490196,0.00392156862745098,0.0392156862745098,0.0156862745098039,0.00392156862745098,0,0.00784313725490196,0.0274509803921569,0,0.00392156862745098,0,0,0.0156862745098039,0,0.0941176470588235,0.188235294117647,0,0.00392156862745098,0.4,0.00392156862745098,0.00392156862745098,0.0156862745098039,0.0196078431372549,0.00392156862745098,0.0352941176470588,0.0156862745098039,0,0,0.0705882352941176,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,200,0,0.0159362549800797,0.0159362549800797,0.0318725099601594,0.0239043824701195,0.00398406374501992,0.0159362549800797,0.0119521912350598,0.00796812749003984,0,0,0.00796812749003984,0,0.0199203187250996,0,0.047808764940239,0.262948207171315,0,0.0239043824701195,0.314741035856574,0,0,0.0159362549800797,0.00796812749003984,0.0239043824701195,0.0159362549800797,0.0358565737051793,0.00796812749003984,0.0159362549800797,0.0557768924302789,0.0119521912350598,0,0.00398406374501992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,244,0.004739336492891,0.023696682464455,0.018957345971564,0.023696682464455,0,0.028436018957346,0,0.023696682464455,0.037914691943128,0.009478672985782,0.004739336492891,0.004739336492891,0,0.009478672985782,0,0.0616113744075829,0.170616113744076,0,0.004739336492891,0.350710900473934,0.009478672985782,0,0,0.023696682464455,0.014218009478673,0.018957345971564,0.033175355450237,0,0.018957345971564,0.085308056872038,0.009478672985782,0,0,0,0,0,0,0,0,0.009478672985782,0,0,0,0,0,0,0,0,0
80,290,0.00816326530612245,0.0285714285714286,0.00816326530612245,0.0530612244897959,0.0122448979591837,0,0.00408163265306122,0.0163265306122449,0.0244897959183673,0.00408163265306122,0.00816326530612245,0.0326530612244898,0,0.0163265306122449,0,0.0571428571428571,0.171428571428571,0,0.0204081632653061,0.375510204081633,0,0.00408163265306122,0.00408163265306122,0.0204081632653061,0.0122448979591837,0.0163265306122449,0.0326530612244898,0.00408163265306122,0.00816326530612245,0.0448979591836735,0.00816326530612245,0,0,0.00408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,327,0,0.00387596899224806,0.0387596899224806,0.0193798449612403,0.0116279069767442,0,0,0,0.0232558139534884,0.0116279069767442,0.0271317829457364,0.00775193798449612,0.00387596899224806,0.00387596899224806,0.00775193798449612,0,0.213178294573643,0,0.0116279069767442,0.368217054263566,0.0155038759689922,0,0.0155038759689922,0.0387596899224806,0.0387596899224806,0.0271317829457364,0.0310077519379845,0.0155038759689922,0.0193798449612403,0.0387596899224806,0,0,0.00387596899224806,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
