"sample.depths","sample.ages","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Poaceae.undiff.","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Picea","Platanus","Quercus","Rumex","Salix","Sarcobatus.vermiculatus","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Alnus","Ambrosia","Pinus","Populus","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Abies","Artemisia","Corylus","Larix","Iva.annua","Urtica","Iva.xanthifolia","Acer.rubrum","Celtis","Asteraceae.subf..Cichorioideae","Castanea","Humulus","Rosaceae.undiff.","Lamiaceae","Ranunculus","Ephedra.torreyana.type","Apiaceae","Polygonum.persicaria","Morus","Dalea.candida","Myrica","Shepherdia.canadensis","Sanguisorba","Thalictrum","Caryophyllaceae"
1,-11,0.0159574468085106,0.00709219858156028,0.00709219858156028,0.0177304964539007,0.0124113475177305,0.024822695035461,0.122340425531915,0.00177304964539007,0.00177304964539007,0.0124113475177305,0.00354609929078014,0.0106382978723404,0.207446808510638,0.00709219858156028,0.00709219858156028,0.00177304964539007,0.00177304964539007,0.0230496453900709,0.00354609929078014,0.0283687943262411,0.00531914893617021,0.00177304964539007,0.00709219858156028,0.214539007092199,0.195035460992908,0.00354609929078014,0.00354609929078014,0.0230496453900709,0.0195035460992908,0.00886524822695036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,0.0161662817551963,0.0207852193995381,0.0046189376443418,0.0161662817551963,0.0161662817551963,0.0069284064665127,0.103926096997691,0,0,0.0092378752886836,0.0069284064665127,0.0069284064665127,0.214780600461894,0,0.0046189376443418,0,0.0023094688221709,0.0138568129330254,0.0115473441108545,0.0184757505773672,0.0023094688221709,0,0.0161662817551963,0.140877598152425,0.311778290993072,0,0,0.0138568129330254,0.0115473441108545,0.0138568129330254,0.0023094688221709,0.0023094688221709,0.0023094688221709,0.0046189376443418,0.0023094688221709,0.0023094688221709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,329,0.0233766233766234,0.0233766233766234,0,0.0155844155844156,0.0181818181818182,0.0103896103896104,0.0363636363636364,0,0,0.012987012987013,0,0.00779220779220779,0.355844155844156,0,0.0025974025974026,0,0,0.0363636363636364,0.00779220779220779,0.0363636363636364,0,0,0.0025974025974026,0.0103896103896104,0.293506493506493,0,0,0.0441558441558442,0.0441558441558442,0.012987012987013,0,0.0025974025974026,0,0,0,0,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1238,0.0116618075801749,0.043731778425656,0.00291545189504373,0.0145772594752187,0.0174927113702624,0.0233236151603499,0.0291545189504373,0.00291545189504373,0.00291545189504373,0.0204081632653061,0.00291545189504373,0.0174927113702624,0.349854227405248,0,0.00291545189504373,0,0,0.032069970845481,0.00583090379008746,0.0379008746355685,0,0,0.00291545189504373,0.0087463556851312,0.24198250728863,0,0,0.0379008746355685,0.0699708454810496,0.0116618075801749,0,0.00291545189504373,0,0,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2148,0.0198863636363636,0.0454545454545455,0.00568181818181818,0.0113636363636364,0.0198863636363636,0.0340909090909091,0.0369318181818182,0,0,0.00568181818181818,0.0198863636363636,0.0198863636363636,0.292613636363636,0,0.00568181818181818,0,0.00852272727272727,0.0142045454545455,0.0170454545454545,0.0568181818181818,0,0,0,0.0113636363636364,0.213068181818182,0,0,0.0710227272727273,0.0625,0.0227272727272727,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2603,0.010230179028133,0.0281329923273657,0.00767263427109974,0.010230179028133,0.0153452685421995,0.0767263427109974,0.071611253196931,0.010230179028133,0.0051150895140665,0.0179028132992327,0.020460358056266,0.0179028132992327,0.255754475703325,0,0.0051150895140665,0,0.00767263427109974,0.00767263427109974,0.00255754475703325,0.081841432225064,0,0,0.0051150895140665,0.00255754475703325,0.214833759590793,0,0,0.0281329923273657,0.0741687979539642,0.010230179028133,0,0,0,0.00255754475703325,0.00255754475703325,0,0,0.00255754475703325,0.00255754475703325,0.00255754475703325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3057,0.0133689839572193,0.0614973262032086,0.00267379679144385,0.00802139037433155,0.0320855614973262,0.00802139037433155,0.101604278074866,0,0.00267379679144385,0.00267379679144385,0.0133689839572193,0.00802139037433155,0.307486631016043,0,0.0053475935828877,0,0,0.00267379679144385,0.00267379679144385,0.0294117647058824,0.0053475935828877,0,0,0.0106951871657754,0.240641711229947,0,0,0.0320855614973262,0.0802139037433155,0.0133689839572193,0.00802139037433155,0,0,0,0,0,0,0.00267379679144385,0,0,0.00267379679144385,0.00267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3512,0.0165876777251185,0.042654028436019,0,0.0023696682464455,0.0260663507109005,0.0308056872037915,0.109004739336493,0.0023696682464455,0.0023696682464455,0.0165876777251185,0.037914691943128,0.009478672985782,0.26303317535545,0,0.00710900473933649,0,0,0.009478672985782,0,0.0805687203791469,0.0213270142180095,0,0,0.0118483412322275,0.258293838862559,0,0,0.0260663507109005,0.0165876777251185,0,0.004739336492891,0,0,0.0023696682464455,0.0023696682464455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3967,0.011037527593819,0.0309050772626932,0.00662251655629139,0.00883002207505519,0.0441501103752759,0.0176600441501104,0.19205298013245,0.00441501103752759,0.00662251655629139,0.00883002207505519,0.011037527593819,0.00662251655629139,0.216335540838852,0,0.00662251655629139,0,0,0.011037527593819,0.00441501103752759,0.0573951434878587,0.0264900662251656,0,0,0.022075055187638,0.207505518763797,0,0,0.0264900662251656,0.0596026490066225,0.00441501103752759,0.0022075055187638,0,0.0022075055187638,0,0,0,0,0,0,0,0.0022075055187638,0,0.0022075055187638,0,0,0,0,0,0,0,0,0,0,0,0
110,4422,0.0132075471698113,0.030188679245283,0.00566037735849057,0.00754716981132075,0.039622641509434,0.0207547169811321,0.167924528301887,0.00188679245283019,0,0.0188679245283019,0.0169811320754717,0.00754716981132075,0.252830188679245,0,0.0132075471698113,0,0.00377358490566038,0.00754716981132075,0.00754716981132075,0.0415094339622641,0.0547169811320755,0,0.00188679245283019,0.0113207547169811,0.181132075471698,0,0,0.0188679245283019,0.0509433962264151,0.00943396226415094,0.00188679245283019,0.00377358490566038,0.00377358490566038,0.00188679245283019,0,0,0,0,0.00188679245283019,0,0,0,0,0.00188679245283019,0,0,0,0,0,0,0,0,0,0,0
