"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Sarcobatus.vermiculatus","Corylus.cornuta","Cyperaceae","Dryas","Dryopteris.type","Elaeagnus.commutata","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.sibiricum.type","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.rubens.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifraga.oppositifolia.type","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.nudum"
0,-1,9,0,0,1,1,13,9,0,1,0,1,0,0,0,278,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1,2,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,32,17,0,63,125,0,5,0,0,3,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,3,0,0,5,0,2,1,0,1,0
20,431,1,0,0,2,0,22,7,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,1,0,0,1,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,10,0,23,71,0,7,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,4,0,1,1,4,1,0
40,861,5,0,0,1,0,27,18,0,0,0,1,0,0,0,223,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,11,15,0,32,35,0,8,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0
60,1292,6,0,0,4,1,17,6,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,17,0,10,18,0,32,76,0,3,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0
80,1723,8,0,0,5,0,26,18,0,0,0,1,0,0,0,229,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,4,0,5,2,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,2,0,0,22,0,10,22,0,91,132,0,4,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0
100,2154,21,1,0,1,0,18,8,0,0,0,0,1,0,0,189,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,8,0,43,11,0,41,95,1,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
120,2584,5,0,0,4,0,17,11,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,0,2,0,0,33,0,10,24,0,58,31,0,5,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,0,0,1,0
140,3015,26,0,0,0,0,12,12,0,1,0,1,2,0,0,158,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,35,0,17,5,0,80,65,0,13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
160,3446,9,2,0,5,0,15,11,1,0,0,3,0,0,0,161,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18,0,6,18,0,89,42,0,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0
180,3877,17,2,0,5,0,25,15,1,0,0,0,1,0,0,314,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,10,0,4,1,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,11,31,0,147,62,2,7,0,0,4,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0
