"sample.depths","sample.ages","Acer.rubrum","Alnus","Carya","Casuarina","Cephalanthus.occidentalis","Citrus","Clematis.type","Conocarpus","Cornus","Diospyros","Ficus.aurea","Fraxinus.caroliniana","Ilex","Juglandaceae.undiff.","Magnolia.virginiana","Myrica.cerifera","Ostrya","Arecaceae","Picea","Pinus.elliottii","Psychotria","Quercus","Myrsine.cubana","Rhamnaceae","Rhizophora.mangle","Salix.caroliniana.type","Sideroxylon","Taxodium","Trema.micrantha","Ulmus","Vitis","Zanthoxylum.fagara","Amaranthaceae","Salicornia.type","Chenopodium.album.type","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Artemisia","Iva.frutescens","Anacardiaceae","Apiaceae","Brassicaceae","Euphorbiaceae","Fabaceae.undiff.","Crotalaria.type","Hippocratea.type","Hypericum","Lamiaceae","Ludwigia","Polygalaceae","Polygonum","Rumex","Sabatia.type","Solanaceae","Urticaceae","Verbenaceae","Waltheria.indica","Cerealia","Cladium.jamaicense","Cyperaceae.undiff.","Vaccinium.type","Unknown","Poaceae.undiff.","Dryopteris.type","Polypodium","Spore..monolete.","Drosera","Osmunda","Acrostichum","Spore..trilete.","Lemna.type","Myriophyllum.aquaticum","Nymphaea","Sagittaria","Type.182..Van.Geel.1983.","Typha.domengensis.latifolia.type","Typha..tetrad..undiff.","Lycopodium.tablets..concentration..grains.tablet.","Lycopodium.tablets..added..number.","Sample.volume..ml.","Lycopodium.spike..number.counted.","Indeterminable"
1.5,-48,2,0,0,0,0,0,0,1,0,0,0,11,0,0,0,5,1,0,0,8,0,6,0,0,0,4,0,260,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,28,6,0,0,0,0,4,0,0,0,0,0,0,10679,1,1,43,0
5,-47,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,2,0,0,2,16,0,25,0,1,0,3,1,218,0,0,1,0,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,4,20,8,1,0,0,0,0,1,0,0,0,0,0,0,10679,1,1,80,2
8.5,-43,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,248,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,9,0,0,0,0,1,7,0,0,1,3,0,0,10679,1,1,82,0
12,-35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,2,0,7,0,12,1,0,0,1,0,212,0,0,0,0,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,9,6,0,0,0,0,0,1,0,0,1,0,0,0,10679,1,1,74,0
17,-13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,250,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,9,6,0,0,0,1,3,0,0,0,1,0,0,10679,1,1,53,0
21,18,1,1,0,0,1,0,0,0,0,0,0,6,0,0,0,3,0,9,0,12,0,2,0,0,0,1,0,224,0,0,0,0,26,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,1,0,1,0,0,0,0,0,0,10679,1,1,100,1
24,49,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,0,3,0,0,0,2,0,259,0,0,0,1,19,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,6,12,2,1,0,1,0,1,0,0,0,1,0,0,10679,1,1,77,0
32,180,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,0,2,0,294,0,0,1,0,22,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,26,2,0,0,0,1,0,2,0,0,0,1,0,0,10679,1,1,68,0
36,273,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,8,0,0,0,1,0,300,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,2,0,0,0,4,0,3,0,0,0,0,0,0,10679,1,1,86,0
40,378,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,266,0,0,0,0,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,5,3,0,1,3,3,6,0,0,0,10,0,0,10679,1,1,72,0
