"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Chamaedaphne.calyculata","Corylus.cornuta","Cyperaceae","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lonicera","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.undiff.","Rubiaceae","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Vaccinium.uliginosum.type","Viburnum.edule","Viburnum.nudum"
0,1,3,5,2,0,36,0,21,1,0,0,0,2,0,246,2,0,0,2,1,0,1,0,17,90,8,10,0,1,0,2,0,0,4,0,0,0,0,0,0,1,1,14,2,11,134,18,0,0,1,0,0,35,0,0,1,0,0,0,172,0,1,5,103,0,22,0,2,0,2,0,0
10,744,1,2,5,0,19,0,15,2,1,2,0,1,1,241,3,0,1,1,5,0,1,0,5,86,25,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,1,12,113,27,1,0,0,0,0,25,0,0,0,0,0,0,328,0,0,3,121,0,18,0,4,0,1,0,0
20,1489,0,2,3,0,27,0,9,0,0,0,0,3,0,153,0,0,1,3,5,0,1,0,6,67,25,4,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,5,0,4,116,12,0,0,0,0,0,18,0,0,0,1,0,0,52,0,1,2,77,0,11,0,1,0,0,0,0
30,2233,3,2,1,0,32,0,13,1,0,0,0,1,1,216,5,0,0,1,19,1,6,0,14,60,19,3,1,1,0,1,1,0,4,0,2,0,0,0,4,3,0,10,3,8,86,38,0,0,0,0,0,50,0,0,0,1,0,0,331,0,0,4,44,1,21,0,4,1,2,0,0
40,2978,1,0,1,0,13,0,18,1,0,3,0,0,0,132,2,0,0,0,1,0,0,0,2,68,13,6,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,4,3,11,81,56,0,0,0,0,0,28,0,0,0,0,1,0,255,0,0,7,24,0,3,0,3,1,5,0,0
50,3722,2,0,5,0,21,0,19,2,0,3,0,0,1,251,2,0,0,0,0,0,8,0,3,54,19,2,1,6,0,6,0,0,1,0,1,0,0,0,1,1,0,7,1,3,74,37,1,0,0,0,0,29,0,0,1,2,1,0,385,0,0,7,26,1,20,0,5,1,0,0,0
60,4466,0,1,3,0,25,0,7,1,0,1,0,2,0,160,2,0,1,3,0,0,12,0,9,52,14,3,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,9,4,2,59,23,1,0,3,0,0,25,0,0,0,0,2,0,198,0,0,0,74,0,34,0,4,0,0,0,0
70,5211,1,2,1,0,18,0,5,0,0,1,0,1,0,132,0,0,1,1,1,0,0,0,1,32,17,5,0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,4,2,2,31,13,0,0,0,0,0,13,0,0,0,0,0,0,34,0,0,2,44,0,9,0,6,1,0,0,0
75,5583,0,0,2,0,19,0,8,2,0,1,0,2,0,162,2,1,0,0,0,0,2,0,1,67,13,7,0,32,0,0,0,0,4,0,0,0,0,0,13,2,0,27,2,5,58,5,2,0,0,0,0,37,0,1,0,0,0,0,140,0,0,2,117,1,20,0,61,2,0,2,1
80,5948,1,1,5,1,19,0,5,1,3,0,5,1,2,140,1,0,1,1,0,0,1,0,5,52,19,6,1,176,0,2,0,0,3,0,0,0,0,0,60,1,1,7,4,3,29,22,1,0,0,0,0,34,0,0,1,0,0,0,85,0,0,6,75,0,22,0,75,0,1,6,3
