"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Thalictrum","Tilia","Ulmus","Rosaceae.undiff.","Abies.balsamea","Acer.saccharum","Carya.ovata","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Vaccinium.uliginosum.type","Picea.undiff.","Ericaceae.undiff.","Ambrosia.type","Asteraceae.subf..Asteroideae.undiff.","Amaranthaceae","Poaceae","Castanea.dentata","Juniperus.type","Rubiaceae","Corylus.cornuta","Salix","Myrica.gale","Caryophyllaceae","Rhamnus.alnifolia.R..frangula","Viburnum.edule","Viburnum.nudum","Acer.saccharinum","Arceuthobium.pusillum","Lonicera","Acer.spicatum","Populus.balsamifera.type","Taxus","Potentilla.palustris.type","Juniperus.communis.Thuja.occidentalis.type","Ranunculaceae.undiff.","Shepherdia.canadensis"
0,1,802,5,2,21,1,2,246,1,1,90,8,10,2,4,1,14,18,1,35,1,5,22,1,3,36,2,1,11,134,103,2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,744,760,2,5,15,2,1,241,5,1,86,25,5,0,6,0,11,27,0,25,0,3,18,0,1,19,3,0,12,113,121,1,1,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1489,557,2,3,9,0,3,153,5,1,67,25,4,2,1,0,5,12,0,18,1,2,11,0,0,27,0,0,4,116,77,0,0,6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2233,671,2,1,13,1,1,216,19,6,60,19,3,1,4,0,10,38,0,50,0,4,21,0,3,32,5,1,8,86,44,2,3,14,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2978,487,0,1,18,1,0,132,1,0,68,13,6,0,1,1,4,56,0,28,0,7,3,0,1,13,2,1,11,81,24,5,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3722,614,0,5,19,2,0,251,0,8,54,19,2,6,1,0,7,37,0,29,0,7,20,1,2,21,2,6,3,74,26,0,1,3,3,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4466,532,1,3,7,1,2,160,0,12,52,14,3,1,1,0,9,23,3,25,0,0,34,0,0,25,2,1,2,59,74,0,4,9,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,5211,343,2,1,5,0,1,132,1,0,32,17,5,4,0,0,4,13,0,13,0,2,9,0,1,18,0,0,2,31,44,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5583,604,0,2,8,2,2,162,0,2,67,13,7,0,4,0,27,5,0,37,0,2,20,0,0,19,2,32,5,58,117,0,2,1,1,0,0,2,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
80,5948,665,1,5,5,1,1,140,0,1,52,19,6,2,3,1,7,22,0,34,0,6,22,1,1,19,1,176,3,29,75,1,4,5,0,2,3,1,1,0,0,0,0,0,0,0,6,3,1,5,0,0,0,0,0,0,0,0
85,6254,809,1,1,22,2,1,213,2,7,54,12,7,1,2,0,3,31,1,61,0,1,27,0,1,19,2,36,14,74,166,1,4,9,2,2,0,1,0,0,2,0,0,0,0,0,10,16,0,0,1,0,0,0,0,0,0,0
90,6559,551,2,2,3,2,2,124,0,22,8,8,7,1,13,0,6,49,14,40,0,4,21,0,2,11,2,6,25,80,61,0,2,1,0,1,0,1,0,1,1,0,3,2,0,0,0,11,0,1,0,1,3,1,1,6,0,0
100,7170,750,0,3,6,1,1,78,0,107,3,21,3,0,8,1,14,50,0,65,0,2,29,2,1,13,1,1,12,219,100,0,2,0,1,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
