"depth","best.age","min.age","max.age"
0,-31,-50,-13
20,394,348,441
40,819,737,907
60,1247,1127,1373
80,1679,1523,1839
100,2114,1929,2306
120,2555,2345,2773
140,3003,2774,3239
160,3458,3220,3707
180,3922,3681,4174
200,4396,4162,4644
220,4881,4662,5117
240,5379,5179,5597
260,5892,5708,6090
280,6416,6242,6597
300,6947,6774,7116
320,7481,7303,7644
340,8015,7833,8178
360,8544,8357,8715
380,9071,8877,9259
400,9596,9387,9804
420,10118,9886,10352
440,10640,10378,10908
460,11160,10860,11467
480,NA,NA,NA
500,NA,NA,NA
520,NA,NA,NA
530,NA,NA,NA
550,NA,NA,NA
560,NA,NA,NA
