"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Cornus","Corylus","Cupressaceae","Cyperaceae","Dalea.purpurea","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
0,-31,7,0,0,13,8,1,22,1,1,88,0,1,0,1,8,0,0,0,17,0,11,0,1,9,0,0,0,2,0,3,0,0,0,6,7,98,7,0,0,5,5,0,0,0,0,0,0,0,19,0,5,2,3
20,394,5,0,0,11,13,3,13,0,1,90,0,2,0,0,4,2,0,0,7,1,6,3,2,5,0,0,0,1,0,4,0,0,0,5,9,102,7,0,0,2,5,0,0,0,1,0,0,0,42,0,9,0,0
40,819,5,0,1,9,3,0,3,0,0,137,0,1,0,1,5,0,0,0,0,1,16,4,1,7,0,0,0,1,0,1,0,0,0,7,5,86,2,0,0,1,12,0,0,0,7,0,0,2,75,0,17,1,1
60,1247,3,0,2,7,11,0,0,0,0,100,0,0,0,1,2,0,0,1,2,0,22,5,0,6,0,0,0,0,0,0,0,0,0,3,4,64,0,0,0,4,6,0,0,0,5,0,0,1,47,0,9,1,0
80,1679,3,0,2,14,5,0,0,0,0,74,0,1,0,2,4,1,0,0,0,0,15,3,0,6,0,0,0,0,0,0,0,0,0,6,3,60,0,0,0,0,7,0,0,1,2,0,0,0,43,0,4,2,0
100,2114,2,0,0,6,8,0,1,0,0,91,0,1,0,1,3,0,0,0,0,0,23,5,2,3,0,0,0,0,0,0,0,0,1,4,13,73,2,0,0,3,9,0,0,0,1,0,0,3,37,0,18,2,0
120,2555,3,0,1,13,10,0,1,1,0,93,0,0,0,2,8,0,0,2,1,1,19,6,0,3,0,0,0,1,0,0,0,0,0,3,11,124,0,0,2,1,6,0,0,0,3,0,0,1,32,0,14,0,0
140,3003,4,0,1,7,6,1,0,1,0,125,0,0,0,2,5,1,0,1,0,0,15,1,0,6,0,0,0,0,0,0,0,0,0,1,7,150,0,0,0,1,6,0,0,0,1,0,0,1,43,0,14,0,0
160,3458,3,0,1,22,8,1,0,0,1,112,3,1,0,2,6,0,0,0,0,0,15,10,1,7,0,0,0,2,0,0,0,2,0,5,7,119,1,0,0,4,16,0,0,0,2,0,0,0,16,0,10,0,0
180,3922,3,0,1,12,3,1,2,3,0,103,0,1,0,2,11,1,0,0,0,0,18,2,0,6,0,0,0,2,0,0,0,0,0,6,12,110,0,0,0,2,11,0,0,0,3,0,0,0,22,0,11,0,0
