"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Carya","Corylus","Cupressaceae","Fagus","Fraxinus.undiff.","Larix","Ostrya.Carpinus","Picea","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Alnus","Ambrosia","Myrica","Pinus","Amaranthaceae","Poaceae","Acer.saccharum","Cyperaceae","Ericaceae","Salix","Fraxinus.nigra","Acer.rubrum","Tilia","Cornus","Acer.negundo","Juglans.cinerea","Juglans.nigra","Populus","Thalictrum","Rumex","Rosaceae","Dalea.purpurea"
0,-31,318,7,1,88,1,1,8,11,1,2,6,7,5,19,1,5,3,8,22,3,98,1,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,394,341,5,0,90,2,0,4,6,2,1,5,9,5,42,1,9,0,13,13,4,102,3,7,11,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
40,819,403,5,0,137,1,1,5,16,1,1,7,5,12,75,0,17,1,3,3,1,86,0,2,9,0,1,7,4,1,2,0,0,0,0,0,0,0,0,0
60,1247,292,3,0,100,0,1,2,22,0,0,3,4,6,47,0,9,0,11,0,0,64,0,0,7,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0
80,1679,249,3,0,74,1,2,4,15,0,0,6,3,7,43,0,4,0,5,0,0,60,0,0,14,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0
100,2114,303,2,0,91,1,1,3,23,2,0,4,13,9,37,0,18,0,8,1,0,73,0,2,6,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0
120,2555,353,3,1,93,0,2,8,19,0,1,3,11,6,32,0,14,0,10,1,0,124,0,0,13,0,1,3,6,1,1,0,0,0,0,0,0,0,0,0
140,3003,392,4,1,125,0,2,5,15,0,0,1,7,6,43,0,14,0,6,0,0,150,1,0,7,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
160,3458,361,3,0,112,1,2,6,15,1,2,5,7,16,16,1,10,0,8,0,0,119,1,1,22,0,0,2,10,1,0,0,0,0,0,0,0,0,0,0
180,3922,340,3,3,103,1,2,11,18,0,2,6,12,11,22,0,11,0,3,2,0,110,1,0,12,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0
200,4396,278,1,0,96,0,0,15,11,2,1,5,6,25,6,0,14,0,4,0,0,75,0,0,6,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0
220,4881,296,3,0,99,0,1,14,9,0,5,8,1,20,9,0,10,0,11,1,0,81,0,0,9,2,1,2,9,1,0,0,0,0,0,0,0,0,0,0
240,5379,277,1,1,93,1,2,6,7,0,0,10,2,6,36,0,12,0,3,1,0,76,1,2,4,1,0,3,5,1,0,3,0,0,0,0,0,0,0,0
260,5892,277,0,2,112,0,0,8,4,0,0,4,3,12,27,0,12,0,4,5,0,69,0,0,3,0,0,3,6,0,0,0,2,1,0,0,0,0,0,0
280,6416,343,2,0,73,0,0,4,8,0,0,5,13,23,45,0,11,0,8,0,0,128,0,2,3,1,1,5,9,0,0,0,1,0,1,0,0,0,0,0
300,6947,287,3,1,30,0,1,6,7,0,1,4,11,22,17,0,14,0,7,2,0,139,0,0,6,2,0,1,9,1,0,0,2,0,1,0,0,0,0,0
320,7481,210,2,0,15,1,0,7,12,4,1,9,8,5,1,0,7,0,3,3,0,116,0,0,5,0,1,0,6,2,0,0,0,1,0,1,0,0,0,0
340,8015,252,1,1,10,0,0,2,9,2,1,7,7,3,3,1,9,0,4,1,0,176,2,0,6,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
360,8544,296,4,0,34,0,0,4,2,0,1,10,13,1,0,0,3,0,5,3,11,193,4,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
380,9071,324,8,0,28,3,1,4,0,1,0,4,18,11,0,0,1,0,2,1,0,231,0,0,4,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0
400,9596,279,7,0,39,1,0,5,0,0,1,5,10,11,0,0,9,0,0,2,0,181,1,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
420,10118,270,5,1,40,0,0,6,0,0,0,6,9,4,0,0,10,0,7,7,1,158,0,0,0,0,0,10,4,0,0,0,0,0,0,0,2,0,0,0
440,10640,246,5,7,21,0,0,1,0,0,2,8,8,3,0,0,4,0,4,1,0,174,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
460,11160,224,3,2,30,0,0,6,0,0,1,10,10,12,0,0,1,0,0,0,0,147,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
480,NA,266,1,5,24,0,0,5,0,0,1,5,18,10,1,0,8,0,0,1,0,182,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
500,NA,312,2,4,77,2,0,39,0,0,3,0,44,12,1,1,11,0,1,1,0,87,1,0,1,6,0,4,8,0,0,0,0,3,0,0,2,2,0,0
520,NA,272,2,3,66,2,0,2,0,0,2,0,93,11,0,0,8,0,0,5,0,72,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0
530,NA,294,0,3,59,0,0,86,0,0,2,0,20,13,0,2,5,0,3,1,0,32,0,10,0,9,0,10,6,0,0,1,0,2,0,30,0,0,0,0
550,NA,147,2,2,11,0,0,12,0,1,2,0,8,8,0,1,9,0,4,2,0,49,0,0,0,14,0,7,7,0,0,0,0,0,0,7,0,0,1,0
560,NA,289,2,3,32,3,0,20,0,1,1,0,35,12,1,1,12,0,2,4,0,78,0,1,0,44,2,13,9,0,0,0,0,0,0,8,0,0,3,2
