"depth","best.age","min.age","max.age"
42,22,-14,56
130,47,15,79
230,75,38,113
265,85,44,126
350,109,57,162
405,327,267,385
410,387,323,449
428,606,514,688
445,813,687,918
485,1210,1042,1354
517,1359,1190,1516
557,1546,1301,1778
617,2283,2007,2545
657,2992,2724,3259
703,3807,3501,4118
771,5012,4590,5438
831,6041,5643,6436
876,6804,6415,7206
916,7483,7037,7940
976,8501,7892,9089
1016,9442,8922,9962
1035,10097,9601,10563
1050,10614,10036,11151
1065,11311,11138,11485
1085,11837,11643,12031
1100,12232,11986,12488
1141,13311,12864,13788
1163,13890,13323,14496
1183,14417,13738,15144
1198,NA,NA,NA
1226,NA,NA,NA
1246,NA,NA,NA
1291,NA,NA,NA
1363,NA,NA,NA
1400,NA,NA,NA
