"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Sarcobatus.vermiculatus","Asteraceae.subf..Asteroideae.undiff.","Alnus","Populus","Fraxinus.pennsylvanica.type","Iva.xanthifolia.type","Salix","Thalictrum","Poaceae","Iva.annua.type","Ericaceae","Ulmus","Vitis","Myricaceae","Tsuga","Onagraceae","Platanus","Acer.negundo","Pinus.undiff.","Amorpha.type","Carya","Caryophyllaceae","Rumex","Urtica.type","Shepherdia","Rosaceae","Moraceae","Juglans.nigra"
10,104,0.00284090909090909,0.00568181818181818,0.0113636363636364,0.0198863636363636,0.090909090909091,0.00284090909090909,0.00284090909090909,0.00852272727272727,0.0113636363636364,0.00284090909090909,0.00284090909090909,0.00284090909090909,0.096590909090909,0.553977272727273,0.0767045454545455,0.00568181818181818,0.00852272727272727,0.00568181818181818,0.0823863636363636,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,361,0.00790513833992095,0.00131752305665349,0.0158102766798419,0.0184453227931489,0.075098814229249,0,0,0.00527009222661397,0.00658761528326746,0,0.00922266139657444,0.00263504611330698,0.13965744400527,0.578392621870883,0.0487483530961792,0.0131752305665349,0,0.00527009222661397,0.0540184453227932,0.00131752305665349,0.00131752305665349,0.00263504611330698,0.00263504611330698,0.00131752305665349,0.00922266139657444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,619,0.00597014925373134,0.00298507462686567,0.00597014925373134,0.0149253731343284,0.0776119402985075,0.00597014925373134,0,0.00597014925373134,0.00895522388059702,0,0.00597014925373134,0.00298507462686567,0.113432835820896,0.608955223880597,0.0776119402985075,0.00597014925373134,0,0.00298507462686567,0.0447761194029851,0,0,0.00298507462686567,0.00298507462686567,0,0.00298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,876,0.0126582278481013,0.00180831826401447,0.0054249547920434,0.0180831826401447,0.0596745027124774,0.00180831826401447,0.00180831826401447,0.00180831826401447,0.0054249547920434,0,0.0253164556962025,0,0.157323688969259,0.54249547920434,0.0524412296564195,0.0180831826401447,0,0.0054249547920434,0.0596745027124774,0.0054249547920434,0,0,0.00361663652802893,0,0.0126582278481013,0.00180831826401447,0.00180831826401447,0.00180831826401447,0.00180831826401447,0.00180831826401447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1390,0.00286532951289398,0,0.00573065902578797,0.00859598853868195,0.0716332378223496,0.00573065902578797,0.00573065902578797,0.0114613180515759,0.0143266475644699,0,0.00573065902578797,0,0.0859598853868195,0.630372492836676,0.0343839541547278,0.0114613180515759,0,0.00859598853868195,0.0687679083094556,0,0.00286532951289398,0,0.00859598853868195,0,0.0171919770773639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1647,0.0138504155124654,0,0,0.0138504155124654,0.113573407202216,0.00554016620498615,0.00277008310249307,0.0138504155124654,0.00277008310249307,0.00554016620498615,0.0138504155124654,0.00831024930747922,0.0637119113573407,0.56786703601108,0.038781163434903,0.00831024930747922,0,0.00277008310249307,0.116343490304709,0.00277008310249307,0,0,0,0,0.00554016620498615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1904,0.0139664804469274,0,0.00279329608938547,0.0195530726256983,0.0977653631284916,0,0,0.0111731843575419,0.00558659217877095,0.00279329608938547,0.0167597765363128,0.0139664804469274,0.103351955307263,0.527932960893855,0.0726256983240224,0.0111731843575419,0,0,0.0614525139664804,0.0111731843575419,0.00279329608938547,0,0,0,0.0195530726256983,0,0,0,0,0,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0,0,0,0,0,0
90,2162,0.0084985835694051,0,0.0056657223796034,0.0169971671388102,0.0594900849858357,0.0056657223796034,0.0028328611898017,0.028328611898017,0.0084985835694051,0,0.0198300283286119,0,0.0821529745042493,0.577903682719547,0.0594900849858357,0.0084985835694051,0,0.0028328611898017,0.0793201133144476,0.0056657223796034,0,0,0.0028328611898017,0,0.0169971671388102,0,0,0.0056657223796034,0,0.0028328611898017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2419,0.0141843971631206,0,0.0113475177304965,0.0113475177304965,0.0936170212765957,0.00283687943262411,0.00567375886524823,0.00709219858156028,0.00567375886524823,0.00283687943262411,0.0156028368794326,0.00283687943262411,0.0936170212765957,0.527659574468085,0.0666666666666667,0.0113475177304965,0.00141843971631206,0.00709219858156028,0.0893617021276596,0.0113475177304965,0,0,0.00141843971631206,0.00283687943262411,0.00709219858156028,0,0,0.00141843971631206,0,0.00567375886524823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2933,0.00650759219088937,0,0.00433839479392625,0.0108459869848156,0.119305856832972,0,0.00216919739696312,0.00650759219088937,0.00216919739696312,0.00216919739696312,0.00433839479392625,0.00433839479392625,0.0672451193058568,0.52060737527115,0.108459869848156,0.0130151843817787,0,0.00650759219088937,0.0759219088937093,0.0130151843817787,0,0,0.00433839479392625,0,0.017353579175705,0,0,0.00216919739696312,0,0.00650759219088937,0,0,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,0
130,3190,0.0114285714285714,0,0.00857142857142857,0.0114285714285714,0.0714285714285714,0.00285714285714286,0.00857142857142857,0.0171428571428571,0.00857142857142857,0.00571428571428571,0.00571428571428571,0,0.08,0.565714285714286,0.08,0.0114285714285714,0,0.00285714285714286,0.08,0.00285714285714286,0.00285714285714286,0,0.00285714285714286,0,0.00857142857142857,0,0,0.00857142857142857,0,0,0,0,0,0.00285714285714286,0,0,0,0,0,0,0,0,0,0
140,3447,0.0081799591002045,0,0.00613496932515337,0.0081799591002045,0.10838445807771,0.00204498977505112,0.00204498977505112,0.00613496932515337,0.0081799591002045,0.00408997955010225,0.0081799591002045,0.00613496932515337,0.0511247443762781,0.574642126789366,0.0674846625766871,0.0143149284253579,0,0.00204498977505112,0.0920245398773006,0.0122699386503067,0.00204498977505112,0,0,0,0.0102249488752556,0,0,0.00408997955010225,0,0.00204498977505112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3705,0.0106666666666667,0,0.0133333333333333,0.016,0.106666666666667,0,0,0.008,0.00266666666666667,0.00533333333333333,0,0,0.0693333333333333,0.618666666666667,0.0106666666666667,0.016,0,0.00266666666666667,0.101333333333333,0.00266666666666667,0,0,0,0,0.0106666666666667,0,0,0,0,0.00266666666666667,0,0,0,0,0.00266666666666667,0,0,0,0,0,0,0,0,0
160,3962,0.0100755667506297,0,0,0.0100755667506297,0.105793450881612,0.00251889168765743,0,0.0100755667506297,0.0125944584382872,0.0075566750629723,0.0075566750629723,0.00251889168765743,0.035264483627204,0.624685138539043,0.0377833753148615,0.0251889168765743,0,0,0.0806045340050378,0.00503778337531486,0,0,0,0,0.0151133501259446,0,0,0,0,0.00503778337531486,0,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0
170,4219,0.00544959128065395,0,0.00544959128065395,0.0190735694822888,0.14441416893733,0.00272479564032698,0.00272479564032698,0.0326975476839237,0.00272479564032698,0.00272479564032698,0.00817438692098093,0.00544959128065395,0.0463215258855586,0.572207084468665,0.0245231607629428,0.0108991825613079,0,0.00544959128065395,0.0762942779291553,0.0190735694822888,0,0,0.00544959128065395,0,0,0,0,0.00544959128065395,0,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
