"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Impatiens","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Selaginella.selaginoides","Sparganium.type","Sphagnum","Taxus","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis"
1,-26,0,0,0,5,0,3,17,0,1,3,0,17,1,1,0,0,0,0,6,1,0,15,6,9,0,0,2,0,1,0,0,2,0,0,1,3,0,12,1,44,1,18,0,1,0,19,0,0,0,0,0,0,2,0,0,1,7,0,11,1,0
20,149,1,0,0,4,0,7,2,0,0,0,1,22,0,3,0,0,1,0,3,3,0,8,1,3,0,0,5,0,0,0,0,0,2,0,1,0,1,14,0,91,1,0,1,0,0,42,0,1,0,0,0,0,1,0,1,1,11,1,8,0,0
30,242,0,0,0,8,0,5,0,0,0,1,0,32,0,1,0,0,2,0,0,1,0,7,1,1,1,0,2,0,0,2,0,0,0,1,0,0,0,5,2,77,0,0,0,5,0,56,0,0,0,1,0,0,0,0,0,0,8,0,4,1,0
50,426,0,0,0,7,0,0,1,0,2,0,1,26,0,3,0,0,2,1,1,5,0,15,1,8,0,0,4,0,0,0,0,0,0,0,0,0,0,17,1,49,0,0,1,2,0,52,0,0,0,0,0,0,0,0,0,1,18,0,4,0,0
80,703,1,1,0,6,0,2,6,0,0,1,0,37,0,5,1,0,1,0,0,1,0,16,0,4,0,0,6,0,1,0,0,0,0,0,0,0,0,12,1,16,1,0,1,0,0,60,0,0,3,0,0,0,0,0,0,1,13,0,33,0,0
100,887,0,0,0,12,0,5,0,0,2,0,0,27,0,4,0,0,1,0,0,0,0,49,2,7,0,0,0,0,3,1,0,0,0,0,0,0,1,10,1,26,1,0,0,1,0,26,1,0,0,0,0,0,2,0,0,4,11,1,22,1,0
130,1164,0,1,1,10,0,2,0,0,1,0,0,16,0,5,0,0,0,0,3,0,1,45,2,3,2,0,2,0,0,1,0,0,3,1,0,0,0,6,1,19,3,1,1,5,0,49,0,0,0,0,1,0,0,0,0,2,12,0,12,0,0
150,1348,0,0,0,10,0,5,0,0,0,0,0,25,0,1,1,1,2,0,3,0,0,66,2,8,0,0,9,0,1,1,0,0,0,0,0,0,1,5,1,16,1,1,1,5,0,30,0,0,0,1,0,1,0,0,0,2,6,0,15,3,0
180,1625,0,1,0,11,0,4,0,0,0,0,0,21,0,1,0,0,4,0,2,0,0,60,1,5,0,0,1,0,1,0,0,0,0,0,1,1,1,10,0,21,2,1,6,1,0,31,0,0,1,0,0,0,0,0,0,1,10,0,21,0,0
200,1809,0,0,3,9,0,1,0,0,0,0,0,19,0,7,0,0,0,0,1,0,0,46,3,5,0,0,3,0,0,0,0,0,0,0,1,0,0,6,0,22,0,2,0,2,0,41,0,0,1,3,0,0,0,1,0,0,6,0,16,0,0
220,1993,0,0,1,16,1,5,0,0,0,0,0,27,0,4,1,0,1,0,0,1,0,44,2,6,0,0,3,0,3,0,0,0,0,0,0,0,0,8,1,18,0,0,1,1,0,39,0,0,0,0,0,0,0,0,0,4,14,0,21,1,1
250,2270,0,0,0,10,0,1,0,0,0,1,0,14,0,2,0,0,3,0,1,2,0,27,1,4,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,9,0,0,1,1,1,10,0,0,0,0,0,0,1,0,0,0,7,0,20,0,0
280,2547,0,0,0,10,0,5,0,0,0,0,0,18,0,2,0,0,0,0,4,0,0,57,3,11,0,0,8,0,0,1,0,0,0,0,0,0,0,9,2,11,1,0,3,0,0,25,0,0,0,1,0,0,0,1,0,5,14,0,18,1,0
300,2731,0,0,0,7,0,3,0,1,0,0,1,15,0,3,0,0,0,2,1,1,0,63,3,7,0,0,5,1,2,0,1,2,1,1,0,0,0,13,0,21,0,2,0,1,0,27,0,0,2,1,0,0,0,0,0,4,10,1,30,1,0
