"sample.depths","sample.ages","Abies","Acer","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Carya","Castanea","Ceanothus","Celtis","Cephalanthus","Cerealia","Cornus","Corylus","Cyperaceae","Dryopteris","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ilex","Indeterminable","Iva.annua.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Viburnum","Vitis"
672,-9,0,0,0,1,2,119,6,1,2,1,0,7,0,0,0,0,1,0,0,5,0,0,0,3,8,0,1,0,2,4,1,0,0,0,0,1,0,18,0,0,0,4,1,0,1,0,3,3,2,33,0,2,3,0,46,0,0,3,0,9,0,0,0,0,0,1,11,3,1,0
884,236,0,0,0,0,0,14,1,0,3,1,3,22,0,0,0,0,0,0,4,6,0,0,6,1,11,0,2,1,2,1,0,0,1,0,0,0,0,1,0,2,0,7,1,0,0,0,1,0,3,6,2,0,3,0,214,0,1,1,0,2,0,0,1,0,0,1,13,1,1,0
916,532,0,3,0,0,0,9,1,1,18,2,0,16,0,0,2,0,0,0,0,10,0,0,10,6,8,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,7,3,2,5,0,2,0,11,15,12,2,6,0,203,1,0,1,1,1,0,0,0,1,0,0,8,1,0,1
948,827,1,3,0,1,2,10,0,1,19,2,0,36,0,0,0,0,0,0,1,14,0,0,16,3,9,0,3,0,3,1,0,0,0,0,0,0,0,1,0,2,0,11,3,1,0,0,8,0,4,12,18,3,3,0,165,1,1,1,1,1,0,0,0,0,1,1,6,3,0,0
980,1122,0,9,0,1,0,12,0,0,35,1,0,25,0,0,0,0,0,1,3,26,0,0,9,0,16,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,11,3,0,2,0,16,0,6,15,16,2,1,1,159,0,0,1,0,0,0,0,3,0,0,0,12,5,0,3
1044,1713,0,7,0,1,1,7,3,0,14,2,1,29,0,0,0,0,0,0,3,31,0,0,6,2,5,0,1,0,1,1,0,0,1,0,0,0,0,6,0,0,0,3,2,1,0,0,2,0,7,10,22,0,2,0,210,1,0,0,0,0,0,0,0,0,1,0,5,1,0,0
1108,2304,0,1,0,1,0,7,1,0,5,2,0,31,0,1,0,0,0,0,1,19,0,0,9,3,10,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,5,4,0,1,0,5,0,5,10,1,2,0,0,208,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0
1140,2599,0,6,0,0,0,5,0,0,8,1,0,35,0,0,0,0,0,0,1,6,0,0,6,0,8,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,6,3,1,0,0,2,0,9,9,2,2,1,0,204,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1
1172,2894,0,3,0,3,0,5,0,0,4,3,0,81,0,0,2,0,0,0,0,12,2,0,3,1,11,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,8,0,0,7,1,0,0,1,184,1,0,0,0,0,0,0,1,0,0,0,9,1,0,0
1220,3337,0,5,0,4,1,3,0,0,4,2,0,80,2,0,0,0,0,0,2,20,3,0,8,4,9,0,1,0,0,1,0,0,1,0,0,0,1,4,2,0,0,10,3,0,0,3,7,0,5,3,2,1,0,0,247,0,0,0,0,1,0,0,2,0,2,0,21,3,0,0
