"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Cyperaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Poaceae.undiff.","Ostrya.Carpinus","Pinus.undiff.","Platanus","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Ambrosia","Juniperus.type","Myrica","Populus","Amaranthaceae","Viburnum","Cerealia","Plantago","Rosaceae","Juglans.cinerea.type","Juglans.nigra.type","Pinus.banksiana.P..resinosa","Other.herbs","Iva.annua.type","Corylus","Fagus","Liquidambar","Nyssa","Rhus","Tilia","Celtis","Picea","Tsuga","Vitis","Acer","Rhamnus","Abies","Cornus","Ceanothus","Castanea","Pinus.strobus","Cephalanthus","Morus","Larix","Shepherdia.canadensis","Ericaceae","Ilex"
672,-9,283,1,1,7,5,3,8,33,4,3,2,46,9,2,11,6,1,119,1,1,2,2,1,1,3,3,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,236,327,0,1,22,6,1,11,6,7,1,3,214,2,3,13,1,0,14,0,0,0,0,1,0,0,1,2,1,0,1,1,4,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,532,353,1,2,16,10,6,8,15,7,2,11,203,1,18,8,1,0,9,0,0,2,0,0,0,0,1,3,1,5,3,0,0,10,0,0,0,0,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
948,827,341,1,2,36,14,3,9,12,11,8,4,165,1,19,6,0,1,10,0,0,3,2,0,0,0,1,3,1,0,3,0,1,16,0,2,1,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
980,1122,373,0,1,25,26,0,16,15,11,16,6,159,0,35,12,0,1,12,0,0,2,0,0,0,0,1,2,0,2,3,0,3,9,0,0,0,3,0,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0
1044,1713,355,0,2,29,31,2,5,10,3,2,7,210,0,14,5,3,1,7,0,0,0,1,0,0,0,0,1,1,0,2,0,3,6,1,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
1108,2304,337,0,2,31,19,3,10,10,5,5,5,208,0,5,4,1,1,7,0,0,2,0,0,0,0,0,2,0,1,4,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1140,2599,323,0,1,35,6,0,8,9,6,2,9,204,0,8,7,0,0,5,0,0,2,0,0,0,0,0,1,1,0,3,0,1,6,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0
1172,2894,348,0,3,81,12,1,11,7,6,8,0,184,0,4,9,0,3,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,1,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
1220,3337,449,0,2,80,20,4,9,3,10,7,5,247,1,4,21,0,4,3,0,0,1,1,0,0,0,0,0,1,0,3,0,2,8,1,0,0,2,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0
1252,3633,362,0,3,35,30,1,5,9,7,8,8,212,0,10,12,1,0,10,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1284,3928,345,1,2,51,5,2,7,10,5,1,8,224,1,2,6,1,1,6,0,0,0,0,0,0,0,0,2,2,1,3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1316,4223,353,1,0,56,17,1,8,1,8,0,6,211,2,3,11,0,2,3,1,0,0,2,0,0,0,0,2,1,0,2,0,1,8,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1332,4371,445,1,3,48,8,3,16,3,2,4,9,272,0,12,24,0,0,6,0,0,1,0,0,0,0,0,4,7,0,2,1,1,11,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
1348,4519,372,0,2,59,6,4,4,13,2,5,9,218,0,9,16,0,1,5,0,0,1,0,0,0,0,0,1,1,0,0,0,3,8,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0
