"depth","best.age","min.age","max.age"
1,-28,-46,-9
10,-6,-24,11
20,17,-4,39
30,41,14,69
40,65,29,100
50,88,44,132
60,213,166,261
80,666,620,712
100,1118,1071,1165
120,1571,1521,1621
140,2023,1969,2078
160,2476,2417,2537
180,2928,2863,2996
200,3381,3309,3456
220,3833,3755,3918
240,4286,4200,4380
260,4738,4645,4842
280,5191,5090,5304
300,5643,5534,5767
320,6096,5979,6230
340,6549,6422,6692
360,6867,6742,7007
380,7051,6939,7177
400,7235,7131,7349
420,7419,7321,7524
440,7603,7507,7703
460,7788,7692,7890
480,7972,7877,8082
500,8156,8058,8277
520,8340,8233,8475
560,NA,NA,NA
580,NA,NA,NA
600,NA,NA,NA
620,NA,NA,NA
630,NA,NA,NA
640,NA,NA,NA
650,NA,NA,NA
660,NA,NA,NA
