"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Tilia","Ulmus","Juniperus.type","Fraxinus.americana.type","Poaceae","Urticaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Populus.balsamifera.type","Pinus.resinosa.type","Viburnum.edule","Salix.undiff.","Polygonaceae.undiff.","Taxus","Cornus","Carya.ovata","Nemopanthus.mucronatus","Asteraceae.subf..Asteroideae.undiff.","Rhamnus.alnifolia.R..frangula","Viburnum.lentago","Juglans.nigra","Saxifraga","Viburnum.opulus","Rosaceae.undiff.","Amaranthaceae","Salix.herbacea.type","Thalictrum","Saxifraga.oppositifolia.type","Acer.spicatum","Viburnum.undiff.","Sambucus","Lamiaceae","Acer.saccharinum","Saxifraga.cernua.type","cf..Sarcobatus.vermiculatus","Liliaceae","Onagraceae","Populus.deltoides.type","Caryophyllaceae","Hypericum","Fabaceae.undiff.","Shepherdia.canadensis","Polygonum.convolvulus.type","Celtis.occidentalis","Linnaea.borealis","Potentilla.palustris.type","Oxytropis.maydelliana.type","Viburnum.nudum","Prunus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Rubiaceae","Salix.vestita.type","Viburnum.alnifolium","Brassicaceae","Armeria.maritima","Saxifragaceae.undiff."
5,93,555,1,1,9,3,1,2,258,4,1,41,6,2,3,3,6,1,10,7,3,19,3,12,13,3,6,1,8,17,1,2,2,12,34,4,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,280,527,0,2,5,2,0,0,264,9,1,39,13,2,0,0,0,0,9,24,2,11,3,7,3,1,3,0,5,9,0,0,1,3,39,0,62,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,466,505,0,3,7,1,2,2,238,3,1,36,3,1,1,3,3,0,18,9,3,20,2,2,5,1,9,0,9,14,1,0,0,13,31,7,40,7,0,1,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,933,675,0,1,10,4,2,1,319,3,0,76,13,2,1,3,3,1,20,17,0,14,4,7,8,0,3,0,6,18,1,0,1,13,41,0,70,5,0,1,0,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1399,534,0,7,7,1,1,1,204,6,2,78,13,1,0,0,13,1,4,10,3,22,2,8,10,0,3,0,3,14,0,0,1,1,54,2,55,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1834,517,0,3,15,3,2,1,237,7,0,54,2,1,0,0,3,0,3,35,0,9,0,5,1,2,2,0,9,30,0,1,0,6,51,0,25,3,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1995,627,2,6,7,1,1,1,281,11,1,60,6,1,0,3,5,0,11,17,1,13,4,7,9,5,7,0,4,11,0,0,1,6,76,11,52,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2155,537,0,4,14,1,0,1,235,14,0,42,9,3,0,1,3,3,1,15,2,12,1,8,2,0,7,0,2,15,0,0,1,0,87,1,47,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2315,606,0,1,8,1,0,1,220,6,1,65,7,1,0,0,2,0,8,43,2,25,0,7,1,3,2,0,6,20,0,2,3,4,97,0,58,5,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2476,879,2,6,12,1,1,1,309,15,2,107,6,2,1,3,7,0,23,34,0,21,3,15,18,0,10,0,10,23,0,0,0,10,134,6,80,5,0,2,0,0,0,3,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
