"sample.depths","sample.ages","Carya","cf..Rhus","Fraxinus","Ilex","Myrica","Nyssa","Pinus","Quercus","Salix","Ulmus","Asteraceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Poaceae","Polygonum","Smilax","Xyris","Acrostichum","Osmunda","Phlebodium","Polypodiaceae.undiff.","Sagittaria","Typha","Spore..trilete.","Unknown..tricolpate.","Unknown.undiff."
2,21,1,0,0,74,152,0,23,133,8,0,37,23,3,13,0,0,23,17,1,1,33,0,0,3,0,11
15,357,0,1,0,230,14,0,9,28,0,0,42,15,1,8,1,1,6,4,1,2,6,1,0,0,0,11
30,737,0,1,0,109,29,4,11,70,6,0,49,127,0,8,1,1,3,0,18,0,26,0,5,0,15,20
45,947,0,0,1,27,86,2,16,90,0,0,31,114,1,19,0,0,10,7,9,1,9,0,1,0,36,70
60,1186,0,0,0,23,59,7,9,119,14,0,28,145,1,15,0,0,23,5,2,1,25,1,0,0,0,13
75,2299,1,1,0,1,11,3,3,3,1,1,9,12,0,22,0,2,0,0,2,0,5,0,0,0,5,0
105,6733,0,0,0,2,13,0,18,15,1,1,4,2,2,10,0,0,0,19,0,2,21,0,0,0,10,16
120,8168,0,0,0,4,38,1,3,2,2,0,16,1,5,9,0,0,0,33,0,0,24,0,0,0,33,8
135,9422,0,0,0,2,55,0,139,17,58,2,9,6,16,112,0,3,0,1,0,1,13,0,0,0,0,7
150,NA,0,0,0,9,24,4,91,13,73,2,9,4,17,6,0,0,0,0,0,0,51,0,0,0,3,11
