"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Celtis.occidentalis","cf..Callitriche","cf..Oxyria.digyna","Cornus","Corylus.cornuta","Cyperaceae","Dryopteris.type","Ericaceae","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.cf..P..glauca","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhus.typhina","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.edule","Viburnum.lentago","Viburnum.nudum","Viburnum.undiff."
0,0,1,0,2,0,6,0,7,0,0,0,0,1,7,193,0,0,0,1,0,0,0,0,0,3,0,1,0,16,0,4,2,1,4,0,0,0,0,0,8,72,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,10,5,0,18,4,14,0,0,0,0,0,0,0,0,12,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,2,0,7,1,0,4,0,0,0,0,0
12,186,4,0,1,0,11,0,6,0,0,0,0,1,0,210,0,5,0,0,0,3,0,0,0,1,0,1,0,22,1,6,1,0,1,0,0,0,0,0,11,7,6,0,0,0,0,0,1,0,0,1,0,0,0,2,6,44,11,11,0,29,14,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,33,1,0,11,0,0,0,0,0,0,0,0
25,387,6,0,5,0,12,0,15,1,0,0,0,0,0,143,0,3,0,0,0,0,0,0,0,1,0,2,0,30,0,3,5,1,5,0,0,0,0,0,3,38,0,0,0,1,0,0,5,0,0,0,0,0,0,8,0,78,11,10,0,13,6,0,0,0,1,0,0,0,0,0,20,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,3,36,0,0,6,0,0,4,0,0,0,0,0
37,573,4,0,5,1,14,0,10,1,2,0,0,1,1,177,0,1,2,2,0,0,0,0,0,0,0,1,0,58,0,3,4,0,3,0,0,0,0,0,7,18,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,31,5,13,0,19,4,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56,0,0,10,0,0,0,0,0,0,0,0
50,774,3,0,3,0,20,0,5,1,0,0,0,0,0,204,0,0,0,0,0,0,0,0,2,2,0,0,0,52,0,5,5,0,2,0,0,0,1,0,4,61,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,17,6,4,0,13,4,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,9,0,0,4,0,0,0,2,0
62,960,1,0,0,0,22,0,13,3,0,0,0,0,1,226,0,0,0,0,0,1,0,0,2,3,0,0,0,53,0,11,2,1,1,0,0,0,1,0,3,85,2,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,5,11,0,43,39,0,0,0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,9,2,0,2,75,0,1,10,2,0,1,0,0,0,1,0
75,1162,4,2,4,1,5,1,6,2,0,1,0,2,0,237,0,0,0,2,0,0,0,0,0,1,0,1,0,49,0,8,4,0,2,0,0,0,0,0,8,56,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,9,2,5,0,56,32,0,0,0,3,1,0,0,0,0,16,0,0,0,1,0,2,0,0,0,0,0,0,4,1,0,2,44,0,0,17,0,1,3,0,0,0,0,0
87,1347,6,0,0,1,11,0,7,0,1,0,0,2,0,255,0,1,0,0,0,1,0,0,0,2,0,4,0,42,0,3,1,0,3,0,0,1,0,0,12,20,2,0,0,0,1,0,2,0,0,2,0,0,0,2,1,26,8,4,0,55,32,1,0,0,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,0,42,0,0,5,1,2,0,0,2,0,0,0
100,1549,1,0,3,0,20,0,9,0,0,0,0,1,0,163,0,0,0,0,0,0,0,0,0,1,0,0,0,68,0,7,6,0,2,0,0,1,1,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,38,12,17,0,28,12,1,0,0,2,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,41,0,0,5,0,1,2,0,0,0,0,0
112,1735,4,0,2,0,19,0,16,4,0,0,0,1,1,176,0,0,0,1,0,0,0,0,0,3,0,1,0,57,0,8,8,1,1,0,0,2,1,0,13,7,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,4,3,3,0,49,6,0,0,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,31,0,0,8,0,0,0,0,0,0,4,0
