"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Fraxinus.americana.type","Carya.ovata","Myrica.gale","Picea.cf..P..glauca","Alnus.viridis.type","Populus.tremuloides.type","Tilia","Rosaceae.undiff.","Salix.undiff.","Caryophyllaceae","Taxus","Thalictrum","Amaranthaceae","Acer.saccharinum","Juglans.cinerea","Corylus.cornuta","Viburnum.nudum","Acer.pensylvanicum","Acer.spicatum","Ambrosia.type","Sambucus","Prunus.virginiana","Viburnum.edule","Juglans.nigra","Pinus.resinosa.type","Urtica.type","Morus.rubra.type","Viburnum.lentago","Impatiens","Brassicaceae","Populus.balsamifera.type","Rubiaceae","Potentilla.palustris.type","Prunus.pensylvanica","Celtis.occidentalis","Liliaceae","Viburnum.undiff.","Rhus.typhina","Rhamnus.alnifolia.R..frangula","Prunus.undiff.","Salix.vestita.type","Apiaceae","Onagraceae","Salix.herbacea.type","Cornus","Shepherdia.canadensis","Fabaceae","cf..Oxyria.digyna","Polygonaceae.undiff."
0,0,487,2,7,1,193,3,1,16,4,2,2,3,61,4,12,1,7,7,8,14,1,6,1,4,5,18,9,72,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,186,478,1,6,1,210,1,1,22,6,1,6,2,44,14,21,0,0,11,11,0,4,11,0,1,11,29,0,7,33,11,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,387,476,5,15,0,143,1,2,30,3,5,0,8,78,6,20,0,0,6,3,0,6,12,0,5,10,13,3,38,36,11,0,3,5,0,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,573,486,5,10,1,177,0,1,58,3,4,2,3,31,4,24,0,1,10,7,1,4,14,2,3,13,19,0,18,56,5,0,1,1,0,1,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,774,493,3,5,0,204,2,0,52,5,5,1,5,17,4,9,0,0,9,4,1,3,20,0,2,4,13,0,61,51,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,960,650,0,13,0,226,3,0,53,11,2,2,4,7,39,18,0,1,10,3,0,1,22,0,1,11,43,0,85,75,5,0,0,1,0,3,2,2,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1162,594,4,6,2,237,1,1,49,8,4,4,3,9,32,16,0,0,17,8,0,4,5,2,2,5,56,2,56,44,2,0,0,1,0,2,3,2,1,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1347,572,0,7,2,255,2,4,42,3,1,2,2,26,32,14,0,0,5,12,1,6,11,0,3,4,55,0,20,42,8,0,1,2,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1549,484,3,9,1,163,1,0,68,7,6,0,7,38,12,29,0,0,5,3,1,1,20,0,2,17,28,0,4,41,12,0,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1735,466,2,16,1,176,3,1,57,8,8,0,7,4,6,17,0,1,8,13,0,4,19,1,1,3,49,0,7,31,3,0,0,1,0,4,9,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
