"depth","best.age","min.age","max.age"
740.5,-66,-138,-26
748.5,-54,-122,6
756.5,-40,-121,35
764.5,-23,-102,65
768.5,-13,-88,81
770,-9,-83,88
772.5,-1,-74,101
780,24,-46,138
800,126,64,259
820,296,224,425
840,549,458,676
857,821,713,943
877,1189,1068,1310
897,1594,1460,1714
917,2022,1878,2143
937,2459,2302,2580
962,2998,2819,3126
977,3308,3112,3457
997,3698,3482,3901
1007,3883,3652,4120
1017,4061,3802,4329
1023,4165,3882,4449
1028,4251,3946,4547
1037,4401,4057,4719
1044,4514,4138,4857
1050,4610,4213,4968
1055,4688,4273,5057
1060,4765,4331,5145
1070,4916,4465,5315
1072,4945,4493,5347
1074,4975,4522,5380
1077,5019,4565,5427
1080,5064,4610,5474
1085,5138,4682,5549
1090,5213,4756,5624
1100,5363,4920,5769
1120,5663,5279,6043
1140,5962,5652,6306
1165,6333,6075,6613
1180,6551,6312,6792
1200,6836,6620,7038
1220,7113,6910,7290
1240,7383,7181,7546
1265,7720,7534,7894
1280,7928,7756,8115
1300,8215,8062,8424
1320,8522,8332,8736
1340,8845,8582,9064
1365,9257,8902,9506
1380,9500,9094,9769
1400,9809,9344,10105
1420,10090,9584,10417
1440,10331,9808,10685
1465,10564,10047,10929
1480,10671,10170,11035
1500,10784,10317,11140
1520,10871,10450,11213
1540,10942,10577,11268
1562,11013,10716,11330
1580,11073,10794,11374
1600,11148,10866,11438
1620,11229,10934,11512
1640,11312,11015,11604
1680,11481,11161,11794
1720,11655,11277,11995
1760,11834,11400,12204
1800,12017,11535,12407
1840,12205,11685,12622
1880,12403,11869,12849
1940,12769,12286,13270
2000,13287,12761,13872
2040,13731,13056,14419
2100,14478,13495,15416
2140,NA,NA,NA
2200,NA,NA,NA
