"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus.canadensis","Cornus.racemosa","Corylus","Cyperaceae","Dryopteris.carthusiana","Ephedra","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Juglans","Juniperus.Thuja","Lamiaceae","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea.glauca","Picea.mariana","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Saxifraga.oppositifolia","Shepherdia","Shepherdia.argentea","Sphagnum","Thalictrum","Thelypteris","Tilia","Tsuga","Typha","Ulmus","Urticaceae","Viburnum","Vitis","Woodsia"
868,1,31,19,19,65,1,8,98,0,2,2,3,1,0,267,1,0,0,0,1,0,2,1,0,14,7,0,0,0,0,1,49,10,0,20,2,0,0,2,8,0,3,0,0,0,17,0,4,0,2,0,2,14,1,20,1,85,125,3,16,0,0,0,2,3,29,3,0,0,8,11,0,0,0,0,0,0,3,48,3,30,0,0,0,0
872,92,18,17,2,52,0,0,38,0,1,3,0,0,0,251,0,0,2,1,1,0,1,0,1,9,11,0,0,0,0,1,50,6,0,9,0,0,0,1,22,0,0,2,0,0,1,1,0,0,0,0,0,26,1,20,0,157,194,3,16,1,0,1,6,4,23,0,0,0,26,10,0,0,0,0,0,0,2,67,8,10,0,1,0,0
876,185,14,22,16,22,14,0,17,0,0,2,2,0,0,296,0,0,3,0,0,0,0,0,3,7,4,0,0,0,0,0,27,8,0,10,3,0,3,1,23,1,6,1,0,0,36,0,0,0,8,0,0,24,0,6,0,215,151,1,3,0,0,2,2,0,13,3,1,0,16,0,0,0,0,0,0,0,1,58,2,11,0,0,0,0
880,277,10,19,6,26,0,0,3,0,0,4,0,0,0,267,0,0,1,1,3,1,0,0,0,10,0,0,0,0,0,0,26,1,0,8,0,0,0,1,10,0,7,1,0,0,2,3,2,0,1,0,0,16,0,7,0,212,240,7,0,0,0,1,2,0,38,1,1,0,8,4,0,0,0,0,0,0,2,95,1,12,0,0,0,0
884,369,16,34,6,44,0,0,4,0,10,6,4,0,4,196,0,0,8,0,2,4,0,0,0,4,14,0,0,0,0,0,24,48,0,12,4,0,10,0,1,0,4,8,0,0,0,4,2,0,0,0,0,26,0,14,0,140,200,0,18,0,0,6,16,2,44,0,0,0,4,18,0,0,0,0,4,0,2,96,0,26,0,0,0,2
888,461,13,23,8,24,2,1,0,1,0,2,0,0,0,197,0,0,4,0,0,0,0,1,0,4,2,0,0,0,1,0,50,11,0,10,2,0,1,0,20,0,8,1,0,0,0,1,3,0,7,0,0,11,0,13,0,105,150,2,1,0,0,0,4,0,41,1,0,0,7,0,0,1,0,0,0,0,0,269,1,19,0,0,1,0
892,554,16,25,17,35,0,1,4,0,2,1,2,0,0,192,0,1,2,0,1,1,0,0,0,8,3,0,0,0,0,0,63,16,0,13,1,0,3,0,4,0,1,1,0,0,1,0,4,0,0,0,0,26,1,11,0,108,160,3,5,0,0,0,5,3,34,7,0,0,2,10,0,0,0,0,0,0,4,223,1,25,0,0,0,0
896,646,10,25,11,15,0,0,0,0,0,4,1,0,0,224,0,1,0,0,1,0,0,0,0,2,8,0,0,0,0,0,87,11,0,19,3,0,0,2,10,0,2,2,0,0,1,3,3,0,1,0,0,24,0,11,0,89,162,2,6,0,0,2,5,0,43,2,0,0,6,3,0,0,0,0,0,0,6,185,1,47,0,0,0,0
898,692,12,23,22,9,0,0,1,0,1,4,1,0,0,197,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,104,21,0,15,5,0,2,1,2,0,9,4,0,1,8,4,0,0,4,0,0,13,0,5,0,104,108,5,0,0,0,1,0,1,24,11,0,0,5,0,0,0,0,0,0,0,3,252,0,18,0,0,0,0
902,784,9,19,9,15,0,2,0,0,1,3,1,0,0,219,0,0,2,0,1,0,0,0,0,3,9,0,0,0,0,0,96,3,0,7,1,0,0,0,8,0,4,2,0,0,2,1,1,0,0,0,0,16,0,10,1,108,130,4,3,0,0,4,5,0,32,1,0,0,8,4,0,0,0,0,0,0,0,255,1,23,0,1,0,0
904,831,5,13,38,25,0,0,0,0,0,4,0,0,0,146,0,0,5,0,0,0,0,0,0,7,2,0,0,0,0,0,101,17,0,7,1,0,0,1,5,0,5,0,0,0,4,0,4,0,4,0,1,7,6,7,0,95,85,4,2,0,0,2,1,2,16,1,0,0,7,0,0,1,0,0,0,0,3,370,0,21,0,0,0,1
908,923,7,18,6,15,0,3,0,0,3,1,2,0,1,173,1,0,6,0,0,0,0,0,0,5,11,0,1,0,0,0,104,24,0,7,6,0,1,1,20,0,3,2,1,0,4,3,1,0,0,0,4,26,0,9,0,100,106,1,4,0,0,0,2,1,20,6,0,0,5,0,0,0,0,0,0,0,8,265,0,34,0,1,0,0
912,1015,6,14,18,12,3,0,4,0,2,8,0,0,0,238,0,0,1,0,0,0,0,0,1,5,11,0,0,0,0,0,67,8,0,12,4,0,2,0,45,0,4,1,0,0,9,3,1,0,24,0,4,16,0,6,1,119,85,4,0,0,0,0,5,0,18,0,0,0,7,1,0,0,0,0,2,0,10,220,1,18,0,0,0,0
916,1107,4,21,12,16,1,1,0,0,3,1,1,0,0,244,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,104,10,0,9,2,0,1,0,5,0,4,4,0,0,2,3,0,0,1,0,0,9,0,5,0,91,102,5,2,1,0,0,4,1,28,3,0,0,5,1,0,0,0,0,1,0,6,259,1,30,0,0,0,0
920,1200,9,12,30,14,3,1,0,0,0,0,0,0,0,199,0,1,2,0,0,0,0,0,0,8,1,0,0,0,0,0,111,8,0,11,1,10,2,0,14,0,2,0,0,0,15,0,1,0,9,0,4,16,0,8,2,67,105,5,4,0,0,0,3,1,23,3,0,0,5,1,0,0,0,0,0,0,5,266,3,34,0,0,0,0
924,1292,5,29,10,25,0,0,1,0,1,0,2,0,0,208,0,0,4,0,1,0,0,0,0,11,1,0,0,0,0,0,151,9,0,8,0,0,2,0,16,0,2,0,0,0,3,0,1,0,0,0,0,15,1,4,0,34,79,7,4,0,0,0,1,0,54,1,0,0,2,1,0,0,0,0,0,0,3,354,0,24,0,0,0,0
928,1384,5,23,30,14,17,0,1,0,1,8,1,0,0,224,0,0,3,1,0,0,0,1,2,9,10,0,0,0,0,0,126,5,0,9,1,0,0,3,33,3,2,1,0,0,20,0,0,0,18,0,0,6,0,2,0,152,82,1,1,0,0,0,0,0,24,3,2,0,12,1,0,0,0,0,0,0,5,223,0,43,0,0,0,0
932,1477,11,25,7,19,0,0,2,0,1,2,0,0,0,267,0,0,2,0,0,1,0,0,0,7,4,0,0,0,0,0,58,2,0,7,1,0,0,4,18,0,2,0,0,0,0,1,1,0,0,0,0,14,1,7,0,65,157,4,2,0,0,1,3,0,30,2,0,0,2,0,0,0,0,0,0,0,8,287,0,17,0,0,0,0
936,1569,5,29,21,13,1,1,0,1,2,0,3,0,0,169,0,0,4,0,0,0,0,0,0,2,5,0,0,0,0,0,122,9,0,18,4,0,0,0,14,0,10,4,0,0,0,0,17,0,26,0,0,16,0,2,0,120,112,6,0,0,0,0,4,0,24,5,0,0,11,3,0,0,0,0,0,0,8,204,0,30,0,0,0,0
940,1661,7,21,14,18,1,0,2,0,1,3,0,0,0,202,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,127,12,0,16,4,0,1,2,6,0,2,1,0,0,1,1,0,0,0,0,0,22,1,3,0,101,164,4,1,0,0,3,5,0,30,6,0,0,10,3,0,0,0,0,0,0,3,183,1,28,0,1,0,0
944,1779,5,25,31,20,0,0,0,0,3,4,0,0,0,193,0,0,4,0,0,0,0,0,0,7,9,0,0,0,0,0,97,9,0,22,1,0,0,3,31,0,0,1,0,0,1,0,0,0,0,0,0,15,0,4,0,80,114,5,0,0,0,1,2,2,21,1,0,0,3,1,0,1,0,0,0,0,3,286,0,22,0,0,0,0
948,1897,7,16,15,18,0,1,1,0,1,3,0,0,1,205,0,0,4,1,0,1,0,0,0,5,3,0,0,0,0,0,89,7,0,10,5,0,1,1,7,0,2,1,0,0,2,1,1,0,1,0,0,16,2,11,0,159,135,5,1,0,0,1,2,1,21,2,0,0,8,0,0,0,0,0,0,0,9,207,2,33,0,0,0,0
952,2015,8,28,17,25,2,0,1,0,1,2,1,0,0,195,0,0,6,0,0,2,0,0,0,13,12,0,0,0,0,0,101,14,0,13,1,0,1,0,6,0,2,1,0,0,3,0,3,0,0,0,0,14,3,6,0,103,177,4,2,0,0,0,1,0,32,0,0,0,6,3,0,0,0,0,0,0,5,212,1,32,0,0,0,0
956,2133,11,24,30,18,2,0,0,0,1,2,0,0,0,200,0,0,1,0,0,0,0,0,0,8,13,0,0,0,0,0,83,10,0,13,1,0,3,1,36,0,5,3,0,0,6,0,2,0,2,0,4,6,0,1,1,91,77,4,3,0,0,0,9,1,23,1,1,0,5,1,0,0,0,0,0,0,6,324,1,19,0,0,0,0
958,2192,0,36,3,18,0,0,0,0,0,3,2,0,0,204,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,61,5,0,17,4,0,1,0,22,0,2,0,0,0,0,1,2,0,0,0,0,4,2,3,0,107,137,3,0,0,0,0,1,0,32,1,0,0,6,0,0,0,0,0,0,0,3,275,0,40,0,0,0,0
960,2251,7,26,32,13,0,1,0,0,0,3,1,1,0,193,0,0,3,0,0,0,0,1,0,5,3,0,0,0,0,0,113,13,0,13,1,0,0,0,9,0,1,0,0,0,2,0,1,0,1,0,1,7,0,2,1,110,145,7,1,0,0,0,1,0,29,1,0,0,2,0,0,0,0,0,0,0,3,262,0,28,0,0,0,0
