"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Betula.undiff.","Betulaceae.undiff.","Coniferophyta.undiff.","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Huperzia.lucidula","Huperzia.selago.H..lucidula","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia","Juglans.cinerea","Larix","Lycopodium.annotinum","Lycopodium.clavatum.Diphasiastrum.complanatum","Lycopodium.undiff.","Menyanthes.trifoliata","Myrica","Osmunda","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogeton","Pteridium","Quercus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Symphoricarpos.albus","Thalictrum","Tsuga","Ulmus","Unknown","Unknown.undiff."
795,-30,18,0,0,6,28,16,0,6,0,0,0,0,10,46,28,10,2,0,0,0,0,6,0,0,0,0,0,0,22,6,0,2,0,4,2,0,0,0,2,0,2,22,384,0,34,6,32,0,2,0,0,0,0,2,0,0,20,0,0,0,0,0,2
807,192,18,0,0,6,32,44,0,6,0,0,0,0,26,72,56,20,0,4,12,0,0,4,0,2,0,0,0,0,16,6,0,0,0,2,2,0,0,0,4,0,2,0,0,438,24,2,48,0,0,2,2,0,0,0,0,0,26,4,0,0,2,0,4
819,415,6,0,0,2,14,48,2,0,0,0,0,0,6,48,28,12,2,0,10,4,0,0,0,0,0,2,0,0,16,4,0,0,0,6,0,2,0,0,2,0,2,0,0,370,12,6,42,0,0,0,0,0,4,4,0,0,26,2,0,0,0,0,0
827,564,10,0,0,8,14,30,0,0,6,0,0,0,12,48,32,20,0,0,2,4,0,4,0,0,0,0,0,2,24,2,0,0,0,0,0,0,0,0,2,0,4,0,0,336,18,4,30,0,4,4,0,0,2,0,0,0,16,0,0,0,0,0,4
839,850,10,2,2,6,12,32,2,2,4,0,0,0,28,54,34,18,0,0,8,2,2,0,0,0,0,0,0,0,12,4,0,0,0,4,0,0,0,0,0,0,0,0,0,392,12,4,60,0,2,0,0,0,0,0,0,0,22,0,0,0,2,0,0
851,1169,12,0,0,0,14,32,0,0,2,2,0,0,4,38,18,20,0,0,12,0,0,2,0,0,0,0,0,0,16,6,0,0,0,2,0,0,0,0,0,0,2,0,0,364,10,8,24,0,2,0,0,0,2,4,0,0,18,2,0,0,4,0,8
863,1488,18,0,0,10,16,28,0,2,10,0,0,0,24,78,52,24,0,0,6,6,0,2,0,0,0,0,0,0,32,4,0,0,0,6,0,2,0,0,2,0,0,0,0,390,10,4,38,2,2,0,0,0,2,2,0,0,24,2,0,0,0,0,2
873,1751,14,0,2,6,20,36,0,2,0,0,0,0,14,70,42,4,0,0,10,0,0,2,0,0,0,0,0,0,18,6,0,0,0,4,0,0,0,0,2,0,2,0,0,348,20,8,28,0,2,0,0,0,4,0,0,0,24,2,0,0,4,0,2
878,1882,12,0,0,18,16,44,0,0,4,0,0,0,24,90,54,16,0,0,6,0,0,4,0,0,0,0,0,0,34,6,0,0,0,4,0,0,0,0,0,0,0,0,432,0,28,2,26,0,2,0,0,0,2,0,0,0,20,2,0,0,0,0,2
888,2143,18,0,0,2,26,54,0,0,0,0,0,0,8,52,42,14,0,0,10,2,0,2,0,2,2,0,0,0,26,4,0,0,0,0,2,2,0,0,0,0,0,0,0,360,14,6,26,0,2,4,0,0,2,2,0,0,34,0,0,0,2,0,2
