"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Corylus","Ericaceae","Larix","Ostrya.Carpinus","Pinus.undiff.","Salix","Alnus.incana","Ambrosia","Betulaceae.undiff.","Myrica","Poaceae","Iva.xanthifolia","Pinus.strobus","Pinus.banksiana.P..resinosa","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.glauca","Picea.mariana","Alnus.viridis.subsp..crispa","Cupressaceae","Cyperaceae","Ulmus","Populus","Picea.undiff.","Fraxinus.nigra","Symphoricarpos.albus","Fraxinus.undiff.","Quercus","Amaranthaceae","Artemisia","Acer.rubrum","Acer.saccharum","Asteraceae.subf..Asteroideae.undiff.","Platanus","Fraxinus.pennsylvanica","Fagus","Tsuga","Thalictrum","Iva.annua.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis"
795,-30,668,18,28,2,6,4,2,32,2,6,6,28,2,2,2,6,34,10,46,10,22,384,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,192,830,18,32,0,4,2,2,48,0,6,6,56,4,0,0,2,24,26,72,20,0,0,44,4,12,2,2,438,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,415,630,6,14,2,0,6,2,42,4,2,0,28,2,0,0,6,12,6,48,12,0,0,48,0,10,0,0,370,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
827,564,590,10,14,0,4,0,4,30,0,8,0,32,2,4,0,4,18,12,48,20,0,0,30,0,2,0,4,336,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
839,850,690,10,12,0,0,4,0,60,0,6,2,34,0,2,0,4,12,28,54,18,0,0,32,0,8,2,0,392,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0
851,1169,580,12,14,0,2,2,2,24,4,0,0,18,0,2,0,8,10,4,38,20,0,0,32,0,12,4,0,364,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
863,1488,730,18,16,0,2,6,0,38,2,10,2,52,2,2,0,4,10,24,78,24,0,0,28,0,6,0,0,390,0,2,0,2,0,10,0,0,0,2,0,0,0,0,0,0,0,0
873,1751,646,14,20,0,2,4,2,28,0,6,2,42,2,2,0,8,20,14,70,4,0,0,36,0,10,4,0,348,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
878,1882,786,12,16,0,4,4,0,26,0,18,0,54,0,2,0,2,28,24,90,16,0,432,44,0,6,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
888,2143,650,18,26,0,2,0,0,26,2,2,0,42,0,2,0,6,14,8,52,14,0,0,54,0,10,2,4,360,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
898,2404,1018,18,56,2,4,6,0,34,2,10,2,32,2,2,0,10,8,38,80,30,0,0,36,2,14,2,0,614,0,0,0,0,0,2,0,2,2,0,0,4,4,0,0,0,0,0
908,2743,646,10,16,0,4,8,0,20,6,4,2,26,2,4,0,4,4,28,72,6,0,0,26,0,4,0,0,390,0,0,2,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0
918,3159,728,22,12,0,4,0,0,26,2,10,0,30,0,2,0,8,6,20,78,14,0,0,40,0,4,0,2,442,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0
928,3575,706,18,20,0,2,2,2,16,2,2,0,36,0,4,0,16,10,30,80,26,0,0,34,0,8,0,2,386,2,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0
933,3783,866,20,24,0,2,4,8,24,0,4,0,78,0,0,0,10,8,58,116,20,0,0,40,0,8,4,0,420,4,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
938,3991,724,4,14,0,4,0,0,28,0,8,0,78,0,0,0,14,8,58,132,8,0,0,44,0,6,2,10,300,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
945,4353,766,20,32,0,2,4,0,16,2,8,0,52,2,0,0,10,12,52,108,24,0,0,46,0,10,0,0,352,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,4920,828,30,6,4,0,8,0,22,0,6,0,44,0,2,0,14,4,24,72,28,0,526,20,0,6,0,0,0,2,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
961,6166,894,30,12,0,0,2,4,24,0,0,4,58,0,2,0,18,10,44,104,26,26,454,50,0,10,0,0,0,2,0,2,2,2,4,0,4,0,0,0,0,0,0,0,0,0,0
963,6393,720,22,12,0,0,2,0,12,0,0,0,26,0,2,0,12,6,22,104,10,0,0,28,0,2,0,0,454,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
965,6620,974,30,18,0,0,2,0,14,2,4,2,34,2,0,0,4,2,42,168,16,0,590,36,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
967,6846,654,22,32,0,0,6,0,16,2,48,0,32,2,2,0,12,0,52,104,12,0,0,36,0,10,4,0,256,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
969,7073,692,74,14,0,0,18,0,20,0,2,0,34,2,4,0,14,0,22,82,32,0,0,44,0,10,2,0,314,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
971,7300,710,44,60,4,0,8,2,12,0,26,2,52,0,4,0,14,2,60,110,20,44,214,24,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
973,NA,944,30,68,0,2,18,6,30,10,22,2,70,0,6,0,20,8,66,186,22,24,204,126,0,12,2,0,0,0,4,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
975,NA,628,16,54,0,0,6,4,32,12,6,2,50,0,2,0,18,2,32,130,8,0,0,138,0,36,0,0,76,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
980,NA,500,18,24,0,2,4,2,52,0,0,2,34,0,4,0,34,6,16,82,12,22,80,46,2,30,2,12,0,0,4,0,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0
985,NA,354,18,42,0,0,2,2,12,16,4,0,32,0,0,0,6,2,8,52,6,0,0,68,2,16,0,10,30,0,12,0,2,0,4,0,0,0,0,0,0,2,2,0,0,2,2
