"sample.depths","sample.ages","Cephalanthus","Asteraceae.undiff.","Quercus","Salix","Myrica","Pinus","Amaranthaceae","Poaceae","Polygonaceae","Euphorbiaceae","Iva","Arecaceae","Cyperaceae.undiff.","Onagraceae","Justicia","Ilex","Ambrosia","Ericaceae","Cupressaceae.Taxaceae","Apiaceae"
0.5,-40,0.09375,0.125,0.03125,0.03125,0.125,0.21875,0.28125,0.03125,0.0625,0,0,0,0,0,0,0,0,0,0,0
5.5,44,0.0238095238095238,0.0238095238095238,0.0238095238095238,0,0.119047619047619,0.142857142857143,0.642857142857143,0,0,0.0238095238095238,0,0,0,0,0,0,0,0,0,0
9.5,111,0.0952380952380952,0.0476190476190476,0,0,0,0.333333333333333,0.523809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,307,0.276923076923077,0.0615384615384615,0,0,0.0615384615384615,0.123076923076923,0.415384615384615,0.0307692307692308,0.0153846153846154,0,0.0153846153846154,0,0,0,0,0,0,0,0,0
17.5,880,0.0738255033557047,0.0469798657718121,0.0134228187919463,0.00671140939597315,0.0201342281879195,0.201342281879195,0.523489932885906,0.0201342281879195,0.0469798657718121,0,0.00671140939597315,0.00671140939597315,0.0201342281879195,0.00671140939597315,0.00671140939597315,0,0,0,0,0
21,1281,0.0151515151515152,0.090909090909091,0.0303030303030303,0,0,0.393939393939394,0.348484848484849,0,0.0454545454545455,0,0.0151515151515152,0,0.0454545454545455,0,0,0.0151515151515152,0,0,0,0
25,1739,0.0615384615384615,0.041025641025641,0,0.0205128205128205,0,0.112820512820513,0.717948717948718,0.0102564102564103,0.0205128205128205,0,0,0,0.0102564102564103,0,0,0,0.00512820512820513,0,0,0
31,2426,0.0296296296296296,0.037037037037037,0,0,0.00740740740740741,0.148148148148148,0.688888888888889,0.00740740740740741,0.0518518518518519,0,0,0,0.0222222222222222,0,0,0,0,0.00740740740740741,0,0
35,2762,0.0100502512562814,0.0100502512562814,0.0050251256281407,0,0,0.150753768844221,0.768844221105528,0,0.0050251256281407,0.0050251256281407,0,0,0.0402010050251256,0,0,0,0,0,0.0050251256281407,0
41,3207,0,0,0.008,0.008,0,0.248,0.704,0,0.016,0,0,0,0.008,0,0,0,0,0,0,0.008
45,3503,0,0,0,0,0.0072463768115942,0.195652173913043,0.782608695652174,0,0.0072463768115942,0,0,0,0.0072463768115942,0,0,0,0,0,0,0
51,3906,0.00711743772241993,0.00355871886120996,0.00355871886120996,0,0.00355871886120996,0.206405693950178,0.768683274021352,0,0.00711743772241993,0,0,0,0,0,0,0,0,0,0,0
55,4119,0.00436681222707424,0,0,0,0,0.366812227074236,0.620087336244541,0.00436681222707424,0.00436681222707424,0,0,0,0,0,0,0,0,0,0,0
61,4439,0,0,0.00364963503649635,0,0,0.0875912408759124,0.908759124087591,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4653,0.0037037037037037,0,0,0,0,0.162962962962963,0.818518518518519,0,0.0148148148148148,0,0,0,0,0,0,0,0,0,0,0
71,NA,0,0.00490196078431373,0.00980392156862745,0,0,0.102941176470588,0.86764705882353,0,0,0,0,0,0.0147058823529412,0,0,0,0,0,0,0
