"sample.depths","sample.ages","Carya","Cephalanthus","Quercus","Salix","Myrica","Pinus","Amaranthaceae","Polygonaceae","Waltheria","Asteraceae","Poaceae","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ficus.Celtis","cf..Acer"
1.5,131,0.0625,0.208333333333333,0.0416666666666667,0.166666666666667,0.0208333333333333,0.1875,0.25,0.0416666666666667,0.0208333333333333,0,0,0,0,0,0
5.5,607,0.0222222222222222,0.0111111111111111,0,0.0222222222222222,0,0.0555555555555556,0.855555555555556,0,0,0.0333333333333333,0,0,0,0,0
10.5,1203,0,0.0155440414507772,0,0.00518134715025907,0.00518134715025907,0.072538860103627,0.860103626943005,0.0103626943005181,0,0.0259067357512953,0.00518134715025907,0,0,0,0
15.5,1799,0,0,0,0,0,0.0397350993377483,0.960264900662252,0,0,0,0,0,0,0,0
21,2454,0,0,0,0,0,0.021875,0.965625,0.003125,0,0.003125,0.003125,0.003125,0,0,0
27,2872,0,0,0,0,0,0.0198675496688742,0.963576158940397,0.00662251655629139,0,0,0.0033112582781457,0,0.0033112582781457,0.0033112582781457,0
29,2991,0,0,0,0,0,0.0769230769230769,0.915750915750916,0.00732600732600733,0,0,0,0,0,0,0
35,3350,0,0,0,0.00341296928327645,0,0.194539249146758,0.778156996587031,0.0170648464163823,0,0.0068259385665529,0,0,0,0,0
39,3589,0,0,0,0,0,0.158371040723982,0.805429864253394,0.0226244343891403,0,0,0.00904977375565611,0,0.00452488687782805,0,0
45,3720,0,0,0,0,0,0.0544412607449857,0.931232091690544,0.0114613180515759,0,0,0.00286532951289398,0,0,0,0
51,3737,0,0,0,0,0.00301204819277108,0.0602409638554217,0.924698795180723,0.00903614457831325,0,0,0,0,0,0,0.00301204819277108
