"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Carya","Caryophyllaceae","Asteraceae.undiff.","Cyperaceae","Picea","Quercus","Ranunculaceae.undiff.","Salix","Tilia","Ambrosia","Juniperus.Thuja","Fraxinus","Pinus","Amaranthaceae","Poaceae","Polygonum","Rubiaceae","Betula","Corylus","Tsuga","Ulmus","Alnus","Acer","Rosaceae.undiff.","Populus","Ostrya.Carpinus","Juglans","Brassicaceae","Saxifraga.type","Fagus","Crassulaceae","Plantago","Thalictrum","Fabaceae","Ribes","Hypericum","Rumex","Potentilla","Cornus","Gentiana","Rubus","Larix","Ericaceae","Apiaceae","Euphorbia","Polemoniaceae","Buxus","Nyssa"
1,-15,299,1,1,1,1,37,29,4,54,1,2,1,68,1,2,59,30,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1963,286,2,4,0,0,2,52,14,54,2,0,0,11,0,3,88,29,6,0,1,2,1,1,2,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3042,283,2,6,3,0,3,37,9,65,0,1,0,9,0,3,60,42,8,0,0,6,3,3,1,9,5,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4121,282,0,3,3,0,2,34,8,44,0,0,0,9,0,2,53,90,21,0,0,1,0,0,3,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5021,286,3,6,2,0,3,53,4,39,1,0,1,19,0,3,47,80,10,0,0,1,2,1,3,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6279,276,2,4,0,0,6,23,15,50,1,1,3,22,0,3,107,13,2,1,0,0,0,0,6,8,4,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6999,284,1,2,1,0,4,31,3,37,1,2,1,7,0,3,77,1,3,0,0,0,4,0,7,84,5,0,0,0,2,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7538,294,2,1,0,0,0,13,9,44,2,1,5,3,0,1,186,7,0,0,0,0,1,0,9,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7898,294,0,9,0,0,1,70,1,63,2,2,1,12,0,4,71,2,3,0,0,0,2,0,17,16,1,0,3,7,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8258,298,3,2,6,0,1,19,7,60,0,1,13,1,0,3,100,1,2,0,0,3,0,0,36,18,16,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8797,294,0,2,2,0,3,60,3,70,1,3,2,2,0,2,65,4,10,0,0,3,2,0,33,13,4,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
