"depth","best.age","min.age","max.age"
0,-50,-52,-47
4,-32,-34,-29
8,34,32,37
12,94,94,96
16,143,142,143
20,190,189,191
24,237,236,239
28,303,297,307
32,373,362,385
36,443,425,464
40,513,489,544
44,583,553,623
48,653,617,701
52,722,682,777
56,786,744,828
60,851,802,893
64,916,859,963
68,980,913,1034
72,1045,966,1107
76,1110,1017,1181
80,1175,1067,1257
84,1237,1135,1317
88,1298,1205,1372
92,1359,1274,1429
96,1420,1342,1489
100,1482,1408,1550
104,1543,1472,1612
108,1604,1533,1675
112,1665,1591,1736
116,1726,1647,1800
120,1788,1702,1867
124,1831,1748,1908
128,1869,1791,1943
132,1907,1832,1978
136,1945,1871,2015
140,1983,1904,2049
144,2021,1938,2084
148,2059,1972,2120
152,2096,2003,2156
156,2134,2033,2193
160,2172,2060,2235
164,2210,2089,2310
168,2248,2118,2355
172,2286,2142,2398
176,NA,NA,NA
