"depth","best.age","min.age","max.age"
547,-5,-8,-3
555,97,89,107
605,737,683,794
629,1044,968,1124
630,1057,980,1138
650,1313,1217,1413
690,1825,1693,1964
730,2337,2168,2514
780,2876,2735,3023
800,3074,2938,3213
830,3371,3224,3523
860,3704,3555,3857
880,3953,3814,4097
900,4203,4053,4352
930,4576,4384,4768
950,4794,4574,5004
990,4979,4800,5153
1020,5118,4865,5385
1050,5346,5164,5511
1070,5513,5373,5655
1080,5597,5463,5739
1090,5680,5542,5827
1100,5809,5665,5962
1103,5903,5763,6052
1111,6152,6005,6311
1115,6276,6119,6447
1125,6587,6392,6811
1132,6805,6566,7076
1144,NA,NA,NA
1152,NA,NA,NA
1167,NA,NA,NA
