"sample.depths","sample.ages","upland.sum","Abies","Alnus.undiff.","Artemisia","Cyperaceae","Larix","Pinus.undiff.","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Ambrosia","Betulaceae.undiff.","Myrica","Poaceae","Pinus.strobus","Pinus.banksiana.P..resinosa","Betula","Betula.undiff.","Coniferophyta.undiff.","Picea.glauca","Picea.mariana","Alnus.viridis.subsp..crispa","Symphoricarpos.albus","Ericaceae","Thalictrum","Alnus.incana","Picea.undiff.","Corylus","Fagus","Salix","Populus","Cupressaceae","Amaranthaceae","Ostrya.Carpinus","Acer.saccharum","Epilobium","Juglans.cinerea","Tilia","Liliaceae","Fraxinus","Acer.negundo","Ranunculaceae.undiff.","Rosaceae","Shepherdia.canadensis"
547,-5,636,6,14,2,16,2,34,2,2,4,2,4,22,6,4,2,8,22,80,10,88,248,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,97,880,14,10,4,8,6,42,2,0,0,0,6,20,2,10,2,8,12,68,32,0,0,86,0,4,2,2,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,737,684,14,12,2,8,2,26,2,0,0,0,2,22,0,8,0,10,6,42,24,24,414,54,0,2,0,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
629,1044,954,18,20,0,8,4,38,0,0,2,0,0,26,0,8,8,10,18,90,20,0,0,66,2,0,0,2,604,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
630,1057,624,2,6,2,12,2,36,0,0,6,0,0,14,4,6,8,8,6,42,20,0,0,40,0,0,0,4,398,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
650,1313,1112,16,4,0,16,10,44,2,0,0,0,0,34,2,0,0,8,10,98,26,0,756,54,4,4,0,10,0,4,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0
690,1825,668,18,6,2,2,4,40,0,0,2,0,0,32,2,2,2,10,0,82,22,0,0,40,0,2,0,0,398,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
730,2337,1320,40,12,2,14,12,50,2,2,2,0,0,24,4,4,18,12,34,130,18,0,820,90,2,4,4,10,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,2876,912,26,16,0,10,0,20,0,0,0,0,0,30,6,2,8,14,26,84,22,0,0,54,0,0,0,18,562,0,0,0,4,2,2,6,0,0,0,0,0,0,0,0,0,0
800,3074,646,24,8,0,6,4,2,0,0,0,0,2,4,0,2,4,8,24,90,10,42,366,18,0,2,0,4,20,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
830,3371,660,22,2,0,6,6,16,2,0,0,0,6,20,0,0,6,8,12,54,14,0,0,38,0,2,0,4,438,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
860,3704,1016,26,22,2,22,24,18,2,0,0,0,0,36,4,2,4,12,66,134,10,0,0,32,0,2,0,8,580,0,0,2,0,0,0,0,0,0,0,2,2,4,0,0,0,0
880,3953,968,30,20,4,2,6,6,0,0,0,0,0,28,0,2,8,8,34,98,16,0,0,64,0,2,0,4,628,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0
900,4203,852,48,12,2,0,8,10,2,2,0,0,0,12,0,2,6,4,34,104,16,28,514,36,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,4576,628,30,4,2,6,14,10,0,0,4,0,0,10,2,0,8,4,6,50,16,0,0,26,0,0,0,2,430,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
950,4794,752,34,8,0,12,6,8,0,0,0,0,0,24,0,2,4,4,30,112,22,0,0,20,0,2,0,2,456,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,4979,700,28,16,0,8,2,8,0,0,0,0,0,20,0,0,6,2,22,86,10,0,0,46,0,0,0,2,440,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1020,5118,1356,76,20,2,18,10,16,0,0,0,0,2,28,0,0,12,4,0,164,24,0,908,52,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1050,5346,786,50,10,0,2,8,8,0,0,0,2,0,20,0,0,0,8,22,100,8,0,0,34,0,0,0,2,506,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1070,5513,1034,64,16,0,10,2,16,0,0,0,0,2,42,2,2,10,6,58,170,20,0,0,44,0,0,0,4,558,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1080,5597,692,52,20,2,10,2,6,0,0,0,2,2,36,0,0,8,0,44,84,20,0,0,26,0,0,0,0,370,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1090,5680,1002,82,14,0,4,8,16,0,0,0,0,0,10,2,2,10,2,26,162,18,96,506,38,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,5809,1110,54,76,0,12,14,16,0,0,0,2,0,44,4,0,10,8,0,270,14,98,366,94,0,0,0,16,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,2,0
1103,5903,740,32,44,0,8,8,10,0,0,2,0,0,46,0,4,10,0,74,190,16,0,0,12,2,0,0,36,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,6152,654,22,52,0,8,6,14,0,0,4,0,0,38,0,0,2,0,52,144,8,22,180,50,0,0,0,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1115,6276,2002,20,128,0,40,30,26,2,0,2,0,2,134,8,18,26,6,0,434,22,194,266,570,0,2,0,50,0,0,0,8,4,0,0,0,0,0,6,0,0,0,0,4,0,0
1125,6587,1166,4,186,2,26,26,20,0,0,2,0,2,44,2,12,12,2,0,210,8,40,132,354,0,6,0,64,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2
1132,6805,516,2,60,0,14,2,20,0,0,4,0,0,26,2,2,4,4,0,100,2,0,0,184,0,2,0,0,76,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1144,NA,478,18,62,0,48,0,60,0,0,2,0,2,26,2,2,14,16,0,42,12,24,86,20,0,0,0,26,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1152,NA,314,6,28,0,2,2,30,2,0,4,0,0,30,0,2,18,2,8,28,16,0,0,54,2,2,0,4,56,0,0,10,0,0,0,2,0,0,0,0,0,6,0,0,0,0
1167,NA,628,18,76,2,14,0,76,0,0,2,0,4,58,0,4,8,10,6,48,32,0,0,128,6,0,0,0,116,0,0,4,8,0,2,6,0,0,0,0,0,0,0,0,0,0
