"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.undiff.","Alnus","Arceuthobium","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Myrica","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhus","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Cannabaceae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Poaceae","Rosaceae","Rumex"
12,247,410,10,0,35,12,0,136,0,0,0,0,2,3,1,0,1,4,2,0,0,0,124,5,8,8,16,14,0,6,0,0,0,0,2,0,1,0,12,0,0,1,0,0,0,2,0,0,0,2,3
13,271,489,0,0,14,13,0,369,0,0,0,2,0,1,0,0,0,0,1,2,0,0,46,3,4,4,5,2,0,6,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,3,0,0,5,0,0
14,295,493,2,0,0,27,0,351,0,0,0,0,1,2,3,3,0,2,0,0,0,0,58,1,0,8,0,6,0,0,0,1,0,0,0,1,3,0,9,0,0,3,0,0,0,1,0,0,0,6,5
15,319,417,1,15,1,14,0,52,0,0,0,4,0,6,4,0,4,11,0,0,0,6,100,7,22,18,57,46,0,16,0,1,0,0,2,3,0,0,15,1,0,5,0,0,0,2,0,0,2,2,0
16,344,376,1,0,4,164,0,69,0,2,1,0,16,1,2,0,2,1,2,4,0,0,26,0,4,0,8,4,5,5,0,1,0,0,3,1,3,0,9,0,0,3,0,0,0,22,0,0,6,6,1
17,368,519,2,0,5,77,0,273,0,1,0,0,2,1,5,5,0,1,0,2,0,0,42,4,9,4,9,0,1,6,0,2,0,0,5,0,1,0,18,0,0,2,2,0,0,15,0,0,11,11,3
18,392,476,2,0,4,141,0,185,0,0,0,0,12,5,1,0,1,0,1,1,0,0,32,1,3,2,7,6,0,6,0,6,0,0,2,0,3,0,4,0,0,1,0,0,0,35,0,0,9,1,5
19,417,500,2,0,1,181,0,67,0,0,0,1,116,3,2,1,1,1,1,5,0,0,26,0,9,0,16,7,0,12,0,3,0,0,5,1,1,0,8,0,0,1,0,0,0,5,0,0,11,11,2
20,441,347,1,0,1,47,0,69,0,3,0,0,21,5,5,1,4,0,0,8,0,0,42,1,5,2,9,5,0,12,0,1,0,0,5,1,2,0,0,0,1,2,1,0,0,26,0,1,12,49,5
21,465,379,1,0,5,55,0,97,0,1,0,1,18,9,2,2,0,1,0,0,0,0,70,6,9,10,16,10,4,9,0,0,0,0,11,2,4,0,5,0,0,4,0,0,0,16,0,0,5,5,1
