"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.undiff.","Alnus","Betula","Carya","Castanea","Cornus","Corylus","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex.Nemopanthus","Juniperus.Thuja","Larix","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.subg..Strobus.undiff.","Pinus.undiff.","Populus","Quercus","Rhamnus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Cannabaceae","Chenopodiaceae","Cyperaceae","Epilobium","Eupatorium.type","Hypericum.type","Poaceae","Rosaceae","Rumex","Saxifraga.type"
8,579,377,3,0,53,6,36,0,0,0,0,2,0,0,1,4,0,1,0,134,28,2,50,4,24,0,12,0,0,0,5,1,1,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0
10,735,1002,6,0,6,176,387,1,1,0,0,5,4,6,1,2,0,0,3,70,7,15,16,32,26,9,4,0,6,1,9,1,4,28,0,8,2,0,0,1,111,0,1,28,14,11,0,0
12,891,320,3,0,11,31,62,0,0,0,0,0,1,0,0,11,0,2,3,58,9,8,26,24,32,0,8,0,0,0,1,1,7,13,0,1,0,0,0,0,2,0,2,0,3,0,0,1
14,1046,347,1,0,4,54,122,0,0,0,1,1,1,0,0,18,0,0,1,31,4,5,16,20,27,0,6,0,1,0,0,2,9,14,0,4,0,0,0,0,2,0,0,0,0,2,1,0
15,1124,507,2,0,5,128,179,0,1,0,3,1,0,1,0,17,1,2,0,40,2,3,10,15,20,0,8,0,0,0,2,1,12,18,0,17,1,0,0,0,2,3,0,1,4,8,0,0
16,1202,349,1,0,5,81,99,0,0,0,0,1,1,2,1,9,1,3,2,20,2,7,7,20,17,0,12,0,4,0,1,0,7,11,1,4,0,0,0,0,6,0,5,0,9,8,2,0
17,1280,487,3,0,4,150,128,0,1,0,0,1,2,0,0,3,0,0,1,22,3,4,12,18,22,0,12,0,1,0,0,0,10,12,0,33,0,13,0,0,4,0,0,0,12,16,0,0
18,1358,639,0,0,4,361,66,0,1,0,0,0,4,1,0,1,0,1,5,29,3,3,10,10,15,0,7,0,2,0,2,1,7,10,0,38,1,0,0,0,14,2,27,0,6,8,0,0
19,1436,189,1,0,3,0,42,0,1,1,0,0,1,0,0,0,0,0,0,24,2,2,12,9,18,0,4,0,2,0,1,0,4,5,0,47,0,0,0,0,1,4,0,0,2,1,2,0
20,1514,504,7,0,9,12,68,0,1,0,0,5,15,1,0,4,0,0,2,176,11,24,19,41,25,0,15,0,0,0,13,2,40,0,0,0,0,0,2,0,4,0,5,0,3,0,0,0
21,1592,492,0,0,4,134,91,0,0,0,1,2,0,0,0,1,0,2,6,90,1,6,8,40,40,0,8,0,0,2,10,0,4,4,0,23,0,0,0,0,1,5,3,0,3,3,0,0
21.5,1631,463,3,0,3,103,138,2,0,0,3,1,6,0,0,7,0,0,0,68,8,3,34,13,36,0,4,0,0,0,8,0,4,0,0,10,0,0,0,0,1,2,0,1,1,4,0,0
22,1670,347,2,0,9,52,102,0,0,0,0,1,3,0,0,26,0,0,6,54,6,3,24,12,26,1,3,0,2,0,7,0,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
23,1748,523,4,1,15,21,101,0,6,1,0,5,12,5,0,6,1,0,2,124,10,33,14,47,18,0,28,5,0,0,12,1,22,0,0,0,0,0,2,0,5,0,12,0,5,5,0,0
23.5,1787,592,3,0,9,124,162,0,0,0,3,4,7,1,0,54,1,1,3,60,8,2,46,14,50,0,8,0,0,1,12,0,6,0,0,5,0,0,0,0,2,3,0,0,0,3,0,0
25,1904,677,2,0,3,99,120,1,4,0,2,2,27,1,0,17,0,0,6,116,13,29,22,49,30,0,22,0,3,0,36,1,15,0,0,0,1,0,0,0,9,0,0,39,2,6,0,0
27,2060,55,0,0,0,6,24,0,0,0,0,0,1,0,0,1,0,2,0,8,1,0,4,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
28,2138,337,2,1,0,39,91,1,0,0,2,1,12,4,0,0,1,0,31,35,14,5,24,8,13,0,12,0,0,3,19,0,1,0,0,3,0,0,0,0,9,0,2,0,2,2,0,0
29,2216,417,0,0,5,16,143,1,0,0,6,0,4,1,0,1,1,2,14,54,8,14,25,42,46,0,5,0,0,0,14,0,0,0,0,3,0,0,0,0,8,0,0,1,3,0,0,0
30,2294,628,2,0,7,4,153,0,2,0,0,1,18,7,1,1,7,1,11,67,27,13,100,48,108,1,8,0,3,1,23,2,3,1,0,0,0,0,0,0,2,0,5,0,1,0,0,0
