"depth","best.age","min.age","max.age"
0,-27,-52,-2
10,440,403,474
15,673,626,719
20,906,847,966
25,1139,1067,1213
30,1373,1287,1460
35,1606,1505,1707
40,1839,1723,1953
45,2072,1943,2201
50,2306,2160,2447
55,2539,2379,2695
60,2772,2597,2941
65,3005,2816,3189
68,3145,2946,3336
70,3239,3034,3436
75,3419,3210,3621
85,3619,3433,3807
95,3820,3647,3995
105,4020,3851,4180
115,4221,4050,4373
125,4422,4241,4572
135,4622,4425,4779
145,4823,4601,4989
155,5024,4760,5208
165,5224,4929,5424
168,5284,4980,5489
175,5466,5155,5674
185,5875,5624,6066
195,6283,6072,6468
205,6692,6492,6878
210,6896,6694,7087
215,7100,6891,7299
220,7304,7085,7515
222.5,7407,7181,7625
225,7509,7278,7736
230,7713,7467,7957
235,7917,7653,8180
240,8121,7839,8406
245,NA,NA,NA
