"sample.depths","sample.ages","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Dryopteris.type","Ericaceae","Indeterminable","Lycopodium.annotinum","Oxyria.digyna","Picea","Pinus","Poaceae","Ranunculaceae","Rosaceae","Salix","Sphagnum","Unknown"
250,45,63,4,108,1,88,1,7,3,12,0,52,7,3,0,19,2,6,5
260,793,15,1,34,0,14,0,0,0,7,0,22,1,0,2,8,1,1,1
270,1541,91,3,165,0,66,1,11,1,17,1,105,9,5,2,20,10,2,0
280,2289,75,3,114,0,42,0,7,4,14,0,60,5,6,4,18,1,4,3
290,3038,95,0,146,0,47,1,6,3,16,0,75,5,7,3,21,4,4,4
300,3786,142,1,166,0,34,1,7,1,12,0,59,8,5,4,17,1,4,4
310,4534,160,2,156,0,31,0,5,0,16,0,44,1,7,9,21,4,5,1
320,5283,169,3,156,0,26,1,10,1,28,1,24,2,3,6,32,2,3,0
330,6031,194,2,161,0,28,0,2,1,11,0,10,5,8,10,12,5,1,0
335,6405,146,0,158,0,17,0,1,3,6,0,2,8,5,6,6,10,0,0
340,6748,55,1,205,1,41,1,2,1,4,0,7,6,25,7,5,24,0,2
345,7090,21,0,180,2,20,0,1,4,10,0,0,1,15,1,13,38,3,1
350,7433,45,2,190,0,20,1,3,9,11,0,2,3,26,3,14,15,2,2
355,7775,28,2,191,0,29,4,4,0,9,3,1,3,5,7,14,36,1,1
360,8118,13,5,15,0,28,0,3,3,3,1,1,1,6,6,4,10,1,0
365,8339,0,4,2,0,31,0,0,0,0,3,0,0,3,1,0,12,0,2
380,9003,0,3,2,2,10,5,0,1,0,0,0,0,6,47,5,0,0,4
400,NA,0,0,0,1,11,0,0,3,0,1,0,0,8,9,0,0,0,4
