"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae","Lycopodium","Osmunda","Pteridium","Sphagnum","Nymphaeaceae","Potamogeton","Typha"
0,-34,0,8,26,126,1,4,2,0,36,0,8,16,0,0,2,1,0,6,4,7,41,38,0,28,74,0,6,0,2,29,37,0,64,0,8,5,7,6,5,34,0,0,4,5,0,1,2,0,2,3,3
10,136,0,6,21,63,0,3,0,0,35,0,13,7,0,1,8,0,0,4,5,3,47,83,4,8,42,0,0,0,1,41,16,1,21,0,3,2,4,2,1,18,0,0,2,0,0,0,0,1,0,0,0
15,222,1,6,13,82,0,1,0,0,37,0,18,10,0,0,6,0,0,17,4,3,47,58,1,23,51,0,3,0,1,60,19,0,23,0,3,2,4,6,1,11,0,1,1,0,0,0,5,0,0,0,0
20,307,0,19,10,143,0,2,0,2,70,0,18,15,0,0,8,0,0,12,2,6,44,108,1,13,67,0,2,0,1,140,24,0,12,0,3,2,1,8,0,3,0,0,1,0,0,0,0,0,1,0,0
22,341,0,12,11,75,0,2,0,3,37,0,14,9,0,0,6,1,0,8,1,5,45,33,3,13,41,0,1,0,3,119,21,0,5,0,3,0,1,8,0,2,0,0,0,0,1,0,2,0,0,0,0
24,375,0,5,9,54,0,1,0,1,23,0,13,13,0,0,11,0,1,6,1,7,43,41,0,10,47,0,0,0,0,115,10,0,5,0,3,1,2,3,0,2,0,0,0,0,0,0,1,0,3,1,0
30,477,0,10,12,94,0,2,1,0,30,0,34,12,0,1,13,0,0,17,2,6,44,123,4,23,61,0,0,0,3,154,21,0,4,0,1,2,0,9,0,3,0,0,0,0,0,0,0,1,2,0,0
40,647,0,10,10,103,0,2,0,2,51,0,16,12,0,0,5,0,0,8,0,5,45,120,2,17,86,1,3,0,0,103,14,0,8,0,3,3,0,10,0,5,1,0,0,0,0,0,0,1,1,0,0
50,818,1,5,13,63,0,2,0,2,31,0,23,20,0,1,11,0,0,16,1,3,47,141,2,19,64,0,1,0,2,69,17,0,4,0,4,1,2,8,0,8,0,0,0,0,0,1,1,1,2,0,1
60,988,0,12,19,125,0,3,0,2,50,1,25,18,0,4,12,0,0,5,2,7,43,193,1,14,91,0,1,0,4,56,22,0,4,0,4,1,3,13,0,7,0,0,0,0,1,0,3,0,5,1,1
70,1158,0,7,11,56,0,3,0,0,38,0,24,15,0,1,2,0,0,11,2,3,47,97,2,15,51,0,1,0,1,44,18,0,3,0,4,3,0,6,1,5,0,0,0,0,1,0,1,0,1,0,1
80,1329,0,6,2,56,0,4,0,0,20,0,17,4,0,2,2,0,0,6,1,6,44,123,1,9,58,0,0,0,4,62,13,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,1,3,0,0
