"depth","best.age","min.age","max.age"
1,-22,-51,3
10,40,13,67
20,109,80,137
30,178,147,210
40,247,214,285
50,316,279,359
60,386,345,435
70,455,410,510
80,524,474,585
85,558,507,624
100,662,604,738
110,731,667,814
120,800,731,892
130,870,794,969
140,939,857,1046
150,1008,920,1122
160,1077,983,1199
170,1146,1046,1276
180,1215,1109,1352
190,1284,1172,1429
200,1354,1235,1506
210,1423,1298,1582
220,1492,1361,1659
230,1561,1424,1735
240,1630,1488,1813
250,1699,1551,1890
260,1768,1614,1966
270,1838,1677,2043
280,1907,1740,2120
290,1976,1803,2196
300,2045,1867,2273
310,2110,1931,2337
320,2170,2000,2391
340,2292,2130,2494
360,2413,2245,2609
420,2777,2569,3002
440,2898,2672,3147
460,3019,2772,3295
480,3140,2870,3443
490,3201,2918,3518
500,3262,2966,3593
510,3322,3012,3668
520,3383,3060,3744
530,3443,3106,3820
540,3504,3152,3896
550,3565,3199,3973
560,3625,3244,4048
570,3686,3290,4125
590,NA,NA,NA
