"depth","best.age","min.age","max.age"
0,-48,-50,-46
8,-28,-30,-25
16,-8,-10,-5
24,-1,-3,2
32,8,6,11
40,22,20,25
48,53,52,54
56,85,83,87
64,105,105,107
72,125,125,127
80,146,145,147
88,166,165,167
96,187,186,188
104,207,206,207
112,228,227,229
120,249,248,250
128,269,268,270
136,290,288,291
144,327,321,335
152,382,365,404
160,437,408,474
168,492,450,543
176,547,493,613
184,651,599,716
192,785,738,840
200,919,871,972
208,1053,1000,1105
216,1187,1129,1244
224,1330,1270,1388
232,1480,1415,1543
240,1629,1556,1701
248,1778,1688,1861
256,1927,1818,2025
264,2076,1945,2190
272,NA,NA,NA
280,NA,NA,NA
288,NA,NA,NA
296,NA,NA,NA
304,NA,NA,NA
