"sample.depths","sample.ages","upland.sum","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Iva.annua","Myrica","Poaceae","Brassicaceae","Acer.saccharum","Populus.balsamifera","Fraxinus.nigra.type","Ulmus","Sarcobatus.vermiculatus","Rosaceae.undiff.","Iva.xanthifolia","Cornus.sericea","Potentilla","Fabaceae.undiff.","Apiaceae","Acer.negundo","Thalictrum","Fraxinus.pennsylvanica","Juglans.cinerea","Shepherdia.canadensis","Juglans.nigra","Carya","Caryophyllaceae","Galium","Dryas","Dalea","Elaeagnus"
615,5820,622,24,29,45,1,14,70,1,3,4,1,1,3,2,229,38,5,130,6,1,5,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,6800,706,22,15,19,6,10,50,3,3,9,5,0,13,0,115,47,23,350,3,1,0,0,1,0,2,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,6940,871.5,20,38,43,8,19,130,7,2,13,10,0,9,7,138,23,12.5,325,10,0,5,0,5,2,3,9,0,0,14,7,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,7080,797,23,23,28,10,14,93,3,5,19,7,0,18,1,93,27,11,373,6,0,1,0,2,2,8,7,0,0,5,6,4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,7220,548,10,15,20,1,16,107,3,1,4,2,0,9,1,90,16.5,13.5,215,5,0,1,0,3,1,3,4,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
725,7360,600,13,15,20,5,7,83,3,5,9,3,0,8,3,77,24,14,276,4,0,0,0,1,1,6,6,0,0,8,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,7485,852,13,20,41,14,24,187,7,6,14,13,0,13,4,86,20,17,327,9,1,1,0,6,1,3,11,0,0,5,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,7608,636,9,17,20,12,21,109,3,4,7,11,0,9,2,85,17,12,275,4,0,2,0,0,1,3,5,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,7772,1004,21,18,42,16,26,159,11,3,19,14,0,13,2,92,25,12,478,8,0,3,0,1,1,5,20,0,0,7,1,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
790,7935,767,8,17,41,14,18,122,14,2,17,11,0,9,3,68,72,25,288,5,0,3,0,2,0,3,13,0,1,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
