"depth","best.age","min.age","max.age"
1,564,-49,1205
20,1037,501,1607
40,1534,1064,2036
60,2031,1606,2469
80,2527,2136,2921
100,3022,2651,3386
120,3515,3162,3866
140,4008,3659,4349
160,4498,4155,4838
180,4987,4647,5330
200,5473,5132,5825
220,5956,5600,6327
240,6434,6049,6830
260,6908,6490,7327
280,7375,6935,7817
300,7836,7383,8301
320,8288,7833,8759
340,8731,8299,9185
360,9164,8782,9569
380,9586,9281,9904
400,9996,9782,10204
420,10389,10223,10574
430,NA,NA,NA
440,NA,NA,NA
450,NA,NA,NA
460,NA,NA,NA
470,NA,NA,NA
480,NA,NA,NA
