"sample.depths","sample.ages","upland.sum","Abies","Betula","Carya","Fagus","Ostrya.Carpinus","Picea","Quercus","Tilia","Tsuga","Ulmus","Alnus","Pinus","Poaceae","Acer.saccharum","Cyperaceae","Larix","Salix","Iva.annua","Fraxinus.nigra","Artemisia","Ambrosia","Fraxinus.americana.type","Amaranthaceae","Cupressaceae","Juglans.cinerea","Fraxinus.undiff.","Juglans.nigra","Corylus","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ericaceae","Shepherdia.canadensis","Caryophyllaceae","Asteraceae.subf..Cichorioideae","Populus"
1,564,201,1,13,2,7,5,5,17,1,14,7,2,116,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1037,200,0,7,1,4,3,2,11,1,28,7,1,123,3,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1534,200,1,11,2,2,2,5,11,0,23,11,2,100,7,5,5,1,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2031,199,1,10,1,3,6,1,12,2,21,6,0,111,3,7,6,1,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80,2527,203,1,8,1,1,2,1,4,1,30,5,2,121,2,4,6,0,0,0,0,0,5,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0
100,3022,199,1,10,2,1,3,4,13,1,40,1,3,107,1,2,4,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,3515,200,1,9,0,4,6,1,13,3,13,17,2,119,0,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4008,200,0,9,1,8,4,1,15,1,5,10,2,132,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,4498,200,0,9,2,6,5,1,22,2,7,12,1,121,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
180,4987,200,0,11,1,8,12,3,28,4,16,15,5,77,1,15,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5473,200,0,5,0,10,8,1,6,2,62,15,2,76,0,8,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5956,200,0,2,0,2,12,1,30,7,20,12,3,95,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,6434,200,0,3,1,6,4,0,17,0,9,7,1,146,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,6908,200,0,2,0,1,13,1,23,0,8,3,1,143,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7375,200,0,1,2,6,12,0,22,1,9,3,1,133,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,7836,201,0,3,2,0,16,1,13,0,2,1,0,159,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,8288,200,1,2,1,0,8,0,16,0,1,4,1,160,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
340,8731,200,0,8,0,0,6,1,5,0,1,5,0,168,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
360,9164,200,2,1,0,1,12,1,9,1,6,5,0,158,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,9586,200,2,7,1,0,6,1,9,0,6,2,0,160,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,9996,204,1,6,1,0,6,3,14,1,4,0,0,156,0,4,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0
420,10389,200,2,11,0,0,2,4,9,0,2,5,0,160,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
430,NA,193,1,1,1,0,0,8,0,0,4,5,2,165,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
440,NA,267,0,4,1,0,0,20,7,1,3,3,1,154,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,67,1,1,0,0,0
450,NA,219,1,1,1,0,1,24,0,0,2,6,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0
460,NA,536,0,4,0,0,0,27,11,1,1,3,0,137,1,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,342,0,1,0,0,0
470,NA,203,0,5,0,0,0,78,2,0,1,1,0,101,0,1,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,1,1,2
480,NA,195,2,4,0,2,2,47,12,0,4,4,1,104,1,1,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0
