"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus.racemosa","Cornus.sericea","Cornus.undiff.","Corylus","Cupressaceae","Diervilla","Ephedra","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Lonicera","Myrica","Ostrya.Carpinus","Parthenocissus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Populus","Prunus","Quercus","Rhamnus","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Spiraea","Symphoricarpos.occidentalis","Tilia","Ulmus","Viburnum.lentago","Viburnum.opulus","Viburnum.rafinesquianum.type","Viburnum.undiff.","Allium","Ambrosia.type","Amorpha","Anemone","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Caltha.type","Campanula","Caryophyllaceae.undiff.","Caulophyllum.thalictroides","Chenopodiaceae.Amaranthaceae.undiff.","Comandra","Cyperaceae","Dalea.candida.type","Dalea.purpurea.type","Epilobium","Euphorbia","Fabaceae.undiff.","Galium","Humulus","Impatiens","Iva.annua.type","Iva.xanthifolia","Lysimachia","Maianthemum","Mimulus","Pedicularis","Poaceae","Polygonum.amphibium","Polygonum.aviculare","Polygonum.persicaria","Potentilla","Ranunculus","Rosaceae.undiff.","Rumex","Scrophularia","Stellaria","Thalictrum","Urtica.type","Veronica","Viola","Xanthium"
130,4792,664,10,1,0,0,21,18,0,0,0,0,5,1,0,0,0,3,0,0,0,0,41,0,0,2,0,11,20,190,202,3,0,15,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,9,7,0,0,0,0,0,0,2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,1,0,0,0,3,0,0,1
155,5595,578,8,0,0,0,12,15,0,0,0,0,5,6,0,0,0,4,0,0,0,0,54,0,0,1,0,14,14,30,178,2,0,16,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,1,0,5,6,0,0,0,0,0,0,2,0,123,0,0,0,0,0,0,0,1,0,0,0,0,1,0,59,0,0,0,0,0,0,2,0,0,1,0,0,0,1
170,6076,1262,36,0,0,0,42,63,0,0,0,0,7,0,1,0,0,1,2,0,0,1,87,0,0,3,0,24,102,82,382,1,0,28,0,7,0,0,0,0,0,0,3,16,0,0,0,0,0,14,2,0,0,17,22,0,0,1,0,1,0,12,0,175,0,0,1,1,0,1,0,1,0,0,0,0,0,0,118,0,0,1,0,0,0,1,0,0,2,4,0,0,0
185,6558,307,4,0,0,0,13,12,0,0,0,0,2,0,0,0,0,1,0,0,0,0,37,0,0,1,0,2,8,15,114,1,0,4,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,6719,856,1,0,0,0,8,27,1,0,1,0,11,2,0,1,0,1,0,0,0,0,0,0,0,0,0,3,6,0,88,0,0,54,0,31,0,1,1,1,0,1,0,5,0,0,0,0,0,65,0,0,1,123,33,0,1,3,0,2,0,52,0,234,0,1,1,0,0,0,0,0,1,0,1,0,0,0,79,0,0,6,0,0,3,3,0,1,1,0,0,0,1
200,7040,308,0,0,0,0,1,6,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,28,0,0,20,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,16,3,0,0,52,5,0,0,0,0,0,0,24,0,94,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0
210,7361,1015,0,0,0,0,11,42,2,0,0,0,4,7,0,0,0,1,1,0,0,0,0,0,0,0,0,6,75,1,192,6,0,35,0,15,0,0,5,0,0,0,0,12,0,0,0,0,1,33,0,0,0,115,17,2,0,2,0,1,0,1,0,154,0,2,0,0,0,0,0,0,0,0,0,0,1,0,198,0,0,1,0,0,0,68,0,4,0,0,0,0,0
230,8003,1158,0,0,0,0,16,33,0,0,1,0,16,6,0,1,0,2,0,0,2,0,0,0,1,2,0,10,88,2,196,2,1,25,0,28,0,1,3,0,1,0,0,7,0,0,0,0,0,43,2,0,1,135,17,0,0,7,0,1,0,96,0,193,1,1,0,1,0,0,0,1,2,0,0,1,0,0,210,0,0,0,0,1,0,0,0,0,0,0,0,0,1
240,8324,545,0,0,0,0,6,12,0,1,0,0,4,7,0,1,0,3,0,0,0,0,0,0,0,3,1,7,59,0,98,3,0,13,1,11,0,0,2,0,0,0,0,5,0,0,0,0,0,24,0,0,1,54,5,1,0,1,0,0,0,31,0,101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83,1,0,0,0,0,0,0,0,0,0,3,0,0,2
250,8645,1309,0,1,0,1,9,69,0,0,0,0,13,10,0,0,0,0,4,0,1,0,1,0,0,6,0,6,268,0,176,8,1,19,0,14,0,0,5,1,0,0,0,9,0,0,0,0,0,44,0,0,0,110,15,0,0,4,0,0,0,96,0,203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,203,0,0,4,0,0,0,0,0,3,0,3,0,0,1
