"depth","best.age","min.age","max.age"
480,NA,NA,NA
490,NA,NA,NA
500,NA,NA,NA
510,NA,NA,NA
520,NA,NA,NA
530,NA,NA,NA
540,NA,NA,NA
550,NA,NA,NA
560,NA,NA,NA
570,NA,NA,NA
580,NA,NA,NA
590,NA,NA,NA
600,NA,NA,NA
610,NA,NA,NA
620,NA,NA,NA
630,NA,NA,NA
640,NA,NA,NA
650,NA,NA,NA
660,NA,NA,NA
670,NA,NA,NA
680,9199,6337,11966
690,9685,7271,12009
700,10171,8199,12064
710,10657,9116,12148
720,11143,9981,12261
725,11386,10391,12350
730,11629,10744,12453
735,11872,11038,12609
740,12115,11254,12848
750,NA,NA,NA
760,NA,NA,NA
770,NA,NA,NA
780,NA,NA,NA
790,NA,NA,NA
800,NA,NA,NA
810,NA,NA,NA
820,NA,NA,NA
830,NA,NA,NA
840,NA,NA,NA
850,NA,NA,NA
860,NA,NA,NA
870,NA,NA,NA
880,NA,NA,NA
890,NA,NA,NA
