"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Ericaceae","Picea","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Rosaceae","Quercus","Amaranthaceae","Iva.xanthifolia","Salix","Artemisia","Larix","Cupressaceae","Asteraceae.subf..Asteroideae.undiff.","Fagus","Fraxinus.americana","Populus","Ulmus","Asteraceae.subf..Cichorioideae","Plantago"
1,-14,148,2,10,42,2,57,1,2,1,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48,102,0,2,1,7,68,3,0,1,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,125,133,0,13,27,3,55,0,3,1,27,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,203,121,0,9,15,1,66,0,5,0,23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,265,121,1,7,18,4,58,1,1,1,26,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
21,296,107,0,0,5,1,70,2,1,0,24,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
25,392,123,1,4,23,0,74,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
30,639,114,1,3,14,1,72,1,0,0,18,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
35,886,110,1,2,8,0,70,1,0,1,19,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
38,1035,101,1,3,0,0,67,1,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,1133,115,1,11,9,4,42,1,0,5,29,5,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0
45,1381,102,1,1,1,0,80,1,1,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,1529,102,8,0,0,0,70,1,1,0,19,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
50,1628,105,6,7,1,1,62,2,1,0,14,1,0,0,0,0,0,1,1,6,1,0,0,1,0,0,0
55,1875,109,3,3,7,0,64,6,0,0,9,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0
60,2078,116,5,6,14,0,61,6,0,0,19,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
65,2214,111,4,2,10,0,72,1,0,0,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,2351,129,4,8,26,0,58,1,0,0,20,2,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0
75,2488,108,1,2,5,0,66,2,0,0,15,1,0,3,0,0,0,2,9,0,0,0,0,1,1,0,0
80,2624,120,0,8,19,0,53,7,0,0,25,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0
85,2761,127,0,5,25,0,59,1,0,0,33,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
90,2897,104,4,2,3,0,75,2,0,0,12,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
95,NA,109,0,6,9,0,61,2,0,0,21,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0
97,NA,106,0,0,3,0,49,1,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,NA,107,0,1,3,0,39,0,1,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
