"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Caprifoliaceae.undiff.","Carya.ovata","Cornus","Corylus.cornuta","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Juglans.cinerea","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.tremuloides.type","Quercus","Rosaceae","Rumex.type","Salix","Sambucus","Sphagnum","Tilia","Tsuga.canadensis","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Utricularia","Viburnum.lentago"
10,143,20,0,5,1,20,4,62,0,3,6,0,172,0,1,0,0,1,1,41,4,5,1,1,0,0,0,0,2,0,4,0,0,1,0,0,1,52,15,1,0,32,18,1,44,0,5,0,6,0,1,782,1,6,6,20,5,4,0,0
20,286,27,1,2,0,8,0,9,0,0,0,0,103,0,0,0,0,0,1,15,2,1,0,0,1,0,1,0,0,1,1,5,0,0,0,2,7,65,8,5,0,4,15,0,37,0,3,0,11,0,0,750,1,6,3,10,7,3,0,0
40,572,41,1,20,1,11,1,0,1,2,1,0,407,0,0,0,0,9,1,68,54,4,0,1,0,2,0,0,0,0,1,2,0,0,0,3,0,165,29,2,0,31,70,0,1,0,21,0,0,1,0,66,1,72,15,21,2,4,0,0
60,858,12,1,2,0,5,0,1,0,0,0,0,140,0,0,0,0,7,0,12,19,4,0,2,0,0,0,0,0,0,0,1,0,0,0,3,3,42,20,6,0,35,30,0,1,0,8,0,3,1,0,30,1,48,4,14,1,1,0,0
80,1147,11,0,3,0,5,0,2,0,1,0,0,70,0,0,1,0,2,0,24,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,48,15,0,0,10,13,0,0,0,5,0,0,0,0,18,1,49,0,14,0,1,0,0
100,1456,19,0,6,0,6,0,0,0,0,0,0,238,0,0,2,1,3,1,28,14,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,48,15,2,0,50,9,0,0,0,9,0,0,0,0,67,0,59,3,12,0,1,0,0
120,1765,18,1,5,0,9,0,0,0,1,0,0,180,0,0,0,0,5,0,24,18,1,0,2,0,0,0,0,0,0,0,8,0,0,1,4,0,33,18,1,0,19,34,0,0,0,8,0,0,0,0,58,2,40,1,13,0,1,0,0
140,2074,19,0,9,0,9,0,0,0,0,1,0,216,0,0,0,0,0,4,60,35,4,0,1,0,1,0,0,0,0,0,5,0,0,0,4,5,62,25,3,0,74,39,0,0,0,4,0,1,0,0,102,2,32,5,21,0,3,0,0
160,2383,14,0,13,0,17,1,1,0,1,0,0,347,0,0,1,0,3,0,30,33,6,0,2,0,1,0,0,0,0,0,7,0,0,0,3,0,95,13,0,0,45,42,0,0,0,17,0,0,0,0,67,2,37,5,11,2,1,0,0
180,2692,17,0,5,0,7,0,0,0,1,0,0,195,0,0,0,0,4,0,22,16,3,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,47,12,2,0,72,36,0,0,1,9,0,0,0,1,174,1,29,2,17,1,0,0,1
200,3001,20,1,14,0,15,0,0,0,0,2,0,363,0,0,1,0,1,1,41,31,6,1,1,0,1,1,0,0,0,0,1,0,0,0,3,1,36,20,1,0,48,22,0,1,0,10,0,0,0,0,451,1,35,3,19,4,0,0,0
