"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,905,1,6,3,0,15,1,0,50,6,6,0,0,28,11,0,2,4,2,14,3,0,0,10,1,0,0,1,0,87,4,1,0,0,2,52,10,120,0,0,123,0,1,0,0,0,2,3,0,99,1,1,15,3,0,4,7,5,0,0,2,0,20,92,1,0,0,2,78,5,0,0,1
8,-35,858,0,5,5,0,14,0,0,48,2,3,1,0,25,8,0,1,3,3,8,5,0,0,10,3,1,0,1,0,64,8,3,2,0,4,43,3,139,0,0,125,0,3,0,0,0,3,6,0,81,2,1,10,0,0,2,9,2,0,0,1,0,19,79,3,0,0,0,85,13,0,0,2
16,-13,913,1,7,2,0,24,0,0,43,2,7,1,0,25,12,0,0,4,6,5,2,0,1,9,0,0,0,0,0,84,5,2,0,0,2,43,6,119,0,1,143,4,3,0,0,0,7,3,0,90,1,0,9,0,0,0,6,0,0,0,1,0,25,95,2,0,0,2,103,6,0,0,0
24,31,980,0,3,2,0,30,0,0,74,5,15,1,0,36,12,0,1,1,7,9,4,2,1,12,0,0,0,1,0,35,10,4,0,0,5,23,7,68,3,0,175,6,0,0,0,1,7,4,0,96,0,0,11,1,1,1,13,0,0,0,0,0,23,92,4,0,0,0,155,18,0,0,1
32,53,908,0,5,5,0,57,0,0,47,4,11,2,0,40,10,0,0,2,11,18,4,1,0,21,2,0,0,0,0,32,18,0,0,0,5,13,8,62,1,0,203,4,0,0,0,1,7,4,0,49,0,1,8,0,0,1,14,0,0,0,0,0,2,80,2,0,0,2,136,10,0,0,5
40,79,820,1,7,3,0,68,1,0,34,2,15,0,0,42,23,0,0,2,3,13,6,0,0,35,0,0,0,1,0,25,15,2,0,0,2,9,6,48,4,0,200,7,0,0,0,1,12,2,0,17,0,0,8,0,0,0,10,1,0,0,1,0,4,51,1,0,0,0,131,5,0,0,2
48,128,744,0,3,1,0,56,0,0,45,5,14,1,0,55,11,0,0,2,10,16,5,1,0,18,0,0,0,0,0,20,17,1,0,0,4,5,2,50,1,1,219,3,0,0,0,0,14,2,0,13,0,1,6,0,0,0,2,0,0,0,2,0,0,37,1,0,0,1,78,21,0,0,0
56,197,772,0,3,2,0,50,0,0,45,2,11,4,0,57,14,0,1,5,5,11,0,0,0,25,0,0,0,0,0,16,19,4,0,0,2,12,6,43,3,0,230,2,0,0,0,0,10,0,0,21,0,0,6,1,0,2,5,0,0,0,0,0,4,40,4,0,0,0,91,15,0,0,1
64,266,661,0,6,6,0,36,1,0,31,1,12,2,0,32,16,0,0,4,5,13,2,1,0,15,0,1,0,0,0,17,14,6,0,0,4,15,5,48,1,0,237,4,1,0,0,0,9,3,0,8,0,0,4,0,0,2,3,0,0,0,0,0,2,21,1,0,0,0,62,10,0,0,0
72,434,547,0,3,3,0,40,0,0,57,0,13,2,0,12,2,0,0,2,7,18,2,2,0,10,0,1,0,1,0,8,3,6,0,0,1,7,0,37,2,0,257,2,0,0,0,0,18,1,0,3,0,1,4,0,0,0,4,1,0,0,1,0,0,7,1,0,0,0,7,1,0,0,0
