"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arceuthobium.pusillum","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cephalanthus.occidentalis","Chamaedaphne.calyculata","Corylus.cornuta","Cyperaceae","Diervilla.lonicera","Elymus.type","Equisetum","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juniperus.communis.Thuja.occidentalis.type","Kalmia","Larix","Ledum.Chamaedaphne.calyculata","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Menyanthes.trifoliata","Moneses.uniflora","Myrica.gale","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantago.major","Plantago.undiff.","Platanus.occidentalis","Poaceae.undiff.","Potamogetonaceae.Triglochin","Pyrola","Quercus","Rhamnus.alnifolia.R..frangula","Rhododendron.canadense","Rosaceae","Rubiaceae.undiff.","Rumex.type","Sagittaria","Salix","Sambucus","Sarracenia.purpurea","Saxifragaceae","Scheuchzeria.palustris","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Utricularia","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Vaccinium.undiff.","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum"
0,0,7,0,2,4,5,10,2,0,11,0,1,5,1,141,0,0,1,0,0,0,17,2,137,1,0,0,6,0,33,7,2,1,1,2,3,2,4,5,0,0,0,1,0,0,0,0,1,1,0,16,12,1,0,42,36,0,1,0,14,0,0,6,1,0,1,1,0,0,0,0,0,0,0,120,0,0,0,35,1,1,6,0,0,6,6,1,0,3,2,0,0,0
20,315,8,0,0,3,3,6,0,1,4,0,3,4,0,121,0,0,1,0,1,0,6,1,80,0,0,0,1,0,33,7,1,0,3,0,3,1,0,12,0,0,0,0,0,0,0,0,4,2,1,21,0,2,1,75,54,1,0,0,2,0,0,21,0,0,0,2,0,0,0,0,0,0,0,218,0,0,4,53,1,0,3,2,0,4,1,0,0,7,0,0,0,0
40,642,7,0,1,13,12,5,0,0,0,0,0,1,0,134,0,0,1,1,0,0,9,0,90,0,0,0,10,0,41,6,1,4,1,5,1,1,3,14,1,0,0,1,0,0,0,0,0,0,2,31,12,1,1,63,81,0,0,1,2,0,1,24,0,0,0,0,0,0,6,0,0,0,0,374,0,0,2,78,0,0,9,1,0,5,7,0,0,8,0,0,0,0
60,993,10,0,4,5,2,4,0,3,0,0,0,2,0,123,0,0,1,0,0,0,15,1,69,0,0,1,13,0,32,8,1,2,0,0,0,0,1,6,0,0,0,3,0,0,0,0,2,1,0,19,2,1,2,58,65,0,0,0,0,0,0,14,0,0,0,0,0,0,2,1,0,0,0,289,0,0,5,95,0,0,6,1,0,2,5,0,1,19,0,0,0,2
80,1387,3,1,0,7,6,5,0,0,2,0,1,1,0,148,0,0,3,0,0,0,5,0,24,0,0,0,2,2,42,3,0,0,1,0,1,0,0,13,1,0,2,2,0,0,0,0,32,18,0,14,7,1,0,57,87,0,0,0,0,0,1,12,0,1,0,0,0,0,1,0,0,0,0,395,0,0,6,63,0,0,2,0,0,9,1,0,0,2,2,0,0,0
100,1930,3,0,1,10,1,3,1,0,1,1,0,0,0,69,0,0,0,0,0,0,6,0,325,0,0,0,0,0,14,6,0,2,0,1,2,0,2,33,0,0,0,0,0,0,0,0,3,2,0,6,3,5,0,189,168,0,0,0,1,3,0,14,0,0,0,1,0,0,4,0,1,0,0,37,0,0,1,42,0,1,5,1,0,20,2,0,0,1,0,0,0,0
120,2602,3,0,0,1,7,0,1,0,1,0,1,0,0,35,0,0,1,0,0,0,4,0,40,0,0,0,1,0,12,8,1,2,0,1,1,0,0,57,0,0,0,0,0,0,0,0,3,573,0,9,1,10,0,138,78,0,0,0,3,3,0,10,0,0,0,0,0,0,1,0,0,0,0,41,0,0,4,16,2,0,1,1,0,46,103,0,0,2,0,0,0,0
140,3318,2,0,0,0,5,5,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,16,0,0,0,0,1,0,4,1,1,0,2,3,0,0,94,0,0,0,2,0,0,0,0,0,1437,0,7,2,3,2,313,193,0,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,6,0,0,1,1,2,115,80,0,0,1,0,0,0,0
160,3990,6,0,0,2,3,4,0,1,0,0,0,0,0,77,0,0,0,0,0,0,1,0,40,0,0,16,3,0,4,3,1,1,0,2,1,0,1,51,0,0,2,1,1,0,0,0,1,365,1,7,2,14,0,239,109,0,0,0,3,0,0,8,2,0,0,1,0,0,0,0,0,0,0,51,0,0,2,15,5,0,9,1,6,687,23,0,0,1,0,0,0,0
180,4536,5,0,0,0,11,1,0,0,0,0,1,0,0,59,0,0,1,0,0,0,0,0,23,0,0,1,0,1,3,3,0,2,0,1,0,0,0,62,0,0,0,0,0,0,0,0,4,1017,0,6,3,12,0,193,133,0,0,0,2,1,0,13,0,0,0,0,0,0,1,0,0,0,0,23,0,0,2,5,6,0,3,0,4,299,52,0,0,0,0,0,0,0
