"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Urtica.type","Corylus.cornuta","Fagus","Ranunculaceae.undiff.","Sambucus","Sedum","Thalictrum","Onagraceae","Carya.ovata","Tsuga.canadensis","Salix.undiff.","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Castanea.dentata","Abies","Taxus","Ostrya.Carpinus","Potentilla.palustris.type","Abies.balsamea","Acer.saccharum","Populus.balsamifera.type","Rubus.chamaemorus","cf..Diapensia.lapponica","Rubiaceae","Dalea","Juglans.cinerea","Shepherdia.canadensis","Caryophyllaceae","Viburnum","Salix.herbacea.type","Salix.vestita.type","Polygonum.viviparum","Saxifraga.stellaris.type","Rhamnus.alnifolia.R..frangula","Fabaceae.undiff.","Acer.saccharinum"
0,0,0.0279329608938547,0.270018621973929,0.0074487895716946,0.0111731843575419,0.11731843575419,0.0130353817504655,0.0037243947858473,0.0037243947858473,0.00186219739292365,0.00931098696461825,0.00186219739292365,0.262569832402235,0.0279329608938547,0.0037243947858473,0.0037243947858473,0.00558659217877095,0.0037243947858473,0.0074487895716946,0.00186219739292365,0.00558659217877095,0.00186219739292365,0.148975791433892,0.0037243947858473,0.00558659217877095,0.0502793296089385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,383,0.0316139767054908,0.442595673876872,0,0.00332778702163062,0.091514143094842,0.00332778702163062,0.0133111480865225,0.00166389351081531,0.00166389351081531,0.00332778702163062,0.00665557404326123,0.161397670549085,0.0232945091514143,0.00332778702163062,0.00499168053244592,0,0,0,0.00166389351081531,0.00831946755407654,0.00166389351081531,0.13477537437604,0.0166389351081531,0.00166389351081531,0.0382695507487521,0.00166389351081531,0.00332778702163062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,797,0.0360248447204969,0.28695652173913,0,0.00993788819875776,0.101863354037267,0.00993788819875776,0.00869565217391304,0.00496894409937888,0,0.0062111801242236,0.00496894409937888,0.202484472049689,0.0583850931677019,0.00372670807453416,0.00496894409937888,0.00248447204968944,0,0.00124223602484472,0.00124223602484472,0.00745341614906832,0.0136645962732919,0.120496894409938,0.0273291925465838,0,0.0720496894409938,0,0.00372670807453416,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0.00124223602484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1179,0.0183639398998331,0.35559265442404,0,0.00667779632721202,0.101836393989983,0.013355592654424,0.011686143572621,0.00166944908180301,0,0.00166944908180301,0.00667779632721202,0.173622704507513,0.0434056761268781,0.00166944908180301,0.00333889816360601,0.00166944908180301,0,0,0,0.00834724540901502,0.013355592654424,0.136894824707846,0.013355592654424,0.00166944908180301,0.0734557595993322,0,0,0,0,0,0,0,0,0,0,0.00500834724540901,0.00333889816360601,0.00333889816360601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1594,0.0231788079470199,0.314569536423841,0.00165562913907285,0.00496688741721854,0.117549668874172,0.0182119205298013,0.00496688741721854,0.00165562913907285,0,0.00662251655629139,0.0033112582781457,0.198675496688742,0.0380794701986755,0.00165562913907285,0.0033112582781457,0,0,0.00165562913907285,0,0.00662251655629139,0.00496688741721854,0.165562913907285,0.00662251655629139,0.00496688741721854,0.0596026490066225,0,0.00165562913907285,0,0,0,0,0,0,0,0,0.00165562913907285,0,0.0033112582781457,0.00165562913907285,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1976,0.0291666666666667,0.30625,0.00625,0.00833333333333333,0.110416666666667,0.00625,0.0125,0,0,0.00416666666666667,0.00833333333333333,0.185416666666667,0.0375,0.00208333333333333,0.00208333333333333,0,0.00208333333333333,0.00208333333333333,0,0.00208333333333333,0,0.175,0.01875,0.00208333333333333,0.075,0,0,0,0,0,0,0,0,0,0,0.00208333333333333,0,0,0,0,0.00208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2391,0.0422794117647059,0.332720588235294,0,0.00551470588235294,0.158088235294118,0.00735294117647059,0.00919117647058824,0.00367647058823529,0,0.00919117647058824,0.00735294117647059,0.193014705882353,0.0404411764705882,0.00183823529411765,0,0.00183823529411765,0.00183823529411765,0.00367647058823529,0,0.00735294117647059,0.00183823529411765,0.0790441176470588,0.00367647058823529,0.00367647058823529,0.0716911764705882,0,0,0,0,0,0,0,0,0,0,0.00735294117647059,0,0.00367647058823529,0,0,0,0.00183823529411765,0.00183823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2773,0.0363288718929254,0.434034416826004,0,0.00764818355640535,0.120458891013384,0.00191204588910134,0.0095602294455067,0.00382409177820268,0,0.00191204588910134,0,0.177820267686424,0.0152963671128107,0,0.00573613766730402,0,0,0,0.00191204588910134,0.0095602294455067,0.00573613766730402,0.0917782026768642,0.00573613766730402,0,0.0535372848948375,0,0.00382409177820268,0.00191204588910134,0,0,0,0,0.00191204588910134,0,0,0,0,0.00191204588910134,0,0,0,0,0,0.00573613766730402,0.00191204588910134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3187,0.0418118466898955,0.371080139372822,0.00174216027874564,0.00871080139372822,0.134146341463415,0.00696864111498258,0.00522648083623693,0.00174216027874564,0,0.00522648083623693,0.00871080139372822,0.198606271777003,0.0261324041811847,0.00348432055749129,0.00348432055749129,0.00348432055749129,0,0.00174216027874564,0,0.00522648083623693,0.00696864111498258,0.073170731707317,0.00348432055749129,0,0.0766550522648084,0,0,0.00174216027874564,0.00174216027874564,0,0,0,0,0,0,0,0,0.00348432055749129,0,0,0.00174216027874564,0,0,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3570,0.0288248337028825,0.374722838137472,0.00110864745011086,0.00443458980044346,0.227272727272727,0.00110864745011086,0.00332594235033259,0,0,0.00221729490022173,0,0.229490022172949,0.00443458980044346,0,0,0.00110864745011086,0,0.00443458980044346,0,0.00554323725055432,0.00554323725055432,0.0476718403547672,0.00110864745011086,0,0.0399113082039911,0,0.00110864745011086,0.00110864745011086,0,0,0,0,0.00110864745011086,0,0,0.00110864745011086,0,0.00221729490022173,0,0,0.00221729490022173,0,0,0.00665188470066519,0.00110864745011086,0.00110864745011086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
