"depth","best.age","min.age","max.age"
0.5,-23,-42,-4
20,88,59,117
40,202,153,250
50,259,199,317
60,316,246,385
80,430,337,520
100,544,429,656
120,658,520,792
130,715,566,860
160,886,703,1064
180,1000,795,1201
200,1114,886,1337
230,1285,1023,1542
240,1342,1069,1610
260,1456,1160,1746
280,1570,1252,1883
300,1715,1384,2038
340,2189,1896,2481
360,2426,2146,2710
380,2663,2392,2941
400,2900,2632,3176
420,3138,2866,3417
440,3375,3093,3662
460,3612,3318,3912
480,3849,3536,4166
500,4086,3748,4422
520,4323,3958,4682
540,4561,4166,4945
560,4798,4371,5210
580,5035,4577,5478
600,5344,4896,5773
625,5760,5344,6155
640,6010,5615,6386
660,6343,5975,6695
685,6759,6424,7081
700,7009,6693,7314
720,7342,7051,7626
740,7675,7406,7938
760,8008,7760,8253
780,8341,8111,8569
800,8674,8461,8889
815,8924,8722,9132
830,9174,8979,9375
850,9507,9315,9701
870,9840,9649,10033
890,10173,9978,10369
910,10506,10304,10710
930,10839,10626,11054
950,11166,10971,11363
970,11494,11223,11779
980,11658,11338,12012
990,11822,11413,12245
995,11904,11460,12362
1000,12058,11618,12513
1010,12417,12011,12841
1030,13134,12791,13487
1050,13851,13552,14156
1070,14568,14295,14845
1085,15106,14848,15391
1090,15285,15032,15578
1095,15465,15214,15765
1100,15644,15394,15952
1110,16003,15749,16328
1115,16182,15925,16516
1120,16361,16099,16705
1125,16540,16274,16897
1130,16720,16447,17088
1140,17078,16789,17473
1145,NA,NA,NA
