"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Galium","Asteraceae.subf..Cichorioideae","Picea","Ranunculaceae.undiff.","Rumex","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Alnus","Myrica","Pinus","Populus","Poaceae","Solanaceae","Ericales","Juniperus","cf..Myrica","Caryophyllaceae","Ulmus","Brassicaceae","Rosaceae","Nemopanthus","Taxus","Quercus","Salix","Viburnum","Carya","Castanea","Cornus","Corylus","Artemisia","Fagus","Ostrya","Ambrosia","Acer","Tofieldia"
0,-31,0.129139072847682,0.0562913907284768,0.00993377483443709,0.0033112582781457,0.0033112582781457,0.0894039735099338,0.0033112582781457,0.0298013245033113,0.0033112582781457,0.0132450331125828,0.0529801324503311,0.0397350993377483,0.00662251655629139,0.122516556291391,0.380794701986755,0.0033112582781457,0.0132450331125828,0.00662251655629139,0.033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-21,0.0721003134796238,0.0783699059561129,0.00940438871473354,0,0.00313479623824451,0.19435736677116,0.00313479623824451,0.0376175548589342,0,0.0156739811912226,0.0501567398119122,0.0188087774294671,0.0156739811912226,0,0.394984326018809,0.00626959247648903,0.0219435736677116,0.00626959247648903,0.0250783699059561,0.0219435736677116,0.00313479623824451,0.00626959247648903,0.0156739811912226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-11,0.115727002967359,0.0890207715133531,0.0504451038575668,0,0.0148367952522255,0.0979228486646884,0,0.0504451038575668,0,0.0148367952522255,0.0445103857566766,0.0415430267062315,0.0385756676557863,0.0534124629080119,0.314540059347181,0,0.00890207715133531,0.00593471810089021,0.0356083086053412,0,0,0,0.00593471810089021,0.0118694362017804,0.00593471810089021,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8,0.117469879518072,0.0843373493975904,0.0331325301204819,0,0.00301204819277108,0.135542168674699,0,0.0451807228915663,0,0.00903614457831325,0.0512048192771084,0.0391566265060241,0.00903614457831325,0,0.391566265060241,0,0.0180722891566265,0.00602409638554217,0.0391566265060241,0,0,0.00903614457831325,0.00602409638554217,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0
30,28,0.0562913907284768,0.0728476821192053,0.0298013245033113,0,0.00993377483443709,0.0662251655629139,0,0.0562913907284768,0.0033112582781457,0.033112582781457,0.0794701986754967,0.043046357615894,0.0132450331125828,0.043046357615894,0.413907284768212,0,0.0264900662251656,0.0033112582781457,0.033112582781457,0,0.0033112582781457,0.0033112582781457,0.0033112582781457,0,0.0033112582781457,0,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0
40,47,0.134453781512605,0.0420168067226891,0.0504201680672269,0,0.00840336134453781,0.302521008403361,0,0.0588235294117647,0,0.0252100840336134,0.0672268907563025,0.0336134453781513,0.00840336134453781,0,0.201680672268908,0,0.00840336134453781,0.0336134453781513,0.0168067226890756,0,0,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,67,0.0647249190938511,0.177993527508091,0.029126213592233,0.00323624595469256,0.00970873786407767,0.177993527508091,0.00323624595469256,0.0388349514563107,0,0.0258899676375405,0.12621359223301,0.0744336569579288,0,0,0.207119741100324,0,0.0226537216828479,0.00323624595469256,0.0258899676375405,0,0,0,0.00323624595469256,0,0,0,0,0.00647249190938511,0,0,0,0,0,0,0,0,0,0
55,76,0.0620915032679739,0.0915032679738562,0.0065359477124183,0,0,0.218954248366013,0,0.065359477124183,0,0.00326797385620915,0.0588235294117647,0.0326797385620915,0.0196078431372549,0,0.339869281045752,0,0.0228758169934641,0.0130718954248366,0.0490196078431373,0,0,0.0065359477124183,0.0065359477124183,0,0,0,0.00326797385620915,0,0,0,0,0,0,0,0,0,0,0
60,86,0.120805369127517,0.268456375838926,0.00671140939597315,0,0,0.221476510067114,0.00671140939597315,0.0201342281879195,0,0,0.0671140939597315,0.0402684563758389,0.00671140939597315,0,0.0738255033557047,0,0.0402684563758389,0,0.0805369127516778,0,0.00671140939597315,0.00671140939597315,0.0268456375838926,0,0,0,0.00671140939597315,0,0,0,0,0,0,0,0,0,0,0
70,106,0.0977917981072555,0.252365930599369,0.00946372239747634,0,0.00315457413249211,0.261829652996845,0.00630914826498423,0.0252365930599369,0.00630914826498423,0.00946372239747634,0.148264984227129,0.0441640378548896,0.0189274447949527,0,0.0315457413249211,0,0.0347003154574132,0.00630914826498423,0.0315457413249211,0,0,0,0.00630914826498423,0,0,0,0.00315457413249211,0,0.00315457413249211,0,0,0,0,0,0,0,0,0
80,125,0.123778501628664,0.289902280130293,0.00651465798045603,0,0,0.293159609120521,0.00651465798045603,0.0130293159609121,0,0.00977198697068404,0.107491856677524,0.0390879478827362,0.0130293159609121,0,0.00977198697068404,0,0.0260586319218241,0,0.0390879478827362,0,0,0,0.00977198697068404,0.00651465798045603,0,0,0,0,0,0.00325732899022801,0.00325732899022801,0,0,0,0,0,0,0
