"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cyperaceae","Ericaceae","Galium","Picea","Rumex","Salix","Asteraceae.subf..Asteroideae.undiff.","Ambrosia","Fabaceae","Juniperus.type","Fraxinus","Pinus","Populus","Poaceae","Urtica","Ranunculus","Oxyria.digyna.type","Ulmaceae","Apocynum","Fagus","Alnus","Liliaceae","Cornus","Juglans","Plantago","Campanula","Quercus","Apiaceae","Lamiaceae","Rosaceae","Polygonum","Impatiens","Myrica","Eupatorium","Sphaeralcea","Acer","Primulaceae","Viola","Linum","Morus","Scrophulariaceae","Asteraceae.subf..Cichorioideae","Caryophyllaceae.cf..Dianthus","Elaeagnus","Sarcobatus.vermiculatus","Cupressaceae.undiff.","Taxus"
6,67,242,15,21,4,2,37,1,1,3,5,4,1,7,2,2,5,11,84,16,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,270,256,36,21,13,5,25,0,0,4,6,12,2,5,0,1,3,30,52,24,3,3,0,0,2,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,473,240,30,13,10,5,33,0,1,3,1,5,1,9,0,7,5,20,65,22,2,0,0,1,0,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,676,243,26,18,2,2,33,0,0,4,0,6,2,13,0,7,5,25,58,25,7,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,880,265,35,48,8,3,24,0,0,1,5,9,3,6,0,1,3,27,47,31,7,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1083,261,35,25,8,5,41,0,2,2,5,3,3,4,0,6,7,25,41,31,2,1,0,1,0,0,9,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1286,243,37,27,10,0,11,1,0,2,2,7,0,8,0,4,6,44,38,32,2,2,0,0,1,0,2,0,0,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1489,259,33,12,13,6,18,0,0,1,3,8,3,4,0,6,6,45,31,41,5,3,0,0,6,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1659,246,40,14,13,1,16,2,1,2,2,7,2,11,0,4,8,40,16,43,13,3,0,0,0,0,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.5,1853,234,20,14,11,3,35,0,1,1,0,5,1,4,0,7,5,28,40,37,3,2,0,3,1,0,7,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123.5,2056,262,39,22,13,1,25,0,3,1,4,8,0,11,0,4,0,51,18,49,1,2,0,0,0,0,3,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135.5,2260,270,47,36,18,2,19,0,1,3,2,2,0,7,0,6,0,35,30,39,2,2,0,0,0,0,2,0,0,0,1,0,2,0,10,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
147.5,2463,276,44,25,16,0,22,0,0,7,6,8,0,13,0,0,0,45,24,27,6,6,0,0,0,0,10,0,0,0,7,1,0,1,0,1,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0
159.5,2666,248,39,7,13,3,21,0,3,1,3,14,1,11,0,2,0,20,45,38,7,0,0,3,0,0,5,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
171.5,2869,290,43,9,18,4,24,0,3,3,10,8,7,3,0,0,0,77,16,45,0,2,0,2,1,0,8,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
183.5,3072,265,30,12,22,6,21,0,0,1,2,8,2,12,0,0,0,66,21,27,3,4,0,2,0,0,9,0,0,0,6,0,2,1,0,0,3,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0
195.5,3276,197,31,7,9,0,18,0,0,4,1,8,3,9,0,2,0,39,16,33,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
207.5,3479,254,33,12,18,1,25,0,0,0,2,15,3,5,0,2,0,29,47,40,5,1,0,5,2,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
219.5,3682,272,45,9,24,0,23,0,0,0,2,20,4,5,0,4,0,47,32,34,4,2,0,0,0,0,4,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
231.5,3885,261,27,8,49,0,21,0,1,8,0,10,1,8,1,1,0,44,18,46,1,3,0,0,0,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
243.5,4088,242,17,4,86,0,21,0,0,3,1,3,2,2,0,0,0,38,22,23,1,3,0,0,4,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
255.5,4292,279,19,3,93,0,36,0,3,19,1,8,3,4,0,0,0,24,30,19,3,1,0,0,1,0,1,0,0,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
267.5,4495,283,37,3,81,1,24,0,0,3,1,0,5,4,0,3,0,45,20,26,7,2,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
279.5,4698,273,48,3,34,0,33,0,6,1,0,8,2,12,0,4,0,32,38,42,2,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291.5,4901,278,31,5,34,3,31,0,6,2,3,2,5,12,0,3,0,52,29,36,2,0,0,0,0,0,9,0,0,0,2,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
303.5,5104,281,28,8,22,3,54,0,1,1,0,7,0,14,2,5,0,42,39,34,2,0,0,0,0,0,6,0,0,0,2,0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
315.5,5307,274,38,3,35,1,26,0,0,1,5,5,8,4,0,2,0,56,24,29,1,0,0,0,0,0,6,0,0,0,2,0,0,0,14,0,10,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
327.5,5511,203,38,3,34,1,13,0,2,4,6,1,1,5,0,0,0,29,26,22,3,0,0,5,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
