"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium.type","Quercus","Rosaceae.undiff.","Rumex","Salix","Sanguisorba","Sphagnum","Spiraea.type","Taxus","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Vitis"
0,0,14,0,0,11,0,0,1,0,9,0,1,156,0,1,0,4,1,10,0,0,0,0,30,0,7,1,0,6,3,0,1,0,1,0,0,1,3,0,4,15,0,9,19,1,5,11,2,0,0,24,1,4,0,0,4,0,0,1,22,0,5,3,0,0
5,26,9,2,0,8,0,1,3,0,5,1,0,182,0,4,1,1,0,7,0,2,1,0,39,3,1,3,0,8,5,1,0,0,3,1,0,1,4,0,3,33,0,6,21,0,12,5,0,0,0,14,0,2,2,0,4,0,0,1,17,1,6,3,0,0
9,47,14,2,0,6,0,0,3,0,14,1,0,158,1,2,0,4,0,9,0,1,2,0,48,3,12,1,0,12,4,1,0,1,1,0,0,1,4,0,2,34,0,2,24,2,5,3,1,0,0,26,2,3,1,0,4,0,0,1,25,0,5,4,0,0
15,78,13,2,0,5,0,0,3,0,3,0,1,160,0,2,1,2,0,13,0,0,0,0,41,1,3,0,0,12,1,0,0,0,0,0,0,0,5,0,2,35,0,6,22,1,8,3,2,0,0,22,0,2,1,0,2,0,0,1,22,0,1,0,0,0
20,105,10,2,0,10,0,0,2,1,9,1,1,141,0,0,0,1,0,13,0,0,0,0,54,0,5,1,0,9,0,0,0,0,1,1,0,0,2,0,1,30,0,12,26,1,1,6,0,1,0,24,0,4,0,0,2,0,0,0,23,0,8,3,0,0
25,419,10,2,0,5,0,0,3,0,1,0,0,176,0,2,0,0,0,4,0,0,0,0,73,3,4,3,0,3,0,1,0,0,3,0,0,0,2,0,3,31,0,3,16,0,1,5,0,0,0,19,0,0,1,0,1,0,0,0,38,0,4,0,0,0
30,733,8,0,0,6,0,0,9,0,0,2,1,150,0,1,0,0,0,8,0,1,0,0,57,2,5,3,0,7,3,1,1,0,3,0,0,0,6,1,8,25,0,7,15,1,0,2,0,0,1,16,0,0,0,0,1,0,0,1,28,0,4,0,0,0
40,1361,12,2,0,15,0,0,4,0,0,1,2,155,0,0,0,0,0,6,0,0,0,0,63,1,8,0,0,30,8,0,0,0,0,1,1,1,3,0,1,18,0,8,13,0,0,1,1,2,0,11,0,0,0,0,5,0,0,1,25,0,6,0,0,0
60,2156,11,1,0,10,0,0,6,2,1,2,0,154,0,0,0,0,0,9,0,0,0,0,67,3,2,0,0,22,12,0,0,0,0,0,0,2,3,0,1,2,2,15,11,0,0,5,0,0,1,21,1,0,0,0,6,0,1,0,30,0,3,1,0,0
80,2951,11,0,0,11,1,0,5,0,0,0,1,180,0,0,0,3,0,3,1,2,0,0,55,1,5,2,0,30,24,1,0,0,2,0,0,0,2,0,6,2,0,10,17,1,0,3,1,0,0,23,0,0,0,0,3,0,0,1,11,0,6,5,0,0
90,3349,12,0,1,3,0,0,5,1,0,0,3,163,0,1,0,0,0,6,1,1,0,0,49,1,3,3,0,16,22,0,0,0,4,0,0,1,2,0,0,3,0,21,16,2,1,5,0,3,2,29,0,0,1,0,2,0,0,1,15,0,3,4,0,0
100,3746,10,1,0,4,0,0,6,1,0,0,1,174,0,1,0,1,0,2,0,1,0,0,69,1,3,1,0,40,25,1,0,1,1,0,0,1,1,0,4,4,2,22,19,1,6,8,2,2,1,19,0,2,1,0,2,0,0,1,19,0,6,7,0,0
120,4542,4,0,0,2,0,0,10,0,1,2,1,174,1,0,0,0,0,7,0,0,0,0,49,2,4,5,0,47,70,2,0,0,5,0,0,1,0,0,2,1,0,5,16,2,0,6,0,1,0,23,1,0,0,0,4,0,1,0,30,0,9,4,0,0
140,5186,1,1,0,6,0,0,7,1,0,0,0,144,0,1,0,0,0,3,0,0,0,0,26,5,3,1,1,19,46,0,0,0,1,0,0,0,0,0,4,1,0,20,33,0,0,7,1,1,0,22,0,0,1,0,0,0,0,0,53,0,4,1,0,1
160,5829,3,0,0,6,1,0,13,1,0,0,0,124,0,1,0,2,0,4,0,0,0,0,14,4,5,6,0,12,81,0,0,0,8,2,0,0,0,0,7,2,1,34,51,3,1,22,0,0,0,45,2,0,0,0,4,1,0,1,53,0,11,1,0,0
180,6473,4,1,0,1,0,0,24,0,0,0,2,94,0,0,0,2,0,2,0,2,0,0,3,4,7,1,1,17,57,1,0,0,2,2,0,2,0,0,7,2,0,57,76,3,0,15,1,0,0,45,1,0,0,0,1,2,1,0,18,0,3,2,0,0
200,7117,8,0,0,3,0,0,23,1,0,0,0,110,0,0,0,1,0,4,1,0,0,0,1,3,4,0,0,25,52,0,0,0,1,1,1,1,0,0,7,4,7,58,84,2,2,11,1,0,0,64,0,0,0,0,0,0,1,0,9,0,7,4,0,0
220,7761,5,0,0,6,1,0,36,0,3,1,1,81,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,26,56,0,0,0,0,1,0,2,0,0,4,0,8,100,119,2,2,30,1,1,0,57,1,0,1,0,0,0,0,0,6,0,2,4,0,0
240,8404,8,0,0,4,1,0,24,1,2,0,1,122,0,0,0,0,0,4,0,0,0,0,0,9,2,1,0,20,15,1,0,0,1,2,1,1,0,0,3,5,2,85,87,2,0,10,0,1,5,47,2,0,0,0,0,3,0,0,3,0,5,1,0,0
260,9048,17,0,0,1,1,0,35,0,0,0,0,119,0,0,0,0,0,1,5,0,0,1,0,7,3,0,0,5,3,0,0,0,1,0,0,0,0,0,12,5,5,142,69,1,3,20,1,1,1,59,0,0,1,0,0,0,0,0,3,0,2,4,0,0
280,9692,7,0,0,7,0,0,52,1,1,1,1,151,0,0,0,0,0,9,2,2,0,0,1,1,3,1,0,7,0,0,0,0,1,0,1,1,0,0,5,10,2,62,86,0,3,14,9,1,5,53,0,0,1,0,0,0,0,0,5,0,8,4,0,0
290,NA,11,1,0,0,0,0,31,0,1,2,2,128,0,0,0,0,0,7,1,5,0,1,1,6,1,0,0,9,2,0,1,0,3,4,1,3,0,0,4,9,12,44,64,0,2,31,7,0,5,28,2,0,0,0,0,0,0,0,1,0,2,0,0,0
300,NA,14,0,0,2,0,0,42,0,1,1,0,186,0,0,0,1,0,8,6,3,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,1,0,0,4,26,0,26,45,1,2,9,2,2,6,17,0,0,3,0,0,0,0,0,0,0,2,6,0,0
310,NA,1,0,0,0,0,0,4,0,4,26,7,54,0,0,2,0,0,9,0,94,5,2,0,1,4,0,0,42,1,0,0,0,0,0,3,5,1,0,36,111,3,10,67,0,6,6,5,6,0,39,0,2,11,0,0,0,0,0,0,0,1,11,0,0
320,NA,0,0,0,0,0,0,0,0,0,17,5,20,0,0,3,0,0,8,1,31,1,0,0,2,0,0,0,34,0,0,0,0,0,0,1,1,0,0,13,57,5,1,49,0,8,5,13,7,0,8,4,3,11,1,0,0,0,0,0,0,1,6,1,0
