"sample.depths","sample.ages","Abies","Acer.saccharum.type","Ambrosia.type","Betula","Carya","Castanea","Celtis","Corylus","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Acer.rubrum","Acer.undiff.","Artemisia","Caryophyllaceae","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Salix","Liquidambar","Amaranthaceae","Pinus.subg..Pinus","Taxus","Acer.spicatum","Cupressaceae","Acer.saccharinum.type","Ilex","Vitis","Spiraea.type","Ericaceae","Sanguisorba","Urtica.type"
0,0,0.0389972144846797,0.0306406685236769,0.0250696378830084,0.434540389972145,0.00278551532033426,0.011142061281337,0.00278551532033426,0.0278551532033426,0.0835654596100279,0.0194986072423398,0.00278551532033426,0.011142061281337,0.0417827298050139,0.0250696378830084,0.052924791086351,0.00278551532033426,0.0668523676880223,0.011142061281337,0.00278551532033426,0.0612813370473538,0.00278551532033426,0.0139275766016713,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.00557103064066852,0.0139275766016713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,0.0231958762886598,0.0206185567010309,0.0128865979381443,0.469072164948454,0.0103092783505155,0.00257731958762887,0,0.0180412371134021,0.100515463917526,0.00257731958762887,0,0.0077319587628866,0.0850515463917526,0.0154639175257732,0.0541237113402062,0,0.0360824742268041,0.00515463917525773,0.00257731958762887,0.0438144329896907,0,0.0154639175257732,0.0077319587628866,0,0.00257731958762887,0,0.0309278350515464,0.00515463917525773,0.00257731958762887,0.00257731958762887,0.00257731958762887,0.00515463917525773,0.0077319587628866,0.00257731958762887,0.00515463917525773,0,0,0,0,0,0,0,0,0,0,0,0,0
9,47,0.0338983050847458,0.0145278450363196,0.0338983050847458,0.382566585956416,0.00484261501210654,0.00968523002421308,0,0.0217917675544794,0.116222760290557,0.0290556900726392,0,0.00484261501210654,0.0823244552058111,0.00484261501210654,0.0581113801452785,0.00484261501210654,0.062953995157385,0.00726392251815981,0.00242130750605327,0.0605326876513317,0,0.0121065375302663,0.00726392251815981,0.00484261501210654,0.00242130750605327,0.00242130750605327,0.0121065375302663,0.00484261501210654,0,0.00242130750605327,0,0.00242130750605327,0.00726392251815981,0.00242130750605327,0.00242130750605327,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0
15,78,0.0346666666666667,0.0133333333333333,0.008,0.426666666666667,0.00533333333333333,0.00533333333333333,0,0.0346666666666667,0.109333333333333,0.008,0,0.00533333333333333,0.0933333333333333,0.016,0.0586666666666667,0.00266666666666667,0.0586666666666667,0.00533333333333333,0.00266666666666667,0.0586666666666667,0.00266666666666667,0.00266666666666667,0.008,0,0,0.00533333333333333,0.0213333333333333,0.00533333333333333,0,0,0.00266666666666667,0,0.00266666666666667,0,0.00266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
20,105,0.0263157894736842,0.0263157894736842,0.0236842105263158,0.371052631578947,0,0.00263157894736842,0,0.0342105263157895,0.142105263157895,0.0131578947368421,0,0.00263157894736842,0.0789473684210526,0.0315789473684211,0.068421052631579,0.00263157894736842,0.0631578947368421,0.0105263157894737,0,0.0605263157894737,0.00263157894736842,0.0210526315789474,0.00526315789473684,0,0,0,0.00263157894736842,0.00526315789473684,0,0.00263157894736842,0,0,0,0,0,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0
25,419,0.025,0.0125,0.0025,0.44,0.005,0,0,0.01,0.1825,0.01,0,0.0075,0.0775,0.0075,0.04,0,0.0475,0,0,0.095,0,0.01,0.0075,0,0,0,0.0025,0.005,0,0,0,0,0.0075,0.0025,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0
30,733,0.0224089635854342,0.0168067226890756,0,0.420168067226891,0.00280112044817927,0,0,0.0224089635854342,0.159663865546218,0.0140056022408964,0.00280112044817927,0.0224089635854342,0.0700280112044818,0.0196078431372549,0.0420168067226891,0.00280112044817927,0.0448179271708683,0,0.00280112044817927,0.0784313725490196,0.00280112044817927,0.0112044817927171,0.0252100840336134,0,0,0,0,0,0,0.00560224089635854,0,0.00280112044817927,0.00560224089635854,0.00280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1361,0.0338983050847458,0.0423728813559322,0,0.437853107344633,0,0,0,0.0169491525423729,0.177966101694915,0.0225988700564972,0,0.00282485875706215,0.0508474576271186,0.0225988700564972,0.0367231638418079,0,0.0310734463276836,0,0.00282485875706215,0.0706214689265537,0.00564971751412429,0.0169491525423729,0.0112994350282486,0,0.00282485875706215,0.00282485875706215,0,0.00564971751412429,0,0.00282485875706215,0,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2156,0.030812324929972,0.0280112044817927,0.00280112044817927,0.431372549019608,0,0,0,0.0252100840336134,0.187675070028011,0.00560224089635854,0,0.00280112044817927,0.00560224089635854,0.0420168067226891,0.030812324929972,0,0.0588235294117647,0,0,0.0840336134453782,0,0.00840336134453781,0.0168067226890756,0.00280112044817927,0.00560224089635854,0,0,0.00280112044817927,0,0.00560224089635854,0,0,0.00840336134453781,0,0,0,0.00560224089635854,0.00560224089635854,0.00280112044817927,0,0,0,0,0,0,0,0,0
80,2951,0.0307262569832402,0.0307262569832402,0,0.502793296089385,0,0.00837988826815642,0,0.00837988826815642,0.153631284916201,0.0139664804469274,0,0.0167597765363128,0.00558659217877095,0.0279329608938547,0.0474860335195531,0.00279329608938547,0.0642458100558659,0,0.00279329608938547,0.0307262569832402,0.00279329608938547,0.0167597765363128,0.0139664804469274,0,0,0.00279329608938547,0,0,0,0,0,0.00558659217877095,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0.00279329608938547,0.00279329608938547,0,0,0,0,0,0,0
90,3349,0.0349854227405248,0.0087463556851312,0,0.475218658892128,0.00291545189504373,0,0,0.0174927113702624,0.142857142857143,0.0087463556851312,0,0,0.0087463556851312,0.0612244897959184,0.0466472303206997,0.00583090379008746,0.0845481049562682,0,0.00291545189504373,0.043731778425656,0.0087463556851312,0.0087463556851312,0.0145772594752187,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0.00291545189504373,0.00291545189504373,0,0.00291545189504373,0,0.00291545189504373,0,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0,0,0
100,3746,0.0259067357512953,0.0103626943005181,0,0.450777202072539,0.00259067357512953,0.00259067357512953,0,0.00518134715025907,0.178756476683938,0.0077720207253886,0,0.0103626943005181,0.0103626943005181,0.0569948186528497,0.0492227979274611,0.00259067357512953,0.0492227979274611,0.00518134715025907,0.00259067357512953,0.0492227979274611,0.00259067357512953,0.0155440414507772,0.0155440414507772,0,0.00259067357512953,0.00518134715025907,0.0155440414507772,0.00259067357512953,0,0,0,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00259067357512953,0.00518134715025907,0,0,0,0,0,0,0,0,0,0
