"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Betula","Carya","Castanea","Celtis","Corylus","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Quercus","Rumex","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Rosaceae.undiff.","Myrica","Populus","Poaceae","Acer.rubrum","Acer.undiff.","Artemisia","Caryophyllaceae","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Salix","Liquidambar","Amaranthaceae","Pinus.subg..Pinus","Taxus","Acer.spicatum","Cupressaceae","Acer.saccharinum.type","Ilex","Vitis","Spiraea.type","Ericaceae","Sanguisorba","Urtica.type"
0,0,359,14,11,9,156,1,4,1,10,30,7,1,4,15,9,19,1,24,4,1,22,1,5,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,388,9,8,5,182,4,1,0,7,39,1,0,3,33,6,21,0,14,2,1,17,0,6,3,0,1,0,12,2,1,1,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,47,413,14,6,14,158,2,4,0,9,48,12,0,2,34,2,24,2,26,3,1,25,0,5,3,2,1,1,5,2,0,1,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,78,375,13,5,3,160,2,2,0,13,41,3,0,2,35,6,22,1,22,2,1,22,1,1,3,0,0,2,8,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,105,380,10,10,9,141,0,1,0,13,54,5,0,1,30,12,26,1,24,4,0,23,1,8,2,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,419,400,10,5,1,176,2,0,0,4,73,4,0,3,31,3,16,0,19,0,0,38,0,4,3,0,0,0,1,2,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,733,357,8,6,0,150,1,0,0,8,57,5,1,8,25,7,15,1,16,0,1,28,1,4,9,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1361,354,12,15,0,155,0,0,0,6,63,8,0,1,18,8,13,0,11,0,1,25,2,6,4,0,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2156,357,11,10,1,154,0,0,0,9,67,2,0,1,2,15,11,0,21,0,0,30,0,3,6,1,2,0,0,1,0,2,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0
80,2951,358,11,11,0,180,0,3,0,3,55,5,0,6,2,10,17,1,23,0,1,11,1,6,5,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
90,3349,343,12,3,0,163,1,0,0,6,49,3,0,0,3,21,16,2,29,0,1,15,3,3,5,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
100,3746,386,10,4,0,174,1,1,0,2,69,3,0,4,4,22,19,1,19,2,1,19,1,6,6,0,1,2,6,1,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0
120,4542,349,4,2,1,174,0,0,0,7,49,4,0,2,1,5,16,2,23,0,0,30,1,9,10,1,1,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,5186,339,1,6,0,144,1,0,0,3,26,3,0,4,1,20,33,0,22,0,0,53,0,4,7,0,0,1,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
160,5829,390,3,6,0,124,1,2,0,4,14,5,0,7,2,34,51,3,45,0,1,53,0,11,13,2,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
180,6473,366,4,1,0,94,0,2,0,2,3,7,0,7,2,57,76,3,45,0,0,18,2,3,24,1,2,1,0,1,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0
200,7117,406,8,3,0,110,0,1,0,4,1,4,0,7,4,58,84,2,64,0,0,9,0,7,23,0,1,1,2,0,0,0,0,0,3,0,0,0,1,7,1,0,1,0,0,0,0,0,0,0
220,7761,446,5,6,3,81,0,0,0,3,0,3,0,4,0,100,119,2,57,0,0,6,1,2,36,1,2,1,2,0,0,1,0,0,1,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0
240,8404,424,8,4,2,122,0,0,0,4,0,2,0,3,5,85,87,2,47,0,0,3,1,5,24,2,1,0,0,0,0,0,0,0,9,1,0,0,1,2,0,1,0,0,0,0,3,0,0,0
