"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Carya","Corylus","Fraxinus","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Poaceae"
0,-33,1,4,7,92,0,1,2,0,0,3,3,15,80,83,17,0,0,45,2,4,8,1,0,1,3
10,128,4,5,8,81,0,0,1,0,2,2,2,5,66,71,14,0,1,42,3,0,3,0,1,0,1
20,290,0,13,8,151,1,0,5,1,2,9,3,4,94,60,29,0,0,11,7,4,6,0,0,0,1
30,451,3,5,17,76,0,3,3,0,5,3,2,7,97,80,20,0,1,19,7,10,4,0,1,2,2
40,613,1,9,9,106,1,2,4,1,7,5,2,11,93,151,23,0,0,25,12,4,5,1,0,1,4
50,774,1,10,20,109,0,5,8,0,5,5,2,15,87,90,39,0,1,6,11,4,6,1,0,1,2
60,935,4,10,4,28,0,1,6,0,4,4,4,14,77,41,23,0,2,0,9,4,2,0,0,2,0
70,1097,0,11,17,49,0,2,9,0,4,7,0,15,78,92,31,1,0,0,10,2,3,1,2,1,4
80,1258,2,3,6,45,0,5,4,0,1,8,1,7,84,144,21,0,0,1,5,4,4,0,1,0,2
90,1420,1,7,11,37,1,2,3,0,1,14,0,13,74,205,40,0,1,3,11,4,3,1,1,0,0
100,1581,0,3,16,59,0,2,1,0,0,15,0,15,74,97,18,0,1,0,10,7,1,1,1,1,1
110,1742,2,10,13,48,0,2,1,1,3,20,0,5,105,154,31,1,1,0,24,8,5,0,6,0,1
120,1904,5,1,13,38,1,0,0,1,0,12,0,16,80,136,24,1,1,0,17,9,3,0,1,2,1
130,2065,2,3,24,59,2,3,2,0,0,10,0,11,86,123,19,0,0,0,17,8,3,0,4,2,0
140,2226,2,2,17,56,2,2,1,0,1,6,1,32,48,145,9,0,0,0,11,8,2,0,4,1,1
150,2388,3,1,20,56,2,2,5,0,2,4,1,46,5,122,13,4,0,0,9,9,3,0,7,0,1
160,2549,6,0,20,73,0,5,4,0,2,7,11,20,4,181,10,1,1,0,13,7,10,0,4,2,1
170,2711,3,0,15,49,1,1,3,0,0,6,16,10,3,239,13,0,0,0,17,1,4,0,2,0,0
180,2872,5,2,2,10,2,2,0,3,1,4,33,7,4,231,18,0,1,0,16,1,5,0,1,0,0
190,3033,0,0,1,12,3,2,5,2,4,2,129,4,3,145,17,0,0,0,29,2,5,0,2,1,0
195,3151,0,2,1,17,3,2,3,3,2,5,39,11,5,210,16,0,0,0,6,1,2,1,1,0,0
200,3268,0,1,0,15,1,2,1,1,5,3,64,6,5,185,11,0,0,0,7,3,4,0,1,0,0
205,3385,3,0,1,9,3,2,1,0,6,5,136,9,6,107,9,1,0,0,6,4,3,0,0,0,5
210,3502,1,0,3,17,1,3,7,1,9,0,114,11,2,144,21,0,0,0,34,3,7,0,2,0,0
215,3619,0,2,0,20,0,1,2,0,5,2,75,25,1,205,14,0,0,0,15,1,2,1,0,1,0
225,3854,0,1,1,19,1,4,5,5,3,6,150,31,4,105,30,0,0,0,40,0,5,0,0,1,1
235,4088,1,1,1,24,0,2,4,5,8,3,159,21,1,97,24,7,0,0,11,0,7,2,1,1,1
245,4322,4,2,1,13,0,5,7,1,10,11,158,15,1,35,21,3,0,0,21,3,10,0,1,2,10
