"depth","best.age","min.age","max.age"
0,-1,-39,35
10,51,15,89
30,512,443,593
50,973,851,1130
70,1434,1257,1670
90,1896,1660,2209
110,2357,2064,2750
130,2818,2467,3290
150,3279,2870,3829
170,3740,3274,4370
190,4201,3676,4909
210,4662,4079,5449
230,5123,4481,5988
250,5584,4883,6527
270,6045,5286,7067
290,6506,5689,7607
310,6967,6091,8146
330,7428,6493,8685
350,7889,6896,9225
370,8351,7298,9764
390,8812,7701,10304
410,9273,8103,10843
430,9734,8505,11382
450,10195,8908,11922
470,10656,9310,12461
490,11117,9712,13000
505,11463,10014,13405
515,11693,10216,13675
525,11924,10416,13944
535,12154,10618,14214
545,12385,10819,14484
555,12616,11020,14753
560,12731,11121,14888
567,12892,11262,15077
570,12961,11322,15158
575,13077,11423,15293
580,13192,11523,15428
585,13307,11623,15562
590,13422,11725,15698
593,13492,11785,15779
