"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Carya","Caryophyllaceae","Celtis","Cephalanthus","Cornus.canadensis","Cornus.undiff.","Corylus","Cyperaceae","Dalea","Dicentra","Dryopteris","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Huperzia.lucidula","Indeterminable","Indeterminable.undiff.","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae.undiff.","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Mentha.type","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Parnassia","Picea","Pinus.banksiana","Pinus.resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Primulaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae.undiff.","Shepherdia.canadensis","Solanaceae","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Urtica","Viburnum","Vitis","Woodsia"
665,910,0,0,0,0,0,0,0,0,11,2,3,10,0,0,0,19,14,0,0,36,4,0,0,1,0,0,1,17,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,3,1,2,20,9,117,0,19,0,0,0,1,2,0,0,96,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0
700,1224,3,0,0,1,0,0,0,0,19,2,2,13,0,0,0,25,7,0,0,24,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,1,0,0,4,0,5,0,1,37,16,46,0,51,0,0,0,2,0,0,0,133,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,6,1,0,0,0,0
780,1940,0,0,0,0,0,2,0,0,11,1,3,5,0,1,0,20,10,0,0,20,1,0,0,0,0,0,3,25,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,3,1,0,37,16,63,1,43,0,0,1,1,1,0,0,139,0,1,0,0,0,0,3,1,0,0,0,0,2,1,0,1,0,6,1,0,0,0,0
890,2925,0,0,0,1,0,2,0,0,19,4,7,10,0,0,0,33,19,0,0,26,2,0,0,0,0,0,5,20,0,0,0,0,0,0,0,4,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,4,0,0,41,14,42,1,50,0,0,1,1,1,0,0,101,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,10,0,0,0,0,0
990,3821,0,0,0,0,0,2,1,0,11,2,3,16,0,0,0,38,19,0,0,22,5,0,1,0,0,0,0,47,0,0,0,0,1,0,0,6,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,15,0,3,1,2,53,9,37,0,45,0,0,3,1,0,0,0,108,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,16,2,0,0,0,0
1030,4179,1,0,0,0,0,1,0,0,15,0,5,6,0,0,0,40,16,0,0,25,2,0,0,0,0,0,2,28,0,0,0,0,0,0,0,8,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0,1,0,5,0,2,0,0,8,7,60,0,51,1,0,0,1,2,0,0,94,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0
1050,4358,0,0,0,0,0,2,1,0,16,8,3,15,0,0,1,51,24,0,0,22,2,0,1,0,0,0,2,38,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,0,1,28,11,38,2,67,0,0,2,2,2,0,0,109,0,0,1,0,0,0,4,1,0,0,0,1,1,2,0,1,0,12,1,1,0,0,0
1070,4537,2,0,0,0,0,3,0,0,12,0,7,21,0,0,0,51,13,0,0,24,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,3,0,0,1,5,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,5,4,68,0,56,0,1,0,1,1,0,1,113,0,0,0,0,0,1,2,1,0,0,0,0,0,4,0,1,0,7,2,0,0,0,0
1090,4716,0,0,0,0,0,1,0,0,11,0,11,28,0,0,0,35,13,0,0,32,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,5,9,55,0,46,0,0,3,1,1,0,0,114,0,0,0,1,0,0,4,0,0,0,0,0,2,2,0,0,1,11,1,0,0,0,0
1110,4895,0,0,0,0,0,1,0,0,13,0,12,40,0,0,0,64,19,0,0,22,1,0,0,0,0,0,4,19,0,0,0,0,0,0,0,9,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,0,7,68,0,68,0,0,1,0,1,0,0,109,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,2,18,2,0,0,0,0
