"depth","best.age","min.age","max.age"
0,-1,-39,35
10,25,-3,52
20,51,15,89
40,548,503,591
60,1045,984,1105
80,1542,1458,1620
100,2039,1931,2138
120,2536,2404,2657
135,2909,2758,3046
145,3158,2996,3307
155,3406,3231,3566
165,3655,3468,3827
185,4152,3940,4347
205,4649,4412,4867
235,5395,5120,5647
245,5643,5356,5907
255,5892,5592,6167
275,6389,6065,6688
295,6886,6536,7208
315,7383,7008,7728
335,7880,7479,8248
355,8377,7951,8769
365,8626,8187,9029
375,8874,8423,9289
385,9123,8660,9550
395,9371,8895,9810
405,9620,9131,10070
415,9868,9367,10330
425,10117,9603,10591
435,10365,9839,10851
445,10614,10074,11111
455,10862,10310,11371
465,11111,10546,11631
475,11359,10782,11892
485,11608,11017,12151
493,11807,11206,12360
496,11881,11277,12438
500,11981,11371,12542
505,NA,NA,NA
510,NA,NA,NA
