"sample.depths","sample.ages","Artemisia","Betula","Amaranthaceae.undiff.","Cyperaceae","Picea","Salix","Alnus","Pinus","Poaceae","Quercus","Populus","Abies","Larix","Asteraceae.subf..Asteroideae.undiff.","Corylus","Sarcobatus.vermiculatus","Thalictrum","Ulmus","Plantago","Rosaceae","Fraxinus","Myrica","Ambrosia.type","Shepherdia","Herbs.undiff.","Ostrya.Carpinus","Trees.undiff.","Polygonaceae.undiff.","Elaeagnus","Juglans","Rumex","Asteraceae.subf..Cichorioideae","Ericaceae","Ephedra","Cupressaceae"
0,-1,0.0349344978165939,0.222707423580786,0.0218340611353712,0.00436681222707424,0.170305676855895,0.0131004366812227,0.165938864628821,0.34061135371179,0.0262008733624454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,25,0.0632411067193676,0.173913043478261,0.0237154150197628,0.0118577075098814,0.130434782608696,0.00790513833992095,0.193675889328063,0.33201581027668,0.0434782608695652,0.00395256916996047,0.0158102766798419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,51,0.0662251655629139,0.205298013245033,0.00993377483443709,0.00993377483443709,0.172185430463576,0.0165562913907285,0.105960264900662,0.377483443708609,0.00993377483443709,0,0.00662251655629139,0.0033112582781457,0.0132450331125828,0.0033112582781457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,548,0.0684931506849315,0.226027397260274,0.00342465753424658,0.0102739726027397,0.106164383561644,0.023972602739726,0.0787671232876712,0.414383561643836,0.0308219178082192,0,0.00342465753424658,0,0.00684931506849315,0.00684931506849315,0.00342465753424658,0.00342465753424658,0.00342465753424658,0.00342465753424658,0.00342465753424658,0.00342465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1045,0.06875,0.209375,0.003125,0.0125,0.115625,0.01875,0.14375,0.365625,0.025,0.003125,0.00625,0.00625,0.003125,0.00625,0,0.003125,0.003125,0,0,0.003125,0.003125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1542,0.0278745644599303,0.18815331010453,0.00696864111498258,0.0139372822299652,0.198606271777003,0.0139372822299652,0.104529616724739,0.376306620209059,0.0209059233449477,0,0.0174216027874564,0.00348432055749129,0.00696864111498258,0.00696864111498258,0.00348432055749129,0,0,0,0,0.00348432055749129,0.00348432055749129,0.00348432055749129,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2039,0.0451388888888889,0.239583333333333,0,0.03125,0.159722222222222,0.0104166666666667,0.0833333333333333,0.361111111111111,0.0173611111111111,0,0.0243055555555556,0.0138888888888889,0.00347222222222222,0.00347222222222222,0,0,0.00347222222222222,0,0,0,0,0,0.00347222222222222,0,0,0,0,0,0,0,0,0,0,0,0
120,2536,0.0421052631578947,0.0771929824561404,0.0105263157894737,0.0105263157894737,0.221052631578947,0.0140350877192982,0.0912280701754386,0.512280701754386,0.0140350877192982,0,0,0.00701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2909,0.0484429065743945,0.131487889273356,0,0.013840830449827,0.0934256055363322,0.0069204152249135,0.14878892733564,0.532871972318339,0.013840830449827,0,0,0,0,0,0.00346020761245675,0,0,0,0,0.00346020761245675,0,0,0,0.00346020761245675,0,0,0,0,0,0,0,0,0,0,0
145,3158,0,0.218623481781377,0,0.0121457489878543,0.137651821862348,0.0283400809716599,0.161943319838057,0.404858299595142,0,0,0.0161943319838057,0,0,0.00404858299595142,0,0,0.00404858299595142,0,0,0,0,0,0.00809716599190283,0.00404858299595142,0,0,0,0,0,0,0,0,0,0,0
