"depth","best.age","min.age","max.age"
0,-42,-111,28
2.5,152,87,216
4.5,303,233,373
6.5,450,371,530
8.5,594,503,684
10.5,735,631,836
12.5,872,755,984
14.5,1007,879,1129
15.5,1073,940,1200
18.5,1267,1121,1407
21.5,1454,1299,1606
24.5,1636,1475,1797
28.5,1870,1701,2037
32,2067,1895,2237
36.5,2311,2139,2481
40.5,2520,2349,2686
44.5,2723,2554,2884
48,2895,2728,3053
52,3087,2920,3241
56,3275,3108,3428
60,3459,3295,3618
64,3641,3472,3804
68,3820,3645,3991
72.5,4021,3837,4204
76,4177,3985,4372
80,4356,4154,4565
84,4536,4325,4761
88,4718,4497,4957
92,4903,4673,5154
96.5,5115,4877,5377
100,5285,5043,5553
104,5483,5239,5755
108,5688,5444,5959
112.5,5927,5687,6193
116,6119,5886,6378
120,6347,6123,6594
124,6585,6372,6817
128,6832,6632,7047
132,7091,6899,7289
136,7361,7170,7552
138,7501,7303,7692
140,7644,7432,7837
142,7791,7562,7993
144,NA,NA,NA
146,NA,NA,NA
