"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea","Cornus.canadensis","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus","Huperzia.selago","Indeterminable","Isoëtes","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Ostrya.type","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polygonum.viviparum","Polypodiaceae","Populus","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex","Salix","Selaginella","Shepherdia.canadensis","Sparganium","Sphagnum","Thalictrum","Tsuga","Typha","Ulmus","Unknown"
0,-42,0,0,2,66,7,10,9,20,0,106,0,0,0,0,4,92,3,1,0,9,0,0,0,0,3,0,3,2,15,0,0,1,0,1,136,37,2,8.5,0,0,31,0,27,0,0,0,0,2,0,0,0,1,13,0,0,0,67,0,0,0,0,4
2.5,152,0,1,1,55,3,12,16,19,0,122,0,0,0,0,10,92,8,0,0,15,0,0,0,0,1,0,1,0,25,4,0,0,0,0,144,14,0,3,0,0,37,0,16,0,2,0,0,0,0,0,0,0,8,0,0,0,50,0,0,0,0,0
4.5,303,0,1,0,65,1,9,18,22,0,114,0,0,0,0,2,106,3,0,0,13,0,1,0,1,2,0,0,0,40,4,0,0,0,0,115,37,0,6.5,0,0,42,0,21,0,0,0,0,3,0,0,0,0,12,0,0,0,45,0,0,0,1,0
6.5,450,0,0,0,59,3,4,13,25,0,100,0,2,0,0,3,75,10,0,0,18,0,0,0,0,1,0,0,0,30,1,0,0,0,0,126.5,16,0,1,0,0,47,0,18,0,1,0,0,1,0,0,0,0,12,0,0,0,49,0,0,0,1,0
8.5,594,0,0,0,52,2,7,24,22,1,122,0,0,0,0,6,90,3,0,0,13,1,0,0,2,2,0,4,0,35,3,0,0,0,0,108.5,33,2,8.5,0,0,44,1,17,0,1,0,0,1,0,0,0,0,13,0,0,0,49,0,0,0,0,0
10.5,735,0,0,0,42,6,11,13,21,0,103,0,0,0,0,3,81,3,0,0,20,0,0,0,0,0,0,1,0,32,1,0,0,0,0,153,17,0,1.5,0,0,34,0,18,0,2,0,0,1,1,0,0,0,16,0,0,0,59,0,1,0,0,0
12.5,872,0,0,1,65,1,6,16,11,0,92,0,0,0,0,5,67,0,0,0,9,0,0,0,0,2,1,0,0,36,4,0,0,0,0,182.5,16,0,3.5,0,0,30,0,15,0,0,0,0,1,0,0,0,0,4,0,0,0,21,0,0,0,0,0
14.5,1007,0,0,3,68,3,5,12,16,0,125,0,0,0,0,8,25,5,1,0,14,0,0,0,2,0,0,0,1,22,1,0,0,0,0,186,23,1,2.5,0,0,39,0,19,0,0,0,0,1,0,0,0,0,6,0,0,0,65,0,0,0,1,0
15.5,1073,0,0,3,66,6,6,17,17,0,136,0,0,0,0,10,74,3,0,0,9,0,0,0,0,1,1,2,5,37,0,0,0,0,0,223.5,45,2,8.5,1,0,33,0,8,7,6,1,0,1,0,1,0,0,10,0,0,0,76,0,0,0,1,1
18.5,1267,0,0,0,58,1,4,7,27,0,91,0,0,1,0,4,73,1,1,0,10,0,0,0,1,0,0,1,0,26,5,0,0,0,0,165,16,0,2,0,0,45,0,14,0,2,0,0,1,0,0,0,0,12,0,0,0,39,0,0,0,0,0
21.5,1454,0,0,3,60,1,2,11,24,0,110,0,0,0,0,4,75,4,1,0,12,0,0,0,1,0,1,2,2,16,5,0,0,0,0,151,13,0,2,0,0,31,0,16,0,1,0,0,1,1,0,0,0,11,0,0,0,58,0,0,0,1,0
24.5,1636,0,0,3,66,2,3,17,26,0,103,0,0,0,0,9,75,4,1,0,12,0,0,0,0,3,0,1,4,26,4,0,0,0,0,152.5,53,3,6,0,0,34,0,19,0,0,0,0,2,1,0,0,0,14,0,0,0,52,0,0,0,0,2
28.5,1870,0,0,1,58,1,3,11,14,0,92,0,0,0,0,9,71,2,0,1,11,0,0,2,2,1,0,0,1,18,0,0,0,0,0,175,18,0,3.5,0,0,40,0,15,0,0,0,0,0,1,0,0,0,12,0,0,0,40,0,0,0,0,2
32,2067,0,0,0,67,0,7,15,17,0,123,0,0,0,1,7,89,2,2,0,10,0,0,0,0,2,0,1,4,31,5,0,0,0,0,207.5,56,3,5,0,0,44,0,20,0,2,0,0,2,0,0,0,0,12,0,0,0,76,0,1,1,0,1
36.5,2311,0,0,1,60,0,6,18,13,0,74,0,0,0,1,1,91,4,2,1,6,0,0,0,3,0,0,0,0,37,6,0,0,0,0,200.5,25,0,0.5,0,0,20,0,22,0,1,0,0,0,1,0,0,0,13,0,0,0,41,0,0,0,0,0
40.5,2520,0,0,1,66,1,1,15,17,0,123,0,0,0,0,8,39,3,0,0,8,0,1,0,1,1,0,1,2,17,3,0,0,0,0,189,24,0,4.5,0,0,18,0,10,0,1,0,0,0,0,0,0,0,10,0,0,0,35,0,0,0,0,1
44.5,2723,0,0,0,58,0,1,6,17,0,91,0,0,0,1,7,68,1,0,2,9,0,0,0,0,1,0,0,5,12,1,0,0,0,0,217,7,0,1.5,0,0,26,0,14,0,0,0,0,1,2,0,0,0,8,0,0,0,30,0,0,0,0,2
48,2895,0,0,2,99,0,9,9,23,0,140,0,0,0,0,16,76,13,0,1,11,0,0,0,0,3,0,0,5,17,1,1,0,0,0,215,25,3,4.5,0,0,33,0,13,3,0,0,0,2,0,0,0,0,7,0,0,0,44,0,0,0,0,0
52,3087,0,0,1,74,0,1,19,12,0,99,0,0,0,0,7,59,0,0,1,6,0,0,0,0,0,0,0,1,22,3,0,0,0,0,180.5,16,0,0,0,0,19,0,16,0,0,0,0,1,1,0,0,0,7,0,0,0,54,0,0,0,1,0
56,3275,1,0,2,95,3,7,18,11,0,151,0,0,0,0,10,64,7,2,1,11,0,0,1,0,1,0,3,3,22,0,0,0,0,0,205,35,1,8,1,0,24,2,22,0,1,0,0,0,0,0,0,1,11,1,0,0,40,0,0,0,0,2
60,3459,0,0,0,94,1,7,18,8,0,88,0,0,0,1,11,57,0,0,0,7,0,0,0,2,0,0,1,5,25,8,0,0,0,0,201,16,0,0.5,0,0,13,0,16,0,1,0,0,0,0,3,0,0,5,0,0,0,34,0,0,0,0,0
64,3641,0,0,3,114,1,5,14,23,0,163,1,0,0,1,23,56,4,1,1,12,0,0,0,0,1,0,1,6,18,2,0,0,3,0,183.5,27,6,12,0,0,34,0,19,7,0,0,0,2,1,1,0,1,11,0,0,0,52,0,1,0,0,2
68,3820,0,0,0,172,2,1,11,8,0,110,0,0,0,0,3,57,3,0,1,7,0,0,2,1,1,0,0,0,29,1,0,0,0,0,158,21,0,0.5,0,1,23,0,25,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0
72.5,4021,0,0,2,130,1,3,7,15,0,100,0,0,0,0,3,65,7,3,0,13,0,0,1,2,1,0,2,3,30,3,0,0,0,0,134.5,26,1,6,0,0,25,0,23,0,1,0,0,0,0,0,1,0,6,0,0,0,22,0,0,0,0,0
76,4177,0,0,0,124,0,1,11,12,0,98,0,0,0,0,4,41,0,0,0,6,0,0,1,1,2,0,0,1,29,3,0,0,0,0,146,34,0,3,0,0,21,0,16,0,1,0,0,3,0,0,0,0,2,0,0,0,22,0,0,0,1,0
80,4356,0,0,0,181,3,8,14,16,0,149,0,0,0,1,2,43,0,1,0,13,0,0,1,1,1,0,1,1,48,6,0,1,0,0,147,23,4,7.5,0,0,23,0,33,0,0,0,0,1,0,1,0,0,7,0,0,0,24,0,1,0,0,0
84,4536,0,0,2,174,1,2,9,11,0,108,0,0,0,0,1,32,1,2,0,13,0,1,0,0,1,0,0,1,28,5,0,0,0,0,129,21,0,2,0,0,25,0,21,0,0,0,0,1,0,1,0,0,8,0,0,0,18,0,0,0,0,0
88,4718,0,0,1,166,2,2,6,10,0,133,0,0,0,0,4,29,4,0,0,13,0,0,0,0,2,0,1,4,33,6,0,0,0,0,141.5,27,1,5,0,0,24,0,30,0,0,0,0,1,0,0,0,2,10,0,0,0,17,0,0,0,0,0
92,4903,0,0,1,199,1,2,8,7,0,131,0,0,0,0,4,46,0,0,1,10,0,0,0,0,3,0,0,0,24,2,0,0,0,0,91.5,10,0,1.5,1,0,24,0,17,0,0,0,0,1,0,0,0,0,7,0,0,1,23,0,0,0,1,1
96.5,5115,0,0,0,228,1,3,12,10,0,123,0,0,0,1,6,52,8,0,2,5,0,0,1,1,0,1,1,3,21,3,0,0,0,0,93,26,0,6,0,0,30,0,16,0,2,0,0,3,0,0,0,3,11,0,0,0,24,0,0,0,1,0
100,5285,0,0,1,162,2,3,13,9,0,113,0,0,0,0,1,59,1,0,0,9,0,1,0,1,1,0,0,1,7,5,0,0,0,0,117.5,24,0,2,0,0,24,0,12,0,2,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0
104,5483,0,0,2,255,1,6,9,9,0,130,0,0,0,0,1,37,0,0,2,4,0,0,0,0,1,1,2,1,25,4,0,0,0,0,83,31,1,8,0,0,29,0,15,2,0,0,0,1,0,0,0,0,9,0,0,0,17,0,0,0,0,1
108,5688,0,0,0,187,0,2,13,4,0,128,0,0,0,0,1,50,1,0,0,16,0,0,0,0,0,0,1,0,23,5,0,0,0,0,96.5,20,0,4,0,0,19,0,10,1,1,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,1,0
112.5,5927,0,0,0,218,1,3,8,9,0,162,0,0,0,0,7,43,0,0,1,6,0,0,0,0,0,0,0,0,18,1,0,0,1,0,85,16,0,8,1,0,21,0,12,0,1,0,0,0,0,0,0,0,9,0,0,0,27,0,0,0,0,0
