"sample.depths","sample.ages","Abies","Acer","Alnus.incana","Alnus.viridis.subsp..crispa","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Chenopodium","Cornus.canadensis","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.lucidula","Huperzia.selago","Isoëtes","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Lycopodium.undiff.","Myrica","Nuphar","Ostrya","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Polypodiaceae","Populus","Potamogeton","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Salix","Selaginella","Sparganium","Sphagnum","Thalictrum","Tsuga","Typha","Ulmus","Viburnum"
0,-39,0,0,8,148,10,8,0,226,0,0,2,0,6,6,0,0,0,6,0,2,0,0,0,6,0,0,2,6,6,0,2,837,12,0,11,12,2,0,0,0,0,0,0,2,0,0,70,0,0,0,0,0
2,348,0,0,2,102,20,6,0,94,0,0,2,0,8,4,0,2,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,793,104,8,17,2,4,0,0,2,0,0,0,2,0,0,48,0,0,0,0,0
4,736,0,2,24,112,20,10,4,154,0,0,8,0,8,12,0,0,2,10,0,0,0,0,2,16,0,0,0,0,2,0,0,626,62,8,32,2,0,2,2,4,0,0,0,2,0,2,58,0,0,0,0,0
6,1123,2,0,8,130,16,4,6,160,0,0,4,0,4,10,2,0,0,10,2,0,0,0,0,2,0,0,0,4,0,0,0,775,80,14,17,10,6,0,0,2,0,0,0,0,0,0,50,0,0,0,0,0
8,1511,0,0,8,86,2,6,0,160,0,0,0,0,12,8,0,0,0,12,0,0,0,0,2,14,0,2,0,4,2,0,0,552,46,6,29,2,0,6,0,4,0,0,0,2,0,0,52,0,2,0,0,0
10,1899,0,0,2,98,0,4,0,116,0,0,0,0,6,10,0,0,0,6,0,2,0,0,2,4,0,0,0,0,0,0,0,790,78,4,14,6,0,0,0,4,0,0,2,2,0,0,28,0,0,0,2,0
12,2287,0,0,0,180,6,2,0,132,0,0,2,0,4,10,0,2,2,4,0,0,0,0,0,4,0,0,0,2,0,0,0,748,44,6,20,0,2,0,0,2,0,0,0,4,0,0,32,0,0,0,0,0
14,2561,0,0,8,216,0,4,0,126,0,0,2,0,4,18,0,0,2,4,0,0,0,0,0,4,0,0,0,0,0,0,0,651,42,0,6,8,0,2,0,4,0,0,0,0,0,0,26,0,0,0,0,0
16,2722,0,0,8,192,4,4,0,142,0,0,0,0,4,10,0,0,0,2,0,2,0,0,6,4,2,0,0,0,2,0,0,657,24,12,10,4,0,2,2,0,0,0,0,2,0,0,26,0,0,0,0,0
20,3043,0,0,4,250,4,6,0,168,0,0,0,0,6,8,0,0,0,16,0,2,0,0,2,12,0,0,0,0,2,0,0,660,24,0,8,2,2,0,0,2,0,0,0,2,0,0,22,0,0,0,2,0
24,3364,0,0,10,248,2,2,0,196,0,0,4,0,0,8,0,0,0,12,0,4,0,0,0,10,2,0,0,4,0,0,0,506,36,4,16,2,2,4,0,2,0,0,0,4,0,0,24,0,0,0,0,0
28,3686,0,2,10,248,2,10,0,150,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,571,28,4,22,0,0,2,0,2,0,0,2,8,0,0,28,0,0,0,0,0
32,4007,0,0,2,258,2,6,6,202,0,0,0,0,0,6,0,0,0,4,0,0,0,2,2,8,2,0,0,0,0,0,0,571,48,8,10,8,2,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0
36,4329,0,0,10,228,0,2,0,254,0,0,0,0,2,2,0,0,2,2,0,4,0,0,2,0,0,0,0,2,2,2,0,515,18,2,16,4,2,0,0,0,0,0,0,6,0,0,22,0,0,0,2,0
40,4650,0,0,2,172,2,8,6,260,0,0,2,0,4,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,603,20,4,13,2,0,0,0,0,0,0,0,2,2,0,20,0,0,0,0,0
44,4948,0,0,4,362,0,8,2,194,0,0,2,0,0,4,0,0,2,4,0,0,0,0,0,2,2,0,0,2,4,0,0,469,22,4,18,4,0,2,2,2,0,0,0,4,0,0,28,0,0,0,2,0
