"sample.depths","sample.ages","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.undiff.","Salix","Alnus.incana","Ambrosia","Fraxinus","Myrica","Poaceae","Ostrya","Alnus.viridis.subsp..crispa","Chenopodium","Epilobium","Pinus.subg..Strobus","Quercus","Asteraceae.subf..Asteroideae.undiff.","Acer","Populus","Abies","Fagus","Tsuga","Rumex","Ulmus","Castanea","Viburnum","Rosaceae","Thalictrum","Carya","Cornus.canadensis","Ranunculaceae.undiff."
0,-39,0.00610687022900763,0.172519083969466,0.00458015267175573,0.00458015267175573,0.00458015267175573,0.00458015267175573,0.638931297709924,0.00916030534351145,0.0083969465648855,0.00152671755725191,0.00610687022900763,0.00763358778625954,0.00152671755725191,0.00458015267175573,0.00916030534351145,0.00152671755725191,0.112977099236641,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,348,0.00510204081632653,0.0799319727891157,0.00680272108843537,0.00340136054421769,0.00340136054421769,0.00340136054421769,0.674319727891156,0.0884353741496599,0.0144557823129252,0.00170068027210884,0.00170068027210884,0.0170068027210884,0,0,0.00170068027210884,0,0.086734693877551,0.00170068027210884,0.00170068027210884,0.00680272108843537,0.00170068027210884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,736,0.00892857142857143,0.1375,0.00714285714285714,0.0107142857142857,0.00892857142857143,0.0142857142857143,0.558928571428571,0.0553571428571429,0.0285714285714286,0.00178571428571429,0.0214285714285714,0.0178571428571429,0,0.00178571428571429,0.00178571428571429,0,0.1,0.00714285714285714,0,0.00714285714285714,0.00357142857142857,0.00357142857142857,0.00178571428571429,0.00178571428571429,0,0,0,0,0,0,0,0,0,0,0,0
6,1123,0.00318471337579618,0.127388535031847,0.00318471337579618,0.00796178343949045,0.00796178343949045,0.00159235668789809,0.61703821656051,0.0636942675159236,0.0135350318471338,0,0.00636942675159236,0.0127388535031847,0,0,0.00796178343949045,0,0.103503184713376,0.00318471337579618,0,0.0111464968152866,0.00159235668789809,0.00477707006369427,0,0,0.00159235668789809,0.00159235668789809,0,0,0,0,0,0,0,0,0,0
8,1511,0.00625651720542232,0.166840458811262,0.0125130344108446,0.00834202294056309,0.0125130344108446,0.0145985401459854,0.575599582898853,0.0479666319082377,0.0302398331595412,0.00208550573514077,0.00834202294056309,0.00208550573514077,0,0.00208550573514077,0.00208550573514077,0,0.0896767466110532,0,0,0.00625651720542232,0.00417101147028154,0,0,0.00625651720542232,0,0,0.00208550573514077,0,0,0,0,0,0,0,0,0
10,1899,0.00347826086956522,0.100869565217391,0.00521739130434783,0.00869565217391304,0.00521739130434783,0.00347826086956522,0.68695652173913,0.0678260869565217,0.0121739130434783,0.00173913043478261,0.00173913043478261,0,0.00173913043478261,0,0.00521739130434783,0,0.0852173913043478,0,0,0.00347826086956522,0.00347826086956522,0,0,0,0,0,0,0.00173913043478261,0.00173913043478261,0,0,0,0,0,0,0
12,2287,0.00170940170940171,0.112820512820513,0.00341880341880342,0.00854700854700855,0.00341880341880342,0.00341880341880342,0.639316239316239,0.0376068376068376,0.0170940170940171,0.00341880341880342,0,0.00512820512820513,0,0,0,0,0.153846153846154,0.00170940170940171,0.00170940170940171,0.00512820512820513,0.00170940170940171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2561,0.00363967242948135,0.114649681528662,0.00363967242948135,0.0163785259326661,0.00363967242948135,0.00363967242948135,0.592356687898089,0.0382165605095541,0.00545950864422202,0,0.0072793448589627,0,0,0,0.0072793448589627,0,0.196542311191993,0.00181983621474067,0,0,0.00363967242948135,0,0,0.00181983621474067,0,0,0,0,0,0,0,0,0,0,0,0
16,2722,0.00368663594470046,0.130875576036866,0.00368663594470046,0.00921658986175115,0.00184331797235023,0.00368663594470046,0.605529953917051,0.0221198156682028,0.00921658986175115,0.00184331797235023,0.00737327188940092,0.00368663594470046,0.00184331797235023,0.00184331797235023,0.00368663594470046,0,0.176958525345622,0,0,0.0110599078341014,0,0,0,0.00184331797235023,0,0,0,0,0,0,0,0,0,0,0,0
20,3043,0.00509337860780985,0.142614601018676,0.00509337860780985,0.0067911714770798,0.0135823429541596,0.0101867572156197,0.560271646859083,0.0203735144312394,0.0067911714770798,0.00169779286926995,0.0033955857385399,0.0033955857385399,0.00169779286926995,0.00169779286926995,0.00169779286926995,0,0.212224108658744,0,0,0,0.00169779286926995,0,0,0,0,0,0,0,0.00169779286926995,0,0,0,0,0,0,0
24,3364,0.00186915887850467,0.183177570093458,0,0.00747663551401869,0.011214953271028,0.00934579439252336,0.472897196261682,0.0336448598130841,0.0149532710280374,0.00373831775700935,0.00934579439252336,0.00186915887850467,0.00373831775700935,0,0.00186915887850467,0,0.231775700934579,0.00373831775700935,0,0.00373831775700935,0.00186915887850467,0,0,0.00373831775700935,0,0,0,0,0,0,0,0,0,0,0,0
28,3686,0.00931966449207828,0.139794967381174,0.00372786579683131,0.00372786579683131,0,0,0.53215284249767,0.0260950605778192,0.0205032618825722,0.00745573159366263,0.00931966449207828,0.00186393289841566,0,0,0,0.00186393289841566,0.231127679403541,0,0,0.00372786579683131,0.00186393289841566,0,0.00186393289841566,0.00186393289841566,0,0,0,0.00186393289841566,0,0.00186393289841566,0,0,0,0,0,0
32,4007,0.00525854513584575,0.17703768624014,0,0.00525854513584575,0.0035056967572305,0.007011393514461,0.500438212094654,0.042068361086766,0.00876424189307625,0.00175284837861525,0.00175284837861525,0.00175284837861525,0,0,0.007011393514461,0,0.226117440841367,0,0,0.007011393514461,0,0.00525854513584575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4329,0.00187090739008419,0.237605238540692,0.00187090739008419,0.00187090739008419,0.00187090739008419,0,0.481758652946679,0.0168381665107577,0.0149672591206735,0.00561272217025257,0.00935453695042095,0,0.00374181478016838,0.00187090739008419,0.00374181478016838,0,0.213283442469598,0,0,0.00187090739008419,0,0,0,0,0,0,0,0,0.00187090739008419,0,0,0,0,0,0,0
40,4650,0.0072072072072072,0.234234234234234,0.0036036036036036,0.0036036036036036,0.0018018018018018,0.0018018018018018,0.543243243243243,0.018018018018018,0.0117117117117117,0.0018018018018018,0.0018018018018018,0.0018018018018018,0,0.0018018018018018,0.0018018018018018,0,0.154954954954955,0.0018018018018018,0,0.0036036036036036,0,0.00540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4948,0.00718778077268643,0.174303683737646,0,0.00359389038634322,0.00359389038634322,0.00179694519317161,0.421383647798742,0.0197663971248877,0.0161725067385445,0.00359389038634322,0.00359389038634322,0,0,0.00359389038634322,0.00359389038634322,0,0.325247079964061,0.00179694519317161,0,0.00359389038634322,0.00179694519317161,0.00179694519317161,0,0.00179694519317161,0,0,0,0,0.00179694519317161,0,0,0,0,0,0,0
48,5246,0.00597609561752988,0.177290836653386,0,0.00398406374501992,0.00597609561752988,0.00796812749003984,0.436254980079681,0.0298804780876494,0.0159362549800797,0.00398406374501992,0,0.00398406374501992,0,0.00199203187250996,0.00796812749003984,0,0.280876494023904,0.00398406374501992,0,0.00796812749003984,0.00398406374501992,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,5544,0.00563380281690141,0.242253521126761,0.00375586854460094,0.00563380281690141,0.00187793427230047,0,0.416901408450704,0.0150234741784038,0.00657276995305164,0.00187793427230047,0.00751173708920188,0.00375586854460094,0.00187793427230047,0.00187793427230047,0,0,0.274178403755869,0,0,0.00187793427230047,0.00375586854460094,0.00187793427230047,0.00187793427230047,0,0,0,0,0,0.00187793427230047,0,0,0,0,0,0,0
56,5842,0.00192492781520693,0.26948989412897,0.000962463907603465,0.00577478344562079,0.00192492781520693,0.000962463907603465,0.336862367661213,0.014436958614052,0.00769971126082772,0.00384985563041386,0.0105871029836381,0.00384985563041386,0.000962463907603465,0.000962463907603465,0.00481231953801732,0,0.328200192492782,0,0,0.00288739172281039,0.000962463907603465,0,0,0.00288739172281039,0,0,0,0,0,0,0,0,0,0,0,0
60,6141,0.00540784136998648,0.273095989184317,0,0.00360522757999099,0,0.00540784136998648,0.379450202794051,0.010815682739973,0.0067598017124831,0.000901306894997747,0.00450653447498873,0.00180261378999549,0.000901306894997747,0.000901306894997747,0.00270392068499324,0.000901306894997747,0.287516899504281,0,0,0.00721045515998197,0.00180261378999549,0.00270392068499324,0,0.000901306894997747,0,0,0.000901306894997747,0,0,0,0.000901306894997747,0.000901306894997747,0,0,0,0
64,6439,0.00535236396074933,0.178412132024978,0.00178412132024978,0.0107047279214987,0.00267618198037467,0.00624442462087422,0.369759143621766,0.0107047279214987,0.00758251561106155,0.00624442462087422,0.00267618198037467,0.00446030330062444,0,0,0.00178412132024978,0,0.383586083853702,0.000892060660124889,0,0.00267618198037467,0.000892060660124889,0,0.000892060660124889,0.000892060660124889,0,0,0.000892060660124889,0,0,0,0,0,0.000892060660124889,0,0,0
