"sample.depths","sample.ages","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Larix","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Myrica","Amaranthaceae","Poaceae","Populus","Epilobium","Fagus","Ulmus","Abies","Platanus","Rubiaceae","Ostrya","Corylus","Rosaceae.undiff.","Plantago","Ephedra","Acer","Polygonum.viviparum","Rubus.chamaemorus","Fraxinus","Juglans","Carya","Oxyria.digyna","Shepherdia.canadensis","Brassicaceae"
0,58,0.00357568533969011,0.131108462455304,0.00357568533969011,0.0357568533969011,0.00476758045292014,0.00595947556615018,0.65435041716329,0.0166865315852205,0.00119189511323004,0.00357568533969011,0.00238379022646007,0.00357568533969011,0.00357568533969011,0.00715137067938021,0.00715137067938021,0.104886769964243,0.00119189511323004,0.00476758045292014,0.00476758045292014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,230,0.0226171243941842,0.166397415185784,0.00969305331179321,0.037156704361874,0.00807754442649435,0.00161550888529887,0.507269789983845,0.0323101777059774,0,0.00646203554119548,0.00323101777059774,0.00484652665589661,0.00323101777059774,0.00646203554119548,0.0177705977382876,0.158319870759289,0.00161550888529887,0.00807754442649435,0.00323101777059774,0.00161550888529887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,397,0.0138888888888889,0.160493827160494,0.00771604938271605,0.037037037037037,0.00462962962962963,0.00154320987654321,0.540123456790123,0.0246913580246914,0.00308641975308642,0.0108024691358025,0,0.00462962962962963,0.00462962962962963,0.00617283950617284,0.00771604938271605,0.151234567901235,0.00154320987654321,0.0108024691358025,0.00771604938271605,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,558,0.00291545189504373,0.142857142857143,0.0102040816326531,0.0408163265306122,0.00291545189504373,0.00145772594752187,0.590379008746356,0.0189504373177843,0.00291545189504373,0.0043731778425656,0.00145772594752187,0.0043731778425656,0.00291545189504373,0.00291545189504373,0.00583090379008746,0.145772594752187,0.00291545189504373,0.00145772594752187,0.0102040816326531,0,0,0.00145772594752187,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,714,0.00841750841750842,0.136363636363636,0.00505050505050505,0.0286195286195286,0.0101010101010101,0.00505050505050505,0.643097643097643,0.0168350168350168,0.00168350168350168,0.00505050505050505,0,0.00168350168350168,0.00168350168350168,0.00168350168350168,0.00168350168350168,0.116161616161616,0,0.00168350168350168,0.00841750841750842,0,0,0,0,0.00168350168350168,0.00168350168350168,0.00168350168350168,0.00168350168350168,0,0,0,0,0,0,0,0,0,0,0,0,0
5,866,0.00665557404326123,0.103161397670549,0.0166389351081531,0.0282861896838602,0.0133111480865225,0,0.613976705490849,0.021630615640599,0.00499168053244592,0.021630615640599,0.00166389351081531,0.00332778702163062,0,0.00166389351081531,0.00499168053244592,0.133111480865225,0.00166389351081531,0,0.0166389351081531,0.00166389351081531,0,0,0,0,0,0,0.00166389351081531,0.00332778702163062,0,0,0,0,0,0,0,0,0,0,0,0
6,1012,0.00535714285714286,0.126785714285714,0.0142857142857143,0.0392857142857143,0.00892857142857143,0,0.619642857142857,0.0339285714285714,0,0.00714285714285714,0,0,0,0.00178571428571429,0.00178571428571429,0.125,0.00178571428571429,0.00357142857142857,0.00535714285714286,0.00178571428571429,0,0,0,0,0,0,0.00178571428571429,0,0.00178571428571429,0,0,0,0,0,0,0,0,0,0,0
7,1154,0.00626959247648903,0.133228840125392,0.0172413793103448,0.0391849529780564,0.00313479623824451,0.00626959247648903,0.608150470219436,0.0141065830721003,0.00156739811912226,0.0172413793103448,0,0.00156739811912226,0,0.00156739811912226,0.00470219435736677,0.128526645768025,0.00470219435736677,0,0.00940438871473354,0,0,0,0,0,0,0,0.00156739811912226,0,0,0.00156739811912226,0,0,0,0,0,0,0,0,0,0
8,1291,0.0108303249097473,0.120938628158845,0.00541516245487365,0.0288808664259928,0.0126353790613718,0.0036101083032491,0.644404332129964,0.0180505415162455,0.00180505415162455,0.0108303249097473,0.00541516245487365,0.0126353790613718,0.00541516245487365,0,0,0.108303249097473,0,0.00180505415162455,0.0036101083032491,0,0,0,0,0,0,0,0.00180505415162455,0.00180505415162455,0,0,0.00180505415162455,0,0,0,0,0,0,0,0,0
9,1423,0.0050251256281407,0.085427135678392,0.0134003350083752,0.0301507537688442,0.0050251256281407,0.0050251256281407,0.670016750418761,0.0217755443886097,0,0.0083752093802345,0.0016750418760469,0,0.0016750418760469,0.0016750418760469,0.0033500837520938,0.130653266331658,0,0,0.0083752093802345,0,0.0016750418760469,0,0,0,0,0,0.0016750418760469,0,0,0,0,0.0016750418760469,0.0016750418760469,0.0016750418760469,0,0,0,0,0,0
10,1551,0.00641025641025641,0.092948717948718,0.00480769230769231,0.00961538461538462,0.0016025641025641,0.0016025641025641,0.729166666666667,0.0144230769230769,0.0016025641025641,0.016025641025641,0,0.00320512820512821,0.0016025641025641,0.0016025641025641,0,0.102564102564103,0.0016025641025641,0,0.00801282051282051,0,0,0,0,0.0016025641025641,0,0,0,0,0.0016025641025641,0,0,0,0,0,0,0,0,0,0,0
12,1794,0.00748502994011976,0.100299401197605,0.00449101796407186,0.0329341317365269,0.00449101796407186,0.00149700598802395,0.718562874251497,0.00748502994011976,0,0.0029940119760479,0,0,0.0029940119760479,0.00449101796407186,0.00149700598802395,0.100299401197605,0,0,0.00898203592814371,0,0,0,0,0.00149700598802395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2020,0.00853242320819113,0.0767918088737201,0.0136518771331058,0.015358361774744,0.00853242320819113,0,0.754266211604096,0.00511945392491468,0,0.00511945392491468,0.00170648464163823,0,0.00170648464163823,0.00511945392491468,0,0.0921501706484642,0,0.00170648464163823,0.00853242320819113,0,0,0,0,0,0,0,0,0,0,0,0,0.00170648464163823,0,0,0,0,0,0,0,0
15,2127,0.00278940027894003,0.0753138075313808,0,0.00418410041841004,0.00278940027894003,0.00139470013947001,0.807531380753138,0.00697350069735007,0,0.0237099023709902,0,0.00139470013947001,0,0,0.00139470013947001,0.0683403068340307,0,0,0.00418410041841004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2424,0.00172711571675302,0.077720207253886,0.0103626943005181,0.0138169257340242,0.00172711571675302,0.00172711571675302,0.7426597582038,0.00518134715025907,0.00172711571675302,0.00863557858376511,0.00172711571675302,0.00172711571675302,0.00345423143350604,0.00345423143350604,0,0.113989637305699,0.00345423143350604,0.00172711571675302,0,0.00172711571675302,0,0,0,0,0,0,0,0,0.00172711571675302,0,0,0.00172711571675302,0,0,0,0,0,0,0,0
20,2604,0.00705218617771509,0.108133521391631,0.000940291490362012,0.000470145745181006,0.00564174894217207,0.00611189468735308,0.587212035731077,0.0103432063939821,0.00141043723554302,0.00517160319699107,0.000470145745181006,0.00329102021626704,0.000940291490362012,0.0108133521391631,0.00235072872590503,0.235072872590503,0.00376116596144805,0,0.00611189468735308,0,0.000470145745181006,0,0.000470145745181006,0,0,0,0.00235072872590503,0.000940291490362012,0,0,0,0,0,0,0.000470145745181006,0,0,0,0,0
25,2996,0.00889679715302491,0.106761565836299,0.00533807829181495,0.00889679715302491,0.00533807829181495,0,0.670818505338078,0.0106761565836299,0.00177935943060498,0.0106761565836299,0.00177935943060498,0.00177935943060498,0,0.0160142348754448,0.00177935943060498,0.135231316725979,0.00355871886120996,0.00533807829181495,0.00177935943060498,0,0,0,0,0,0,0,0.00355871886120996,0,0,0,0,0,0,0,0,0,0,0,0,0
